LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
3682,2023-01-20 10:50:00.962268,120964389,0,0.6507006,92903.27,25.61,-0.1378033,120964,0,20.07363,1
3715,2023-01-20 10:50:01.062224,121064348,0,0.5539022,92904.33,25.61,-0.1537684,121064,0,20.07363,1
3745,2023-01-20 10:50:01.162277,121164394,0,0.5646576,92904.2,25.61,-0.1646918,121164,0,20.07363,1
3780,2023-01-20 10:50:01.262256,121264405,0,0.5861683,92903.98,25.62,-0.2613222,121264,0,20.07363,1
3810,2023-01-20 10:50:01.362197,121364400,0,0.5861683,92903.97,25.62,-0.2327532,121364,0,20.07363,1
3843,2023-01-20 10:50:01.462211,121464402,0,0.5270137,92904.61,25.64,-0.0705822,121464,0,20.07363,1
3875,2023-01-20 10:50:01.562263,121564402,0,0.1021761,92909.2,25.63,-0.1714139,121564,0,20.07363,1
3909,2023-01-20 10:50:01.662272,121664391,0,0.295773,92907.13,25.64,-0.7511963,121664,0,20.07363,1
3941,2023-01-20 10:50:01.762289,121764406,0,-0.7098553,92918.02,25.64,-1.517517,121764,0,20.07363,1
3975,2023-01-20 10:50:01.862254,121864417,0,-0.4678591,92915.38,25.63,-2.310727,121864,0,20.07363,1
4006,2023-01-20 10:50:01.962172,121964410,0,-1.322912,92924.63,25.63,-3.108978,121964,0,20.07363,1
4039,2023-01-20 10:50:02.062187,122064413,0,-0.9303406,92920.37,25.63,-3.429959,122064,0,20.07363,1
4069,2023-01-20 10:50:02.162252,122164412,0,-0.2204853,92912.7,25.62,-2.591375,122164,0,20.07363,1
4104,2023-01-20 10:50:02.262264,122264400,0,0.8550529,92901.07,25.61,0.06386007,122264,0,20.07363,1
4134,2023-01-20 10:50:02.362269,122364407,0,1.040583,92899.05,25.59,3.923193,122364,0,20.07363,1
4167,2023-01-20 10:50:02.462009,122464395,0,1.045961,92899.01,25.59,6.217115,122464,0,20.07363,1
4200,2023-01-20 10:50:02.561936,122564721,0,1.193847,92897.39,25.58,5.227284,122564,0,20.07363,1
4234,2023-01-20 10:50:02.661763,122664677,0,1.142759,92897.95,25.59,2.714053,122664,0,20.07363,1
4266,2023-01-20 10:50:02.761868,122764745,0,1.244936,92896.84,25.6,1.057052,122764,0,20.07363,1
4300,2023-01-20 10:50:02.861829,122864707,0,1.223425,92897.07,25.62,0.5218043,122864,0,20.07363,1
4331,2023-01-20 10:50:02.961780,122964683,0,1.322912,92896,25.64,0.3898828,122964,0,20.07363,1
4364,2023-01-20 10:50:03.061793,123064707,0,1.384755,92895.34,25.66,0.3932438,123064,0,20.07363,1
4394,2023-01-20 10:50:03.161773,123164689,0,1.400889,92895.15,25.68,0.4890338,123164,0,20.07363,1
4429,2023-01-20 10:50:03.261765,123264678,0,1.309468,92896.14,25.69,0.4991169,123264,0,20.07363,1
4459,2023-01-20 10:50:03.361796,123364704,0,1.3982,92895.19,25.71,0.277287,123364,0,20.07363,1
4492,2023-01-20 10:50:03.461788,123464686,0,1.317534,92896.05,25.73,0.005881679,123464,0,20.07363,1
4524,2023-01-20 10:50:03.561829,123564713,0,1.460043,92894.52,25.74,-0.04537437,123564,0,20.07363,1
4558,2023-01-20 10:50:03.661848,123664729,0,1.476176,92894.35,25.76,0.1151162,123664,0,20.07363,1
4590,2023-01-20 10:50:03.761809,123764694,0,1.53802,92893.67,25.78,0.3478695,123764,0,20.07363,1
4624,2023-01-20 10:50:03.862013,123864706,0,1.624063,92892.73,25.79,0.5209639,123864,0,20.07363,1
4656,2023-01-20 10:50:03.961995,123964378,0,1.718172,92891.71,25.81,0.6049902,123964,0,20.07363,1
4689,2023-01-20 10:50:04.062150,124064373,0,1.715484,92891.75,25.83,0.6780932,124064,0,20.07363,1
4719,2023-01-20 10:50:04.162204,124164359,0,1.852615,92890.27,25.85,0.7033013,124164,0,20.07363,1
4754,2023-01-20 10:50:04.262241,124264374,0,1.833793,92890.47,25.85,0.6478438,124264,0,20.07363,1
4784,2023-01-20 10:50:04.362252,124364389,0,1.917147,92889.56,25.87,0.5907058,124364,0,20.07363,1
4817,2023-01-20 10:50:04.462214,124464378,0,1.989746,92888.78,25.88,0.5478523,124464,0,20.07363,1
4850,2023-01-20 10:50:04.562223,124564427,0,2.081167,92887.79,25.9,0.5570951,124564,0,20.07363,1
4884,2023-01-20 10:50:04.662218,124664411,0,2.250564,92885.97,25.92,0.6965791,124664,0,20.07363,1
4916,2023-01-20 10:50:04.762239,124764389,0,2.293585,92885.48,25.93,0.9150479,124764,0,20.07363,1
4950,2023-01-20 10:50:04.862239,124864403,0,2.428028,92884.03,25.93,1.063775,124864,0,20.07363,1
4980,2023-01-20 10:50:04.962190,124964401,0,2.387695,92884.47,25.95,1.026803,124964,0,20.07363,1
5013,2023-01-20 10:50:05.062226,125064425,0,2.460294,92883.69,25.96,0.8074938,125064,0,20.07363,1
5043,2023-01-20 10:50:05.162244,125164394,0,2.600114,92882.19,25.98,0.5713795,125164,0,20.07363,1
5078,2023-01-20 10:50:05.262270,125264405,0,2.731867,92880.73,25.98,0.5839835,125264,0,20.07363,1
5108,2023-01-20 10:50:05.362299,125364439,0,2.782955,92880.2,25.99,0.8646317,125364,0,20.07363,1
5141,2023-01-20 10:50:05.462247,125464380,0,2.828665,92879.72,26,1.043608,125464,0,20.07363,1
5173,2023-01-20 10:50:05.562253,125564372,0,2.898576,92878.96,26.02,0.9058048,125564,0,20.07363,1
5208,2023-01-20 10:50:05.662335,125664448,0,2.976552,92878.11,26.03,0.6856557,125664,0,20.07363,1
5240,2023-01-20 10:50:05.762297,125764407,0,3.145949,92876.27,26.04,0.6570867,125764,0,20.07363,1
5274,2023-01-20 10:50:05.856648,125864411,0,3.293836,92874.66,26.05,0.8604307,125864,0,20.07363,1
5304,2023-01-20 10:50:05.947603,125964443,0,3.406767,92873.45,26.06,1.162926,125964,0,20.07363,1
5337,2023-01-20 10:50:06.042357,126064412,0,3.506255,92872.37,26.06,1.342742,126064,0,20.07363,1
5367,2023-01-20 10:50:06.142661,126164680,0,3.581542,92871.56,26.07,1.283084,126164,0,20.07363,1
5402,2023-01-20 10:50:06.242186,126264711,0,3.761695,92869.59,26.08,1.121753,126264,0,20.07363,1
5434,2023-01-20 10:50:06.340912,126364672,0,3.861182,92868.52,26.09,1.08142,126364,0,20.07363,1
5467,2023-01-20 10:50:06.440185,126464689,0,4.092423,92866.02,26.09,1.216702,126464,0,20.07363,1
5499,2023-01-20 10:50:06.540174,126564690,0,4.24031,92864.42,26.1,1.43013,126564,0,20.07363,1
5533,2023-01-20 10:50:06.640189,126664738,0,4.218799,92864.66,26.1,1.562892,126664,0,20.07363,1
5565,2023-01-20 10:50:06.740090,126764703,0,4.245687,92864.38,26.11,1.371312,126764,0,20.07363,1
5599,2023-01-20 10:50:06.839750,126864438,0,4.320975,92863.56,26.1,0.852868,126864,0,20.07363,1
5629,2023-01-20 10:50:06.939716,126964493,0,4.398952,92862.71,26.12,0.4621448,126964,0,20.07363,1
5662,2023-01-20 10:50:07.039618,127064456,0,4.452728,92862.13,26.13,0.470548,127064,0,20.07363,1
5692,2023-01-20 10:50:07.139586,127164442,0,4.576415,92860.8,26.14,0.6369208,127164,0,20.07363,1
5727,2023-01-20 10:50:07.239585,127264427,0,4.692036,92859.55,26.14,0.7671614,127264,0,20.07363,1
5757,2023-01-20 10:50:07.339722,127364501,0,4.614059,92860.38,26.15,0.8562291,127364,0,20.07363,1
5790,2023-01-20 10:50:07.439648,127464423,0,4.584482,92860.69,26.14,0.725148,127464,0,20.07363,1
5822,2023-01-20 10:50:07.539535,127564397,0,4.528016,92861.33,26.16,0.2638431,127564,0,20.07363,1
5856,2023-01-20 10:50:07.643950,127664412,0,4.568349,92860.88,26.16,-0.1924203,127664,0,20.07363,1
5888,2023-01-20 10:50:07.755301,127764482,0,4.622126,92860.29,26.16,-0.2747659,127764,0,20.07363,1
5922,2023-01-20 10:50:07.854325,127864490,0,4.753879,92858.88,26.17,0.004201828,127864,0,20.07363,1
5953,2023-01-20 10:50:07.945062,127964435,0,4.802278,92858.36,26.19,0.4176113,127964,0,20.07363,1
5987,2023-01-20 10:50:08.039536,128064491,0,4.764635,92858.76,26.18,0.689016,128064,0,20.07363,1
6017,2023-01-20 10:50:08.139465,128164439,0,4.737746,92859.04,26.19,0.5923859,128164,0,20.07363,1
6052,2023-01-20 10:50:08.239464,128264432,0,4.804967,92858.31,26.2,0.2352738,128264,0,20.07363,1
6082,2023-01-20 10:50:08.339498,128364424,0,4.745812,92858.96,26.2,0.001680251,128364,0,20.07363,1
6115,2023-01-20 10:50:08.439569,128464472,0,4.689347,92859.57,26.21,-0.02772913,128464,0,20.07363,1
6147,2023-01-20 10:50:08.539494,128564404,0,4.767323,92858.73,26.21,-0.09242892,128564,0,20.07363,1
6181,2023-01-20 10:50:08.639493,128664410,0,4.8211,92858.15,26.22,-0.1260388,128664,0,20.07363,1
6213,2023-01-20 10:50:08.739504,128764430,0,4.882944,92857.47,26.22,0.09915203,128764,0,20.07363,1
6247,2023-01-20 10:50:08.839566,128864458,0,4.934031,92856.91,26.23,0.4176114,128864,0,20.07363,1
6280,2023-01-20 10:50:08.939652,128964446,0,4.98512,92856.36,26.24,0.5612959,128964,0,20.07363,1
6313,2023-01-20 10:50:09.039739,129064459,0,5.036208,92855.81,26.25,0.5570945,129064,0,20.07363,1
6343,2023-01-20 10:50:09.139805,129164486,0,5.081918,92855.31,26.26,0.5268455,129164,0,20.07363,1
6378,2023-01-20 10:50:09.239697,129264426,0,5.213672,92853.91,26.27,0.5310471,129264,0,20.07363,1
6408,2023-01-20 10:50:09.339534,129364443,0,5.200227,92854.05,26.28,0.5999489,129364,0,20.07363,1
6441,2023-01-20 10:50:09.439324,129464827,0,5.385758,92852.05,26.3,0.6873363,129464,0,20.07363,1
6473,2023-01-20 10:50:09.537968,129564689,0,5.463734,92851.18,26.3,0.7713626,129564,0,20.07363,1
6507,2023-01-20 10:50:09.637211,129664698,0,5.490623,92850.89,26.31,0.8881593,129664,0,20.07363,1
6539,2023-01-20 10:50:09.737193,129764681,0,5.584733,92849.87,26.31,0.9150475,129764,0,20.07363,1
6573,2023-01-20 10:50:09.837200,129864697,0,5.600865,92849.72,26.33,0.7654806,129864,0,20.07363,1
6604,2023-01-20 10:50:09.937156,129964675,0,5.654642,92849.12,26.34,0.5999489,129964,0,20.07363,1
6637,2023-01-20 10:50:10.037150,130064674,0,5.79984,92847.55,26.35,0.54029,130064,0,20.07363,1
6667,2023-01-20 10:50:10.137171,130164670,0,5.842862,92847.09,26.35,0.6142328,130164,0,20.07363,1
6702,2023-01-20 10:50:10.237101,130264680,0,5.858994,92846.92,26.36,0.7486754,130264,0,20.07363,1
6732,2023-01-20 10:50:10.336834,130364671,0,5.864372,92846.84,26.37,0.7041418,130364,0,20.07363,1
6765,2023-01-20 10:50:10.437383,130465394,0,5.89395,92846.53,26.39,0.446028,130465,0,20.07363,1
6797,2023-01-20 10:50:10.537284,130565322,0,5.807907,92847.47,26.39,0.1987693,130565,0,20.07363,1
6831,2023-01-20 10:50:10.637275,130665337,0,5.902016,92846.45,26.4,0.04263761,130665,0,20.07363,1
6863,2023-01-20 10:50:10.737249,130765329,0,5.910083,92846.37,26.4,-0.01317395,130765,0,20.07363,1
6897,2023-01-20 10:50:10.837223,130865347,0,5.872439,92846.78,26.42,0.07379425,130865,0,20.07363,1
6927,2023-01-20 10:50:10.937116,130965328,0,5.858994,92846.91,26.42,0.1310843,130965,0,20.07363,1
