LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
25270,2023-01-20 10:51:06.827509,186975324,32,374,14635,11474,15677,13521
25596,2023-01-20 10:51:07.830243,187977880,32,325,13214,11719,16055,13905
25922,2023-01-20 10:51:08.832224,188980070,32,325,13214,12231,16322,14168
26251,2023-01-20 10:51:09.834797,189982555,32,328,13300,11219,15567,13187
26576,2023-01-20 10:51:10.837212,190985082,32,324,13181,11645,15988,13844
26902,2023-01-20 10:51:11.839853,191987621,32,325,13214,11926,16262,14112
27228,2023-01-20 10:51:12.842619,192990375,32,325,13214,11241,16267,13544
27554,2023-01-20 10:51:13.844818,193992619,32,325,13214,11479,15675,13442
27884,2023-01-20 10:51:14.847311,194995065,32,329,13353,11819,16088,14011
28210,2023-01-20 10:51:15.849756,195997558,32,325,13214,12047,16350,14208
28536,2023-01-20 10:51:16.832393,197000082,32,325,13214,11088,15435,13286
28862,2023-01-20 10:51:17.837351,198005110,32,325,13214,11600,15796,13563
29188,2023-01-20 10:51:18.839839,199007670,32,325,13214,12026,16319,14217
29518,2023-01-20 10:51:19.842297,200010075,32,329,13354,11081,16263,13589
29844,2023-01-20 10:51:20.844743,201012534,32,325,13214,11262,15609,13457
30165,2023-01-20 10:51:21.847733,202015425,32,320,12970,11774,16024,13775
30460,2023-01-20 10:51:22.849768,203017438,32,294,11895,11642,16258,14056
30755,2023-01-20 10:51:23.852304,204019969,32,294,11895,11316,16065,13659
31125,2023-01-20 10:51:24.852528,205020302,32,369,14435,11903,16269,14021
31449,2023-01-20 10:51:25.849943,206022742,32,323,13156,11146,16320,13623
31773,2023-01-20 10:51:26.837328,207025061,32,323,13156,11442,15790,13621
32096,2023-01-20 10:51:27.840222,208027951,32,322,13123,11926,16311,13956
32421,2023-01-20 10:51:28.842288,209030113,32,324,13185,11208,16325,13784
32750,2023-01-20 10:51:29.845133,210032999,32,328,13300,11442,15741,13653
33076,2023-01-20 10:51:30.847273,211035072,32,325,13214,11761,16080,13924
33382,2023-01-20 10:51:31.849824,212037496,32,305,12325,11707,16324,14056
33676,2023-01-20 10:51:32.852621,213040282,32,293,11866,11614,16288,13986
33977,2023-01-20 10:51:33.854810,214042611,32,300,12159,11379,16295,13886
34305,2023-01-20 10:51:34.857250,215045101,32,327,13295,11212,15477,13342
34631,2023-01-20 10:51:35.840083,216047672,32,325,13226,11595,16017,13635
34956,2023-01-20 10:51:36.842270,217050083,32,324,13210,12038,16327,14257
35263,2023-01-20 10:51:37.844986,218052834,32,306,12402,11381,16213,13829
35570,2023-01-20 10:51:38.847309,219054937,32,306,12396,11420,16354,13866
35882,2023-01-20 10:51:39.847229,220055072,32,311,12603,11682,16260,13875
36206,2023-01-20 10:51:40.849758,221057562,32,323,13156,11798,16175,13982
36529,2023-01-20 10:51:41.852260,222060086,32,322,13127,11229,16324,13857
36856,2023-01-20 10:51:42.854807,223062635,32,326,13270,11410,15884,13501
37182,2023-01-20 10:51:43.857723,224065500,32,325,13250,11923,16245,14135
37525,2023-01-20 10:51:44.860254,225067938,32,342,13813,11069,16348,13860
37848,2023-01-20 10:51:45.840224,226068136,32,322,13129,11752,15962,13762
38172,2023-01-20 10:51:46.841996,227070018,32,323,13156,11266,16326,14049
38496,2023-01-20 10:51:47.844461,228072531,32,323,13156,11353,15725,13566
38820,2023-01-20 10:51:48.846943,229075054,32,323,13156,11717,16014,13870
39148,2023-01-20 10:51:49.849788,230077878,32,327,13271,12104,16300,14120
39472,2023-01-20 10:51:50.851996,231080121,32,323,13156,11126,15471,13229
39796,2023-01-20 10:51:51.854454,232082568,32,323,13156,11759,16081,13951
40124,2023-01-20 10:51:52.856941,233085051,32,327,13441,11809,16160,13982
40448,2023-01-20 10:51:53.859600,234087752,32,323,13156,11156,16276,13507
40777,2023-01-20 10:51:54.842702,235090384,32,328,13349,11328,15807,13398
41106,2023-01-20 10:51:55.844841,236092534,32,328,13470,11826,15957,13962
41429,2023-01-20 10:51:56.847296,237095066,32,322,13123,11910,16232,14051
41754,2023-01-20 10:51:57.849778,238097548,32,324,13185,11195,16286,13523
42079,2023-01-20 10:51:58.852272,239100101,32,324,13185,11376,15906,13485
42409,2023-01-20 10:51:59.857288,240105077,32,329,13343,11870,16115,14058
42777,2023-01-20 10:52:00.859842,241107625,32,367,14432,11161,16323,13748
43104,2023-01-20 10:52:01.862238,242110051,32,326,13257,11277,15735,13334
43430,2023-01-20 10:52:02.864758,243112549,32,325,13214,11780,16073,13965
43757,2023-01-20 10:52:03.867707,244115539,32,326,13257,12086,16282,14174
44087,2023-01-20 10:52:04.863444,245117520,32,329,13353,11179,16212,13490
44414,2023-01-20 10:52:05.852568,246120315,32,326,13257,11312,15824,13393
44742,2023-01-20 10:52:06.854834,247122618,32,327,13284,11812,16092,13991
45069,2023-01-20 10:52:07.857288,248125087,32,326,13257,12084,16333,14172
45397,2023-01-20 10:52:08.860466,249128252,32,327,13252,11268,16294,13582
45726,2023-01-20 10:52:09.862288,250130062,32,328,13359,11411,15821,13504
46052,2023-01-20 10:52:10.865224,251133011,32,325,13214,11866,16159,14045
46378,2023-01-20 10:52:11.867329,252135119,32,325,13214,12172,16338,14233
46705,2023-01-20 10:52:12.869815,253137605,32,326,13257,11170,15486,13308
47031,2023-01-20 10:52:13.872548,254140401,32,325,13214,11537,16038,13645
47362,2023-01-20 10:52:14.854942,255142555,32,330,13396,11983,16242,14169
47687,2023-01-20 10:52:15.857408,256145085,32,324,13181,11193,16308,13891
48014,2023-01-20 10:52:16.859842,257147622,32,326,13257,11334,15610,13411
48389,2023-01-20 10:52:17.862204,258150055,32,374,14635,11572,15949,13841
48716,2023-01-20 10:52:18.865097,259152872,32,326,13257,12048,16324,14135
49044,2023-01-20 10:52:19.867242,260155096,32,327,13252,11141,16344,13535
49372,2023-01-20 10:52:20.869761,261157565,32,327,13305,11274,15821,13427
49698,2023-01-20 10:52:21.872264,262160070,32,325,13214,11777,16091,13984
50028,2023-01-20 10:52:22.874858,263162643,32,329,13371,12169,16343,14214
50356,2023-01-20 10:52:23.857858,264165511,32,327,13308,11267,16293,13595
50710,2023-01-20 10:52:24.860449,265168216,32,353,14330,11410,15901,13674
51038,2023-01-20 10:52:25.862194,266170055,32,327,13316,11812,16105,13936
51364,2023-01-20 10:52:26.864739,267172558,32,325,13214,12204,16324,14145
51691,2023-01-20 10:52:27.867280,268175072,32,326,13257,11302,16328,13556
52019,2023-01-20 10:52:28.870052,269177877,32,327,13252,11757,16070,13944
52346,2023-01-20 10:52:29.872310,270180106,32,326,13257,11948,16241,14070
52673,2023-01-20 10:52:30.874723,271182548,32,326,13262,11225,16340,13863
53000,2023-01-20 10:52:31.877250,272185060,32,326,13257,11366,15700,13362
53325,2023-01-20 10:52:32.879756,273187634,32,324,13181,11878,16191,14053
53654,2023-01-20 10:52:33.862415,274190386,32,328,13295,12150,16313,14215
54030,2023-01-20 10:52:34.864420,275192524,32,375,14688,11087,16206,13319
54358,2023-01-20 10:52:35.866948,276195053,32,327,13305,11494,15764,13669
54684,2023-01-20 10:52:36.869423,277197577,32,325,13214,11723,16016,13844
55013,2023-01-20 10:52:37.872010,278200108,32,328,13327,12115,16310,14060
55342,2023-01-20 10:52:38.877002,279205108,32,328,13281,11143,16296,13456
55669,2023-01-20 10:52:39.879526,280207631,32,326,13257,11560,15873,13738
55997,2023-01-20 10:52:40.882275,281210383,32,327,13316,11789,16034,13871
56323,2023-01-20 10:52:41.884753,282212855,32,325,13214,12133,16275,14092
56650,2023-01-20 10:52:42.868067,283215689,32,326,13257,11264,16333,13559
56978,2023-01-20 10:52:43.869880,284217545,32,327,13252,11719,16053,13893
57306,2023-01-20 10:52:44.872531,285220328,32,327,13310,11953,16204,14012
