LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
17180,2023-01-20 10:50:42.474810,162562646,2,39.8044089,32.3792528,100,733.2379,17.89863,0,504,-8.45717
17506,2023-01-20 10:50:43.474873,163562647,2,39.8044254,32.3793316,100,733.207,18.42609,0,504,-8.45717
17835,2023-01-20 10:50:44.474907,164562655,2,39.8044385,32.3794079,100,733.1705,19.26965,0,504,-8.45717
18162,2023-01-20 10:50:45.474880,165562664,2,39.8044549,32.3794854,100,733.1405,20.1164,0,504,-8.45717
18488,2023-01-20 10:50:46.474931,166562657,2,39.8044723,32.3795668,100,733.1093,20.72048,0,504,-8.45717
18813,2023-01-20 10:50:47.455060,167562659,2,39.8044891,32.3796486,100,733.0763,21.38057,0,504,-8.45717
19139,2023-01-20 10:50:48.454951,168562664,2,39.8045065,32.3797302,100,733.0449,21.83094,0,504,-8.45717
19468,2023-01-20 10:50:49.454942,169562666,2,39.80452,32.3798085,100,733.0076,22.37326,0,504,-8.45717
19836,2023-01-20 10:50:50.454922,170562688,2,39.8045341,32.3798864,100,732.972,23.40749,0,504,-8.45717
20162,2023-01-20 10:50:51.454886,171562663,2,39.8045507,32.379964,100,732.9423,24.24635,0,504,-8.45717
20488,2023-01-20 10:50:52.454940,172562708,2,39.8045682,32.3800417,100,732.9144,25.0272,0,504,-8.45717
20814,2023-01-20 10:50:53.454890,173562666,2,39.8045844,32.3801211,100,732.8823,25.71417,0,504,-8.45717
21143,2023-01-20 10:50:54.454957,174562710,2,39.8046006,32.3802047,100,732.8332,26.12441,0,504,-8.45717
21470,2023-01-20 10:50:55.454833,175562675,2,39.8046134,32.380283,100,732.7738,26.87757,0,504,-8.45717
21795,2023-01-20 10:50:56.434787,176562677,2,39.8046262,32.3803594,100,732.7186,27.92051,0,504,-8.45717
22121,2023-01-20 10:50:57.434721,177562657,2,39.8046433,32.3804374,100,732.674,28.82177,0,504,-8.45717
22447,2023-01-20 10:50:58.434594,178562664,2,39.804661,32.3805174,100,732.6313,29.48859,0,504,-8.45717
22776,2023-01-20 10:50:59.434577,179562656,2,39.8046772,32.3805984,100,732.5865,30.15735,0,504,-8.45717
23102,2023-01-20 10:51:00.434582,180562652,2,39.8046919,32.3806777,100,732.5419,30.96639,0,504,-8.45717
23428,2023-01-20 10:51:01.434588,181562665,2,39.8047045,32.3807547,100,732.4959,31.91287,0,504,-8.45717
23754,2023-01-20 10:51:02.434576,182562644,2,39.804722,32.3808343,100,732.4634,32.65472,0,504,-8.45717
24080,2023-01-20 10:51:03.434563,183562653,2,39.8047395,32.3809143,100,732.4329,33.29247,0,504,-8.45717
24409,2023-01-20 10:51:04.434576,184562650,2,39.8047539,32.3809938,100,732.3963,33.94727,0,504,-8.45717
24738,2023-01-20 10:51:05.434538,185562641,2,39.8047702,32.3810747,100,732.3663,34.7135,0,504,-8.45717
25064,2023-01-20 10:51:06.431471,186562652,2,39.8047884,32.3811547,100,732.346,35.4136,0,504,-8.45717
25439,2023-01-20 10:51:07.416729,187562696,2,39.8048027,32.3812333,100,732.3171,36.11713,0,504,-8.45717
25764,2023-01-20 10:51:08.414902,188562644,2,39.8048177,32.3813103,100,732.2938,37.05812,0,504,-8.45717
26093,2023-01-20 10:51:09.414949,189562697,2,39.8048347,32.3813904,100,732.0574,38.03174,0,504,-8.45717
26419,2023-01-20 10:51:10.414891,190562648,2,39.8048503,32.3814707,100,731.7741,38.94244,0,504,-8.45717
26745,2023-01-20 10:51:11.414829,191562667,2,39.8048655,32.3815502,100,731.4833,39.79139,0,504,-8.45717
27071,2023-01-20 10:51:12.414916,192562670,2,39.8048824,32.3816284,100,731.1923,40.8602,0,504,-8.45717
27397,2023-01-20 10:51:13.414828,193562663,2,39.8048988,32.3817068,100,730.8898,41.93469,0,504,-8.45717
27726,2023-01-20 10:51:14.414914,194562668,2,39.8049148,32.3817857,100,730.5836,42.83689,0,504,-8.45717
28053,2023-01-20 10:51:15.414927,195562671,2,39.804932,32.3818651,100,730.2822,43.84417,0,504,-8.45717
28379,2023-01-20 10:51:16.413570,196562653,2,39.804943,32.3819429,100,729.9785,44.89643,0,504,-8.45717
28703,2023-01-20 10:51:17.394999,197562650,2,39.8049569,32.3820212,100,729.683,45.94855,0,504,-8.45717
29029,2023-01-20 10:51:18.394918,198562651,2,39.8049748,32.3821008,100,729.3972,46.98531,0,504,-8.45717
29358,2023-01-20 10:51:19.394816,199562659,2,39.8049917,32.3821804,100,729.1138,47.85611,0,504,-8.45717
29684,2023-01-20 10:51:20.394886,200562665,2,39.8050059,32.3822601,100,728.8272,48.76237,0,504,-8.45717
30009,2023-01-20 10:51:21.394919,201562666,2,39.8050218,32.3823395,100,728.5513,49.67387,0,504,-8.45717
30315,2023-01-20 10:51:22.394931,202562576,2,39.8050365,32.3824147,100,728.2936,50.58674,0,504,-8.45717
30610,2023-01-20 10:51:23.394919,203562540,2,39.8050396,32.3824767,100,728.0541,51.46685,0,504,-8.45717
30917,2023-01-20 10:51:24.394974,204562752,2,39.8050358,32.3825265,100,727.9219,51.89499,0,504,-8.45717
31290,2023-01-20 10:51:25.395026,205562743,2,39.8050288,32.382559,100,727.8309,52.16046,0,504,-8.45717
31614,2023-01-20 10:51:26.375035,206562665,2,39.8050304,32.3825791,100,727.7935,52.55577,0,504,-8.45717
31938,2023-01-20 10:51:27.374983,207562669,2,39.8050393,32.3826122,100,727.7503,53.01084,0,504,-8.45717
32262,2023-01-20 10:51:28.374934,208562648,2,39.805052,32.3826663,100,727.6708,53.68744,0,504,-8.45717
32591,2023-01-20 10:51:29.374911,209562668,2,39.805067,32.382735,100,727.5609,54.55357,0,504,-8.45717
32917,2023-01-20 10:51:30.374885,210562641,2,39.8050867,32.3828093,100,727.4437,55.32451,0,504,-8.45717
33238,2023-01-20 10:51:31.374925,211562573,2,39.8051053,32.3828847,100,727.3135,55.98597,0,504,-8.45717
33532,2023-01-20 10:51:32.374933,212562571,2,39.8051171,32.382951,100,727.183,56.4254,0,504,-8.45717
33826,2023-01-20 10:51:33.374951,213562601,2,39.805121,32.3830004,100,727.0738,56.52789,0,504,-8.45717
34145,2023-01-20 10:51:34.374906,214562662,2,39.8051161,32.3830365,100,726.9797,56.22043,0,504,-8.45717
