Message,Columns
RMGH,"Dec, Avail, NumInst, AutoDec, NumEna, LOE, C, FUsable"
RMGI,"LU, OX, OY, OZ, FX, FY, FZ, UFY, H, HSF, I"
ROFH,"FX, FY, GX, GY, Tms, PX, PY, PZ, Qual"
RPM,"TimeUS, rpm1, rpm2"
RRNH,"GCl, MaxD, NumSensors"
RRNI,"PX, PY, PZ, Dist, Orient, Status, I"
RSO2,"Lat, Lon, Alt"
RSO3,"Lat, Lon, Alt"
RSSI,"TimeUS, RXRSSI, RXLQ"
RVOH,"OX, OY, OZ, Del, H, Ena"
RWA2,"Airspeed, uncertainty"
RWA3,"Airspeed, Uncertainty"
RWOH,"DA, DT, TS, PX, PY, PZ, R"
SA,"TimeUS, State, DVelX, DVelY, DVelZ, MVelX, MVelY, MVelZ, Back"
SCR,"TimeUS, Name, Runtime, Total_mem, Run_mem"
SIDD,"TimeUS, Time, Targ, F, Gx, Gy, Gz, Ax, Ay, Az"
SIDS,"TimeUS, Ax, Mag, FSt, FSp, TFin, TC, TR, TFout"
SIM,"TimeUS, Roll, Pitch, Yaw, Alt, Lat, Lng, Q1, Q2, Q3, Q4"
SRTL,"TimeUS, Active, NumPts, MaxPts, Action, N, E, D"
STAK,"TimeUS, Id, Pri, Total, Free, Name"
TERR,"TimeUS, Status, Lat, Lng, Spacing, TerrH, CHeight, Pending, Loaded, ROfs"
TRIG,"TimeUS, GPSTime, GPSWeek, Lat, Lng, Alt, RelAlt, GPSAlt, Roll, Pitch, Yaw"
UBX1,"TimeUS, Instance, noisePerMS, jamInd, aPower, agcCnt, config"
UBX2,"TimeUS, Instance, ofsI, magI, ofsQ, magQ"
UNIT,"TimeUS, Id, Label"
VER,"TimeUS, BT, BST, Maj, Min, Pat, FWT, GH, FWS, APJ"
VIBE,"TimeUS, IMU, VibeX, VibeY, VibeZ, Clip"
VSTB,"TimeUS, GyrX, GyrY, GyrZ, AccX, AccY, AccZ, Q1, Q2, Q3, Q4"
WDOG,"TimeUS, Tsk, IE, IEC, IEL, MvMsg, MvCmd, SmLn, FL, FT, FA, FP, ICSR, LR, TN"
WENC,"TimeUS, Dist0, Qual0, Dist1, Qual1"
WINC,"TimeUS, Heal, ThEnd, Mov, Clut, Mode, DLen, Len, DRate, Tens, Vcc, Temp"
XKF0,"TimeUS, C, ID, rng, innov, SIV, TR, BPN, BPE, BPD, OFH, OFL, OFN, OFE, OFD"
XKF1,"TimeUS, C, Roll, Pitch, Yaw, VN, VE, VD, dPD, PN, PE, PD, GX, GY, GZ, OH"
XKF2,"TimeUS, C, AX, AY, AZ, VWN, VWE, MN, ME, MD, MX, MY, MZ, IDX, IDY, IS"
XKF3,"TimeUS, C, IVN, IVE, IVD, IPN, IPE, IPD, IMX, IMY, IMZ, IYAW, IVT, RErr, ErSc"
XKF4,"TimeUS, C, SV, SP, SH, SM, SVT, errRP, OFN, OFE, FS, TS, SS, GPS, PI"
XKF5,"TimeUS, C, NI, FIX, FIY, AFI, HAGL, offset, RI, rng, Herr, eAng, eVel, ePos"
XKFD,"TimeUS, C, IX, IY, IZ, IVX, IVY, IVZ"
XKFM,"TimeUS, C, OGNM, GLR, ALR, GDR, ADR"
XKFS,"TimeUS, C, MI, BI, GI, AI, SS"
XKQ,"TimeUS, C, Q1, Q2, Q3, Q4"
XKT,"TimeUS, C, Cnt, IMUMin, IMUMax, EKFMin, EKFMax, AngMin, AngMax, VMin, VMax"
XKTV,"TimeUS, C, TVS, TVD"
XKV1,"TimeUS, C, V00, V01, V02, V03, V04, V05, V06, V07, V08, V09, V10, V11"
XKV2,"TimeUS, C, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23"
XKY0,"TimeUS, C, YC, YCS, Y0, Y1, Y2, Y3, Y4, W0, W1, W2, W3, W4"
XKY1,"TimeUS, C, IVN0, IVN1, IVN2, IVN3, IVN4, IVE0, IVE1, IVE2, IVE3, IVE4"
