LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
25833,2023-01-20 10:51:08.617583,188765435,2,12623,273,0,6,0,7
26162,2023-01-20 10:51:09.619791,189767538,2,12706,274,0,6,0,8
26510,2023-01-20 10:51:10.622120,190769975,2,12790,275,0,6,0,8
26836,2023-01-20 10:51:11.622285,191770029,2,12873,276,0,6,0,8
27163,2023-01-20 10:51:12.624610,192772453,2,12956,277,0,6,0,8
27489,2023-01-20 10:51:13.627248,193774977,2,13039,278,0,6,0,8
27819,2023-01-20 10:51:14.629933,194777776,2,13122,279,0,6,0,8
28145,2023-01-20 10:51:15.632226,195779975,2,13205,280,0,6,0,8
28471,2023-01-20 10:51:16.612463,196780040,2,13288,281,0,6,0,8
28797,2023-01-20 10:51:17.614790,197782467,2,13371,282,0,6,0,8
29123,2023-01-20 10:51:18.617237,198784989,2,13454,283,0,6,0,8
29452,2023-01-20 10:51:19.619800,199787540,2,13537,284,0,6,0,8
29778,2023-01-20 10:51:20.622555,200790301,2,13621,284,0,6,0,8
30104,2023-01-20 10:51:21.624767,201792497,2,13704,284,0,6,0,8
30401,2023-01-20 10:51:22.627203,202794887,2,13786,284,0,6,0,8
30695,2023-01-20 10:51:23.629762,203797389,2,13867,284,0,6,0,8
31059,2023-01-20 10:51:24.632211,204799986,2,13951,289,0,6,0,8
31383,2023-01-20 10:51:25.637249,205804997,2,14034,289,0,6,0,8
31707,2023-01-20 10:51:26.617349,206805059,2,14117,289,0,6,0,8
32031,2023-01-20 10:51:27.619855,207807538,2,14200,289,0,6,0,8
32355,2023-01-20 10:51:28.622236,208809992,2,14283,289,0,6,0,8
32685,2023-01-20 10:51:29.624761,209812497,2,14366,290,0,6,0,8
33011,2023-01-20 10:51:30.627696,210815474,2,14456,290,0,6,0,8
33323,2023-01-20 10:51:31.629749,211817399,2,14545,290,0,6,0,8
33618,2023-01-20 10:51:32.632255,212819896,2,14626,290,0,6,0,8
33912,2023-01-20 10:51:33.634700,213822406,2,14707,290,0,6,0,8
34241,2023-01-20 10:51:34.637217,214824986,2,14795,293,0,6,0,8
34566,2023-01-20 10:51:35.617458,215825047,2,14880,293,0,6,0,8
34890,2023-01-20 10:51:36.620143,216827868,2,14963,293,0,6,0,8
35198,2023-01-20 10:51:37.622204,217829984,2,15048,293,0,6,0,8
35511,2023-01-20 10:51:38.625170,218832817,2,15131,293,0,6,0,8
35817,2023-01-20 10:51:39.627231,219834994,2,15215,294,0,6,0,8
36140,2023-01-20 10:51:40.627279,220835033,2,15299,305,0,6,0,8
36463,2023-01-20 10:51:41.629732,221837575,2,15382,305,0,6,0,8
36787,2023-01-20 10:51:42.632583,222840335,2,15465,307,0,6,0,8
37111,2023-01-20 10:51:43.634662,223842507,2,15548,307,0,6,0,8
37440,2023-01-20 10:51:44.637185,224844912,2,15632,307,0,6,0,8
37756,2023-01-20 10:51:45.617185,225845060,2,15717,309,0,6,0,8
38080,2023-01-20 10:51:46.636073,226847548,2,15800,311,0,6,0,8
38404,2023-01-20 10:51:47.621897,227849999,2,15883,312,0,6,0,8
38728,2023-01-20 10:51:48.621907,228850007,2,15966,313,0,6,0,8
39056,2023-01-20 10:51:49.624720,229852824,2,16049,314,0,6,0,8
39381,2023-01-20 10:51:50.626909,230855016,2,16133,315,0,6,0,8
39705,2023-01-20 10:51:51.629398,231857496,2,16216,316,0,6,0,8
40032,2023-01-20 10:51:52.631900,232859995,2,16304,317,0,6,0,8
40356,2023-01-20 10:51:53.631930,233860023,2,16387,318,0,6,0,8
40687,2023-01-20 10:51:54.614949,234862581,2,16470,319,0,6,0,8
41016,2023-01-20 10:51:55.615483,235863140,2,16553,320,0,6,0,8
41342,2023-01-20 10:51:56.617641,236865464,2,16641,321,0,6,0,8
41666,2023-01-20 10:51:57.619733,237867547,2,16724,322,0,6,0,8
42014,2023-01-20 10:51:58.622184,238870013,2,16807,323,0,6,0,8
42344,2023-01-20 10:51:59.624676,239872484,2,16891,324,0,6,0,8
42670,2023-01-20 10:52:00.627176,240874992,2,16975,325,0,6,0,8
43039,2023-01-20 10:52:01.627196,241875011,2,17059,326,0,6,0,8
43365,2023-01-20 10:52:02.629977,242877831,2,17142,327,0,6,0,8
43692,2023-01-20 10:52:03.632238,243879990,2,17226,328,0,6,0,8
44022,2023-01-20 10:52:04.613814,244880005,2,17309,329,0,6,0,8
44349,2023-01-20 10:52:05.614829,245882511,2,17393,330,0,6,0,8
44677,2023-01-20 10:52:06.617147,246885001,2,17478,331,0,6,0,8
45002,2023-01-20 10:52:07.619784,247887565,2,17561,332,0,6,0,8
45329,2023-01-20 10:52:08.622479,248890329,2,17645,333,0,6,0,8
45658,2023-01-20 10:52:09.624713,249892528,2,17728,334,0,6,0,8
45986,2023-01-20 10:52:10.627150,250895005,2,17813,335,0,6,0,8
46312,2023-01-20 10:52:11.629669,251897488,2,17896,336,0,6,0,8
46639,2023-01-20 10:52:12.632176,252899988,2,17980,337,0,6,0,8
