LineNo,UTC_Approx,TimeUS,LR,NLon,NL,MaxT,Mem,Load,ErrL,IntE,ErrC,SPIC,I2CC,I2CI,Ex
165824,2023-01-20 10:58:13.527785,614564896,400,0,4000,2733,21880,361,0,0,0,2055769,158500,698336,0
169146,2023-01-20 10:58:23.507611,624564852,400,0,4000,2611,21880,361,0,0,0,2089992,161071,709691,0
172416,2023-01-20 10:58:33.487582,634564857,400,0,4000,2621,21880,360,0,0,0,2124206,163640,721036,0
175736,2023-01-20 10:58:43.467616,644564898,400,0,4000,2605,21880,361,0,0,0,2158279,166210,732386,0
179010,2023-01-20 10:58:53.447128,654564854,400,0,4000,2593,21880,367,0,0,0,2192541,168781,743741,0
182329,2023-01-20 10:59:03.427619,664564849,400,0,4000,2799,21880,370,0,0,0,2226746,171348,755076,0
185649,2023-01-20 10:59:13.407568,674564903,400,0,4000,2631,21880,364,0,0,0,2260884,173918,766426,0
188905,2023-01-20 10:59:23.387546,684564854,400,0,4000,2627,21880,359,0,0,0,2295267,176489,777781,0
192166,2023-01-20 10:59:33.367558,694564859,400,0,4000,2643,21880,355,0,0,0,2329364,179058,789126,0
195481,2023-01-20 10:59:43.347116,704564840,400,0,4000,2767,21880,354,0,0,0,2363571,181628,800476,0
198755,2023-01-20 10:59:53.327497,714565486,400,0,4000,2820,21880,364,0,0,0,2397851,184199,811831,0
202075,2023-01-20 11:00:03.307185,724565493,400,0,4000,2613,21880,365,0,0,0,2432011,186768,823171,0
205345,2023-01-20 11:00:13.287516,734565497,400,0,4000,2680,21880,365,0,0,0,2466303,189337,834516,0
208667,2023-01-20 11:00:23.267534,744565489,400,0,4000,2624,21880,370,0,0,0,2500534,191908,845871,0
211987,2023-01-20 11:00:33.247549,754565480,400,0,4000,2748,21880,369,0,0,0,2534639,194477,857216,0
215258,2023-01-20 11:00:43.227526,764565852,400,0,4000,2867,21880,367,0,0,0,2568972,197048,868574,0
218580,2023-01-20 11:00:53.207484,774565851,400,0,4000,2625,21880,357,0,0,0,2603319,199617,879921,0
221849,2023-01-20 11:01:03.187503,784565851,400,0,4000,2595,21880,356,0,0,0,2637635,202177,891224,0
225158,2023-01-20 11:01:13.167459,794565825,400,0,4000,2628,21880,350,0,0,0,2671946,204746,902574,0
228418,2023-01-20 11:01:23.147114,804565848,400,0,4000,2768,21880,350,0,0,0,2706197,207317,913929,0
231733,2023-01-20 11:01:33.127487,814565842,400,0,4000,2577,21880,349,0,0,0,2740493,209887,925279,0
235003,2023-01-20 11:01:43.107465,824565848,400,0,4000,2595,21880,352,0,0,0,2774594,212456,936624,0
238325,2023-01-20 11:01:53.087503,834565847,400,0,4000,2603,21880,352,0,0,0,2808783,215027,947979,0
241595,2023-01-20 11:02:03.067501,844565843,400,0,4000,2599,21880,355,0,0,0,2842902,217596,959319,0
244915,2023-01-20 11:02:13.047097,854565840,400,0,4000,2712,21880,363,0,0,0,2877043,220164,970664,0
248235,2023-01-20 11:02:23.007706,864565859,400,0,4000,2584,21880,354,0,0,0,2911335,222735,982019,0
251505,2023-01-20 11:02:32.987699,874565822,400,0,4000,2598,21880,351,0,0,0,2945583,225305,993369,0
254825,2023-01-20 11:02:42.967552,884565845,400,0,4000,2589,21880,349,0,0,0,2979689,227874,1004714,0
258095,2023-01-20 11:02:52.947232,894565842,400,0,4000,2578,21880,346,0,0,0,3013928,230443,1016061,0
261409,2023-01-20 11:03:02.927530,904565856,400,0,4000,2764,21880,350,0,0,0,3048236,233013,1027411,0
264666,2023-01-20 11:03:12.907585,914565852,400,0,4000,2620,21880,355,0,0,0,3082410,235582,1038756,0
267912,2023-01-20 11:03:22.887538,924565880,400,0,4000,2665,21880,348,0,0,0,3116516,238153,1050111,0
271170,2023-01-20 11:03:32.867571,934565869,400,0,4000,2596,21880,360,0,0,0,3150773,240721,1061451,0
274484,2023-01-20 11:03:42.847136,944565842,400,0,4000,2616,21880,370,0,0,0,3184901,243290,1072796,0
277803,2023-01-20 11:03:52.827583,954565890,400,0,4000,2743,21880,372,0,0,0,3219241,245861,1084151,0
281075,2023-01-20 11:04:02.807488,964565844,400,0,4000,2642,21880,362,0,0,0,3253521,248431,1095501,0
284377,2023-01-20 11:04:12.787490,974565842,400,0,4000,2615,21880,351,0,0,0,3287757,251000,1106846,0
287617,2023-01-20 11:04:22.767531,984565855,400,0,4000,2592,21880,358,0,0,0,3321803,253571,1118201,0
290862,2023-01-20 11:04:32.747135,994565847,400,0,4000,2663,21880,357,0,0,0,3355965,256141,1129551,0
294106,2023-01-20 11:04:42.727574,1004565887,400,0,4000,2796,21880,359,0,0,0,3390079,258706,1140878,0
297346,2023-01-20 11:04:52.707474,1014565848,400,0,4000,2637,21880,358,0,0,0,3424312,261264,1152176,0
300588,2023-01-20 11:05:02.687455,1024565736,400,0,4000,2629,21880,336,0,0,0,3458355,263834,1163526,0
303354,2023-01-20 11:05:12.667601,1034565665,400,0,4000,2578,21880,264,0,0,0,3491816,266397,1174845,0
