LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
8595,2023-01-20 10:50:16.039857,136068004,1506,1505,1505,1411,1505,1505,1054,1055,0,0,0,0,0,0
8627,2023-01-20 10:50:16.139898,136168014,1506,1505,1505,1411,1505,1505,1055,1054,0,0,0,0,0,0
8660,2023-01-20 10:50:16.239847,136267966,1506,1505,1505,1412,1505,1505,1055,1054,0,0,0,0,0,0
8690,2023-01-20 10:50:16.339802,136367975,1505,1506,1505,1417,1505,1505,1054,1055,0,0,0,0,0,0
8723,2023-01-20 10:50:16.439785,136467968,1506,1505,1505,1417,1505,1505,1055,1054,0,0,0,0,0,0
8755,2023-01-20 10:50:16.539883,136568008,1506,1505,1505,1418,1505,1505,1055,1054,0,0,0,0,0,0
8791,2023-01-20 10:50:16.639900,136667991,1506,1505,1505,1418,1505,1505,1055,1054,0,0,0,0,0,0
8821,2023-01-20 10:50:16.739877,136767971,1506,1505,1505,1418,1505,1505,1055,1054,0,0,0,0,0,0
8855,2023-01-20 10:50:16.839883,136867987,1506,1505,1505,1418,1505,1505,1054,1055,0,0,0,0,0,0
8885,2023-01-20 10:50:16.939844,136967972,1506,1505,1505,1418,1505,1505,1054,1055,0,0,0,0,0,0
8918,2023-01-20 10:50:17.039843,137067974,1506,1505,1505,1418,1505,1505,1055,1054,0,0,0,0,0,0
8950,2023-01-20 10:50:17.139906,137168008,1506,1505,1505,1417,1505,1505,1055,1054,0,0,0,0,0,0
8983,2023-01-20 10:50:17.239933,137268021,1506,1505,1505,1417,1505,1505,1054,1055,0,0,0,0,0,0
9013,2023-01-20 10:50:17.339920,137368017,1506,1505,1505,1417,1505,1505,1054,1055,0,0,0,0,0,0
9046,2023-01-20 10:50:17.439874,137467972,1506,1505,1505,1417,1505,1505,1055,1054,0,0,0,0,0,0
9078,2023-01-20 10:50:17.539882,137567969,1506,1505,1505,1417,1505,1505,1055,1054,0,0,0,0,0,0
9114,2023-01-20 10:50:17.639961,137668042,1506,1505,1505,1416,1505,1505,1055,1054,0,0,0,0,0,0
9144,2023-01-20 10:50:17.739897,137767978,1506,1505,1505,1416,1505,1505,1055,1054,0,0,0,0,0,0
9178,2023-01-20 10:50:17.836358,137867995,1506,1505,1505,1417,1505,1505,1055,1054,0,0,0,0,0,0
9208,2023-01-20 10:50:17.927432,137967975,1505,1505,1505,1417,1505,1506,1054,1054,0,0,0,0,0,0
9242,2023-01-20 10:50:18.022591,138068028,1505,1505,1505,1416,1505,1506,1054,1054,0,0,0,0,0,0
9274,2023-01-20 10:50:18.133352,138167994,1505,1505,1505,1417,1505,1506,1054,1054,0,0,0,0,0,0
9307,2023-01-20 10:50:18.239844,138267974,1505,1505,1505,1418,1505,1506,1054,1054,0,0,0,0,0,0
9337,2023-01-20 10:50:18.339955,138368044,1505,1505,1505,1448,1506,1505,1054,1054,0,0,0,0,0,0
9370,2023-01-20 10:50:18.436348,138467963,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
9402,2023-01-20 10:50:18.527457,138567969,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
9438,2023-01-20 10:50:18.620393,138667997,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
