LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
3892,2023-01-20 10:50:01.565105,121567243,1506,1505,1605,1505,1506,1505,1054,1054,0,0,0,0,0,0
3927,2023-01-20 10:50:01.665195,121667314,1506,1505,1606,1505,1506,1505,1054,1054,0,0,0,0,0,0
3958,2023-01-20 10:50:01.765437,121767554,1505,1506,1606,1505,1505,1506,1054,1054,0,0,0,0,0,0
3991,2023-01-20 10:50:01.865386,121867552,1506,1505,1602,1505,1505,1506,1054,1054,0,0,0,0,0,0
4023,2023-01-20 10:50:01.965345,121967586,1506,1505,1601,1505,1505,1506,1054,1054,0,0,0,0,0,0
4055,2023-01-20 10:50:02.065328,122067552,1505,1506,1595,1505,1505,1505,1054,1055,0,0,0,0,0,0
4088,2023-01-20 10:50:02.165415,122167573,1505,1505,1597,1505,1505,1505,1054,1055,0,0,0,0,0,0
4120,2023-01-20 10:50:02.265471,122267607,1505,1505,1592,1505,1505,1505,1054,1055,0,0,0,0,0,0
4151,2023-01-20 10:50:02.365402,122367540,1505,1505,1590,1506,1505,1505,1054,1054,0,0,0,0,0,0
4183,2023-01-20 10:50:02.465141,122467540,1505,1505,1591,1505,1506,1505,1054,1054,0,0,0,0,0,0
4216,2023-01-20 10:50:02.564517,122567313,1505,1505,1593,1505,1506,1505,1054,1054,0,0,0,0,0,0
4252,2023-01-20 10:50:02.664366,122667279,1506,1505,1598,1505,1505,1506,1054,1054,0,0,0,0,0,0
4282,2023-01-20 10:50:02.764398,122767274,1506,1505,1607,1505,1506,1505,1054,1054,0,0,0,0,0,0
4317,2023-01-20 10:50:02.864412,122867291,1505,1505,1621,1506,1505,1505,1054,1054,0,0,0,0,0,0
4347,2023-01-20 10:50:02.964350,122967254,1505,1505,1636,1505,1505,1505,1054,1055,0,0,0,0,0,0
4380,2023-01-20 10:50:03.064359,123067273,1505,1505,1650,1505,1506,1505,1054,1054,0,0,0,0,0,0
4412,2023-01-20 10:50:03.164445,123167361,1505,1506,1658,1505,1505,1506,1054,1054,0,0,0,0,0,0
4445,2023-01-20 10:50:03.264332,123267245,1505,1505,1667,1505,1505,1505,1054,1055,0,0,0,0,0,0
4475,2023-01-20 10:50:03.364360,123367268,1505,1505,1676,1505,1505,1505,1055,1054,0,0,0,0,0,0
4508,2023-01-20 10:50:03.464362,123467259,1505,1505,1688,1506,1505,1505,1054,1054,0,0,0,0,0,0
4540,2023-01-20 10:50:03.564361,123567245,1505,1505,1704,1505,1505,1505,1054,1055,0,0,0,0,0,0
4576,2023-01-20 10:50:03.664404,123667285,1505,1505,1746,1506,1505,1505,1054,1054,0,0,0,0,0,0
4606,2023-01-20 10:50:03.764400,123767285,1505,1505,1748,1505,1505,1506,1054,1054,0,0,0,0,0,0
4640,2023-01-20 10:50:03.864588,123867274,1505,1505,1747,1505,1505,1506,1054,1054,0,0,0,0,0,0
4672,2023-01-20 10:50:03.964923,123967297,1471,1505,1728,1505,1505,1505,1055,1054,0,0,0,0,0,0
4705,2023-01-20 10:50:04.065034,124067255,1428,1505,1702,1505,1506,1505,1054,1054,0,0,0,0,0,0
4737,2023-01-20 10:50:04.165138,124167292,1400,1505,1678,1506,1505,1505,1054,1055,0,0,0,0,0,0
4770,2023-01-20 10:50:04.265181,124267314,1377,1505,1641,1505,1505,1505,1055,1054,0,0,0,0,0,0
4800,2023-01-20 10:50:04.365131,124367268,1384,1506,1647,1505,1505,1506,1054,1054,0,0,0,0,0,0
4833,2023-01-20 10:50:04.465085,124467250,1430,1505,1672,1505,1505,1506,1054,1054,0,0,0,0,0,0
4866,2023-01-20 10:50:04.565054,124567259,1478,1505,1682,1505,1505,1505,1055,1054,0,0,0,0,0,0
