LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
2281,2023-01-20 10:49:57.565900,117564552,0,-0.001614562,-0.003654733,0.001582418,0.01621304,0.2109182,-9.875082,0,0,26.84387,1,1,7975,996
2313,2023-01-20 10:49:57.602366,117604427,0,-0.002844423,-0.003695074,0.0005475878,0.01066679,0.2064817,-9.889743,0,0,26.845,1,1,7975,996
2325,2023-01-20 10:49:57.642338,117644407,0,-0.001140264,-0.003444188,0.0002444429,0.009046177,0.2158358,-9.89081,0,0,26.8464,1,1,7975,996
2365,2023-01-20 10:49:57.682632,117684710,0,-0.001741868,-0.004636482,0.001233057,-0.0001243167,0.2143397,-9.879457,0,0,26.84777,1,1,7975,996
2375,2023-01-20 10:49:57.722319,117724406,0,-0.001221864,-0.003805106,0.001291666,0.01835984,0.2075689,-9.886402,0,0,26.84894,1,1,7975,996
2391,2023-01-20 10:49:57.762456,117764552,0,-0.0006816465,-0.002928643,0.0006089282,0.01270341,0.2159071,-9.881354,0,0,26.85025,1,1,7975,996
2425,2023-01-20 10:49:57.802331,117804436,0,-0.001679633,-0.00330829,0.001981269,0.01511163,0.212563,-9.888,0,0,26.85138,1,1,7975,996
2430,2023-01-20 10:49:57.842321,117844438,0,-0.001830071,-0.002516288,0.001083808,0.01231754,0.2129488,-9.873945,0,0,26.85211,1,1,7975,996
2462,2023-01-20 10:49:57.882725,117884854,0,-0.002310497,-0.002883488,0.0007045223,0.005424241,0.2110553,-9.860514,0,0,26.85168,1,1,7975,996
2469,2023-01-20 10:49:57.922301,117924442,0,-0.001560803,-0.00318696,0.00101493,0.01419692,0.2113434,-9.895524,0,0,26.85138,1,1,7975,996
2481,2023-01-20 10:49:57.962403,117964556,0,-0.002198466,-0.003017423,-5.174183E-05,0.004850572,0.2034844,-9.887941,0,0,26.85218,1,1,7975,996
2510,2023-01-20 10:49:58.002258,118004420,0,-0.002578895,-0.003514169,0.000680385,0.01682708,0.2111973,-9.88787,0,0,26.85308,1,1,7975,996
2514,2023-01-20 10:49:58.042578,118044707,0,-0.001639838,-0.003170479,0.0002903921,0.007204397,0.2172445,-9.876539,0,0,26.85461,1,1,7975,996
2547,2023-01-20 10:49:58.082337,118084433,0,-0.001036542,-0.003270239,0.0005345621,0.01475795,0.2283381,-9.884055,0,0,26.85645,1,1,7975,996
2551,2023-01-20 10:49:58.122380,118124443,0,-0.002301756,-0.003140401,0.0008367879,0.005956254,0.204062,-9.876683,0,0,26.85832,1,1,7975,996
2562,2023-01-20 10:49:58.162528,118164558,0,-0.001527487,-0.002945424,0.001243514,0.01594561,0.2127484,-9.885612,0,0,26.86011,1,1,7975,996
2593,2023-01-20 10:49:58.202534,118204534,0,-0.002269864,-0.002930862,0.0009451069,0.02107924,0.2032612,-9.887506,0,0,26.86169,1,1,7975,996
2597,2023-01-20 10:49:58.242696,118244708,0,-0.0007646868,-0.003084738,0.000484925,0.002035422,0.2073536,-9.888105,0,0,26.86407,1,1,7975,996
2629,2023-01-20 10:49:58.282412,118284436,0,-0.001451037,-0.003018805,0.001301892,0.009846211,0.2164958,-9.875116,0,0,26.86637,1,1,7975,996
2633,2023-01-20 10:49:58.322418,118324454,0,0.0005939142,-0.002931142,0.004789501,-0.003662053,0.2047591,-9.890512,0,0,26.86868,1,1,7975,996
2644,2023-01-20 10:49:58.362504,118364553,0,0.006487969,0.005786134,0.006812251,-0.02455764,0.2197432,-9.885262,0,0,26.87093,1,1,7975,996
2671,2023-01-20 10:49:58.402395,118404455,0,-0.001079296,-0.003072898,0.03258169,-0.02825981,0.200747,-9.855085,0,0,26.87267,1,1,7975,996
2675,2023-01-20 10:49:58.442663,118444724,0,0.004204409,0.002910296,0.04981784,0.01252095,0.2256162,-9.881051,0,0,26.87391,1,1,7975,996
2707,2023-01-20 10:49:58.482397,118484459,0,-0.005097779,-0.0005828793,0.04055793,0.005114383,0.2596754,-9.885557,0,0,26.87477,1,1,7975,996
2711,2023-01-20 10:49:58.522370,118524432,0,-0.005851811,-0.005887183,-0.006974248,0.04347778,0.1980377,-9.888207,0,0,26.87519,1,1,7975,996
2724,2023-01-20 10:49:58.562493,118564556,0,-0.00665446,-0.008403648,-0.005742292,0.06753705,0.2214757,-9.875812,0,0,26.87495,1,1,7975,996
2752,2023-01-20 10:49:58.602378,118604443,0,-0.002626375,-0.005862944,-0.006939929,-0.004961547,0.2248369,-9.89293,0,0,26.8749,1,1,7975,996
2756,2023-01-20 10:49:58.642675,118644750,0,-0.0007808669,-0.006167688,-0.01672557,0.01203002,0.1497115,-9.873455,0,0,26.87557,1,1,7975,996
2790,2023-01-20 10:49:58.682332,118684418,0,-0.003954656,-0.005606295,-0.01493689,0.07260986,0.1280795,-9.900442,0,0,26.87612,1,1,7975,996
2795,2023-01-20 10:49:58.722342,118724439,0,-0.002958801,-0.003187777,0.009770614,0.04635802,0.2595569,-9.895217,0,0,26.8771,1,1,7975,996
2805,2023-01-20 10:49:58.762463,118764570,0,-0.0003552797,-0.000823991,0.03144914,-0.05099189,0.345228,-9.869394,0,0,26.8791,1,1,7975,996
2834,2023-01-20 10:49:58.802310,118804427,0,0.001305684,8.178417E-05,0.02353253,-0.06144083,0.2391561,-9.879634,0,0,26.88097,1,1,7975,996
2839,2023-01-20 10:49:58.842607,118844723,0,0.002121344,-0.006823581,-0.0004960657,0.02484622,0.08627257,-9.888773,0,0,26.88338,1,1,7975,996
2873,2023-01-20 10:49:58.882335,118884451,0,-0.0001969138,-0.001136389,-0.02778415,0.05220049,0.1178221,-9.885194,0,0,26.88531,1,1,7975,996
2877,2023-01-20 10:49:58.922372,118924487,0,-0.003062154,0.001447969,-0.03050666,0.02839884,0.2449004,-9.878997,0,0,26.88655,1,1,7975,996
2887,2023-01-20 10:49:58.962437,118964552,0,-0.004903582,-0.002346366,-0.01152602,0.02094431,0.3112163,-9.866415,0,0,26.88788,1,1,7975,996
2915,2023-01-20 10:49:59.002289,119004402,0,-0.005810302,-0.007750219,0.01505355,0.05922399,0.2638819,-9.907553,0,0,26.8889,1,1,7975,996
2919,2023-01-20 10:49:59.042744,119044847,0,-0.008884744,-0.01180962,0.04340526,0.08547443,0.2021847,-9.89444,0,0,26.88968,1,1,7975,996
2951,2023-01-20 10:49:59.082332,119084424,0,-0.01065286,-0.01790762,0.07243761,0.1315446,0.2189653,-9.901319,0,0,26.89071,1,1,7975,996
2955,2023-01-20 10:49:59.122364,119124445,0,-0.007540322,-0.02101306,0.1290835,0.1762298,0.3161893,-9.918083,0,0,26.89204,1,1,7975,996
2966,2023-01-20 10:49:59.162474,119164545,0,-0.01215795,-0.03300658,-0.03579364,0.09482613,0.2433843,-9.897572,0,0,26.8924,1,1,7975,996
2996,2023-01-20 10:49:59.202422,119204483,0,-0.01927047,0.003840285,0.002885533,0.1898203,0.1895563,-9.897026,0,0,26.89223,1,1,7975,996
2999,2023-01-20 10:49:59.242647,119244709,0,-0.01578781,-0.02064877,-0.04365662,-0.1108069,-0.02690681,-9.839731,0,0,26.8924,1,1,7975,996
3032,2023-01-20 10:49:59.282367,119284429,0,-0.009032991,-0.009273538,0.02616331,-0.08233488,0.1105351,-9.831372,0,0,26.89283,1,1,7975,996
3036,2023-01-20 10:49:59.322366,119324429,0,-0.001456978,-0.00207364,0.01253706,0.2490468,0.4009086,-9.913467,0,0,26.89361,1,1,7975,996
3046,2023-01-20 10:49:59.362495,119364558,0,-0.001406221,-0.00196026,-0.05265214,0.1113588,0.2552584,-9.957154,0,0,26.89409,1,1,7975,996
3074,2023-01-20 10:49:59.402390,119404454,0,-0.01053114,-0.01147241,0.01242322,-0.1329169,0.08591582,-9.851035,0,0,26.89479,1,1,7975,996
3078,2023-01-20 10:49:59.442651,119444717,0,-0.004415296,-0.005442876,0.01838169,0.07509173,0.1511418,-9.811641,0,0,26.89571,1,1,7975,996
3110,2023-01-20 10:49:59.482397,119484464,0,0.008442241,0.0008567991,-0.01871425,0.03728595,0.2814296,-9.935691,0,0,26.89614,1,1,7975,996
3114,2023-01-20 10:49:59.522361,119524430,0,-0.01331895,-0.007173678,0.01310747,-0.003068231,0.252265,-9.929296,0,0,26.89658,1,1,7975,996
3126,2023-01-20 10:49:59.562474,119564544,0,-0.01133192,-0.007394419,-0.01819714,0.09513947,0.1535039,-9.827902,0,0,26.89705,1,1,7975,996
3156,2023-01-20 10:49:59.602367,119604440,0,0.01071169,-0.002669631,-0.0124285,-0.0329449,0.1694038,-9.889429,0,0,26.89744,1,1,7975,996
3159,2023-01-20 10:49:59.642697,119644777,0,-0.007906127,0.01439527,0.05583983,-0.08685346,0.1945025,-9.91088,0,0,26.89829,1,1,7975,996
3192,2023-01-20 10:49:59.682328,119684415,0,-0.00750971,-0.01716075,-0.02496769,0.1632973,0.3259258,-9.885464,0,0,26.89919,1,1,7975,996
3196,2023-01-20 10:49:59.722340,119724435,0,0.007829341,-0.01059047,-0.0622126,0.05631972,0.1426243,-9.908144,0,0,26.90005,1,1,7975,996
3206,2023-01-20 10:49:59.762472,119764574,0,-0.000698181,0.0168109,0.07763496,-0.1674737,0.103774,-9.866155,0,0,26.90064,1,1,7975,996
3235,2023-01-20 10:49:59.802305,119804414,0,-0.01051937,-0.006799106,0.03037479,0.07366261,0.3281594,-9.84858,0,0,26.90144,1,1,7975,996
3240,2023-01-20 10:49:59.842623,119844734,0,0.00459649,-0.01604725,-0.08790442,0.1314173,0.2887561,-9.896881,0,0,26.90238,1,1,7975,996
3271,2023-01-20 10:49:59.882322,119884435,0,0.008732196,0.006138444,0.02957992,-0.1178735,0.04305546,-9.908756,0,0,26.90406,1,1,7975,996
3276,2023-01-20 10:49:59.922380,119924495,0,-0.01244706,0.005557474,0.06508783,-0.01148811,0.1966448,-9.836642,0,0,26.90605,1,1,7975,996
3285,2023-01-20 10:49:59.962437,119964554,0,-0.003771216,-0.01043057,-0.06188346,0.140491,0.3661177,-9.892976,0,0,26.90862,1,1,7975,996
3314,2023-01-20 10:50:00.002297,120004415,0,0.003985969,-0.009548162,-0.01735344,-0.06245272,0.1546053,-9.921437,0,0,26.91087,1,1,7975,996
3318,2023-01-20 10:50:00.042742,120044849,0,-0.01206469,0.0006712984,0.05094976,0.01285297,0.130401,-9.841765,0,0,26.91287,1,1,7975,996
3350,2023-01-20 10:50:00.082312,120084409,0,-0.003308091,0.001572213,4.827369E-05,0.07185877,0.3016555,-9.858591,0,0,26.91458,1,1,7975,996
3354,2023-01-20 10:50:00.122360,120124446,0,-0.003526056,-0.0100929,-0.007274445,-0.05865404,0.2253386,-9.9306,0,0,26.91621,1,1,7975,996
3363,2023-01-20 10:50:00.162475,120164550,0,-0.001281312,-0.01057935,0.009519429,0.05024534,0.2211334,-9.854977,0,0,26.91719,1,1,7975,996
3395,2023-01-20 10:50:00.202412,120204477,0,0.001331504,-6.894019E-05,-0.01104164,0.08133613,0.1563411,-9.862779,0,0,26.91774,1,1,7975,996
3399,2023-01-20 10:50:00.242639,120244707,0,-0.002191309,0.007945633,0.04451143,-0.1193163,0.1680954,-9.915312,0,0,26.91817,1,1,7975,996
3430,2023-01-20 10:50:00.282343,120284415,0,-0.01200186,-0.01387802,0.006340804,0.08568086,0.3469028,-9.87867,0,0,26.91804,1,1,7975,996
3434,2023-01-20 10:50:00.322365,120324440,0,0.007838781,-0.008632388,-0.04687119,0.1329237,0.2428041,-9.872468,0,0,26.91807,1,1,7975,996
3443,2023-01-20 10:50:00.362532,120364610,0,0.00070533,0.004292632,0.04086969,-0.1753651,0.01528079,-9.905523,0,0,26.9181,1,1,7975,996
3473,2023-01-20 10:50:00.402349,120404430,0,-0.002835497,0.009234628,0.05198657,-0.009409104,0.2760958,-9.847697,0,0,26.9179,1,1,7975,996
