LineNo,UTC_Approx,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
1559,2023-01-20 10:49:56.664880,116666343,0,1.161908E-10,6.066555E-06,6.06655E-06,6.08493E-08,0,0,0,0,0,0,0,0
2068,2023-01-20 10:49:57.164406,117166344,0,1.159291E-10,5.759266E-06,5.759235E-06,5.92423E-08,0,0,0,0,0,0,0,0
2348,2023-01-20 10:49:57.664269,117666343,0,1.156689E-10,4.924636E-06,4.924506E-06,5.685851E-08,0,0,0,0,0,0,0,0
2575,2023-01-20 10:49:58.164315,118166343,0,1.154221E-10,4.249786E-06,4.249556E-06,5.491225E-08,0,0,0,0,0,0,0,0
2777,2023-01-20 10:49:58.664277,118666358,0,1.151648E-10,3.292887E-06,3.292518E-06,5.221133E-08,0,0,0,0,0,0,0,0
2979,2023-01-20 10:49:59.164279,119166350,0,1.149369E-10,2.767589E-06,2.767134E-06,5.004009E-08,0,0,0,0,0,0,0,0
3179,2023-01-20 10:49:59.664291,119666375,0,1.147127E-10,2.188286E-06,2.187756E-06,4.72839E-08,0,0,0,0,0,0,0,0
3377,2023-01-20 10:50:00.164280,120166355,0,1.145032E-10,1.897308E-06,1.896725E-06,4.514907E-08,0,0,0,0,0,0,0,0
3578,2023-01-20 10:50:00.664271,120666346,0,1.142937E-10,1.579338E-06,1.578704E-06,4.25185E-08,0,0,0,0,0,0,0,0
3760,2023-01-20 10:50:01.164248,121166365,0,1.140971E-10,1.425405E-06,1.42473E-06,4.056772E-08,0,0,0,0,0,0,0,0
3923,2023-01-20 10:50:01.664229,121666348,0,1.138998E-10,1.257918E-06,1.257193E-06,3.828259E-08,0,0,0,0,0,0,0,0
4084,2023-01-20 10:50:02.164194,122166353,0,1.137171E-10,1.164778E-06,1.164007E-06,3.646894E-08,0,0,0,0,0,0,0,0
4248,2023-01-20 10:50:02.663437,122666351,0,1.135248E-10,1.070864E-06,1.070083E-06,3.442256E-08,0,0,0,0,0,0,0,0
4408,2023-01-20 10:50:03.163459,123166375,0,1.133451E-10,1.019948E-06,1.019166E-06,3.286578E-08,0,0,0,0,0,0,0,0
4572,2023-01-20 10:50:03.663474,123666355,0,1.131739E-10,9.637625E-07,9.629857E-07,2.997986E-08,0,0,0,0,0,0,0,0
4733,2023-01-20 10:50:04.164192,124166346,0,1.129758E-10,9.411834E-07,9.404251E-07,2.819713E-08,0,0,0,0,0,0,0,0
4898,2023-01-20 10:50:04.664165,124666357,0,1.128104E-10,9.150535E-07,9.143707E-07,2.665378E-08,0,0,0,0,0,0,0,0
5057,2023-01-20 10:50:05.164199,125166348,0,1.126384E-10,9.006967E-07,9.000798E-07,2.548164E-08,0,0,0,0,0,0,0,0
5222,2023-01-20 10:50:05.664237,125666350,0,1.124425E-10,8.853345E-07,8.847933E-07,2.427455E-08,0,0,0,0,0,0,0,0
5381,2023-01-20 10:50:06.144339,126166357,0,1.122913E-10,8.780188E-07,8.775027E-07,2.332203E-08,0,0,0,0,0,0,0,0
5547,2023-01-20 10:50:06.641816,126666366,0,1.129997E-10,8.671972E-07,8.666963E-07,2.229754E-08,0.001436244,0.001017567,0.001433363,0.001590604,0.00185703,0.001432002,0,0
5706,2023-01-20 10:50:07.141493,127166349,0,1.139498E-10,8.534039E-07,8.531237E-07,2.145565E-08,0.001323669,0.000636075,0.001326923,0.001513064,0.001767247,0.00132492,0,0
5870,2023-01-20 10:50:07.646106,127666349,0,1.149129E-10,8.23642E-07,8.257743E-07,2.051767E-08,0.001293869,0.0004636857,0.001298377,0.001468137,0.001700316,0.001295949,0,0
6031,2023-01-20 10:50:08.141378,128166352,0,1.158866E-10,8.035755E-07,8.090958E-07,1.976234E-08,0.001279399,0.0003670671,0.001284278,0.001442722,0.00165021,0.001281693,0,0
6195,2023-01-20 10:50:08.641444,128666362,0,1.168653E-10,7.773498E-07,7.902094E-07,1.892531E-08,0.001264162,0.0003047007,0.001270526,0.001419021,0.001582189,0.001267813,0,0
6357,2023-01-20 10:50:09.141672,129166352,0,1.178168E-10,7.641184E-07,7.815697E-07,1.822689E-08,0.001251935,0.0002615659,0.001262842,0.001409683,0.001548755,0.001260179,0,0
6521,2023-01-20 10:50:09.639155,129666642,0,1.187752E-10,7.518826E-07,7.738878E-07,1.74753E-08,0.001241356,0.0002295138,0.001251001,0.001392602,0.001523186,0.001249099,0,0
6681,2023-01-20 10:50:10.139156,130166654,0,1.197207E-10,7.466754E-07,7.699519E-07,1.687297E-08,0.001201471,0.0002044991,0.001222763,0.001342922,0.001469134,0.001222066,0,0
