LineNo,UTC_Approx,TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
131274,2023-01-20 10:56:28.860199,509676845,0,96,13,1,0,0
132959,2023-01-20 10:56:33.859492,514677228,0,96,7,1,0,0
134594,2023-01-20 10:56:38.859755,519697116,0,96,5,1,0,0
136232,2023-01-20 10:56:43.859757,524697105,0,96,7,1,0,0
137868,2023-01-20 10:56:48.860218,529717580,0,96,4,1,0,0
139553,2023-01-20 10:56:53.879635,534737001,0,97,4,1,0,0
141188,2023-01-20 10:56:58.859791,539737119,0,97,5,1,0,0
142826,2023-01-20 10:57:03.879781,544757138,0,96,5,1,0,0
144511,2023-01-20 10:57:08.859934,549757243,0,96,5,1,0,0
146173,2023-01-20 10:57:13.879686,554777000,0,96,5,1,0,0
147810,2023-01-20 10:57:18.859354,559777137,0,97,6,1,0,0
149443,2023-01-20 10:57:23.872363,564797119,0,97,5,1,0,0
151119,2023-01-20 10:57:28.859792,569797116,0,97,5,1,0,0
152749,2023-01-20 10:57:33.873074,574817606,0,97,5,1,0,0
154377,2023-01-20 10:57:38.860176,579817552,0,97,5,1,0,0
156012,2023-01-20 10:57:43.860103,584837224,0,97,5,1,0,0
157650,2023-01-20 10:57:48.859812,589837131,0,97,3,1,0,0
159331,2023-01-20 10:57:53.860005,594857156,0,97,4,1,0,0
160965,2023-01-20 10:57:58.859848,599857150,0,97,4,1,0,0
162630,2023-01-20 10:58:03.859516,604877115,0,97,8,1,0,0
164314,2023-01-20 10:58:08.879378,609897115,0,97,5,1,0,0
165949,2023-01-20 10:58:13.859930,614897124,0,97,4,1,0,0
167587,2023-01-20 10:58:18.859764,619897103,0,97,7,1,0,0
169273,2023-01-20 10:58:23.860293,624917583,0,97,5,1,0,0
170907,2023-01-20 10:58:28.860277,629917622,0,97,4,1,0,0
172544,2023-01-20 10:58:33.860048,634937330,0,97,4,1,0,0
174180,2023-01-20 10:58:38.879687,639957030,0,97,6,1,0,0
175864,2023-01-20 10:58:43.859919,644957240,0,97,6,1,0,0
177529,2023-01-20 10:58:48.879658,649976975,0,96,9,1,0,0
179165,2023-01-20 10:58:53.859364,654977111,0,96,4,1,0,0
180850,2023-01-20 10:58:58.879323,659997059,0,97,5,1,0,0
182486,2023-01-20 10:59:03.859754,664997094,0,97,4,1,0,0
184121,2023-01-20 10:59:08.880140,670017453,0,97,3,1,0,0
185804,2023-01-20 10:59:13.860140,675017550,0,97,3,1,0,0
187435,2023-01-20 10:59:18.879857,680037233,0,97,7,1,0,0
189065,2023-01-20 10:59:23.859805,685037133,0,97,4,1,0,0
190692,2023-01-20 10:59:28.872640,690057189,0,97,4,1,0,0
192326,2023-01-20 10:59:33.859833,695057147,0,98,4,1,0,0
193990,2023-01-20 10:59:38.879764,700077113,0,98,6,1,0,0
195671,2023-01-20 10:59:43.859434,705077147,0,98,6,1,0,0
197308,2023-01-20 10:59:48.860002,710097737,0,98,4,1,0,0
198944,2023-01-20 10:59:53.859864,715097851,0,98,6,1,0,0
200630,2023-01-20 10:59:58.859659,720117780,0,98,3,1,0,0
202265,2023-01-20 11:00:03.859500,725117837,0,98,4,1,0,0
203900,2023-01-20 11:00:08.859989,730137838,0,98,4,1,0,0
205537,2023-01-20 11:00:13.859815,735137782,0,98,4,1,0,0
207222,2023-01-20 11:00:18.872902,740158115,0,98,12,1,0,0
208859,2023-01-20 11:00:23.860101,745158109,0,98,5,1,0,0
210524,2023-01-20 11:00:28.860096,750177882,0,98,10,1,0,0
212208,2023-01-20 11:00:33.859854,755177824,0,98,5,1,0,0
213844,2023-01-20 11:00:38.859851,760198141,0,98,4,1,0,0
215481,2023-01-20 11:00:43.859809,765198152,0,98,7,1,0,0
217165,2023-01-20 11:00:48.860220,770218589,0,98,5,1,0,0
218802,2023-01-20 11:00:53.860280,775218656,0,98,5,1,0,0
220439,2023-01-20 11:00:58.859766,780238144,0,98,6,1,0,0
222075,2023-01-20 11:01:03.859881,785238251,0,98,5,1,0,0
223755,2023-01-20 11:01:08.859880,790258223,0,98,3,1,0,0
225383,2023-01-20 11:01:13.859957,795258292,0,98,5,1,0,0
227040,2023-01-20 11:01:18.859410,800278141,0,98,5,1,0,0
228671,2023-01-20 11:01:23.879392,805298126,0,98,5,1,0,0
230305,2023-01-20 11:01:28.859896,810298229,0,91,4,1,0,0
231990,2023-01-20 11:01:33.880265,815318597,0,91,3,1,0,0
233624,2023-01-20 11:01:38.860215,820318602,0,91,7,1,0,0
235260,2023-01-20 11:01:43.879719,825338095,0,90,6,1,0,0
236895,2023-01-20 11:01:48.859821,830338145,0,90,2,1,0,0
238583,2023-01-20 11:01:53.879908,835358217,0,90,9,1,0,0
240218,2023-01-20 11:01:58.859796,840358156,0,89,13,1,0,0
241883,2023-01-20 11:02:03.859662,845378244,0,89,4,1,0,0
243566,2023-01-20 11:02:08.859419,850378145,0,89,5,1,0,0
245203,2023-01-20 11:02:13.859993,855398151,0,89,5,1,0,0
246838,2023-01-20 11:02:18.859815,860398155,0,89,5,1,0,0
248525,2023-01-20 11:02:23.860424,865418582,0,89,3,1,0,0
250161,2023-01-20 11:02:28.879753,870438134,0,89,9,1,0,0
251798,2023-01-20 11:02:33.859918,875438138,0,88,7,1,0,0
253481,2023-01-20 11:02:38.859766,880438125,0,88,3,1,0,0
255116,2023-01-20 11:02:43.859894,885458232,0,88,4,1,0,0
256752,2023-01-20 11:02:48.859795,890458138,0,88,7,1,0,0
258415,2023-01-20 11:02:53.859493,895478110,0,88,3,1,0,0
260099,2023-01-20 11:02:58.859381,900478154,0,88,5,1,0,0
261730,2023-01-20 11:03:03.859879,905498216,0,88,5,1,0,0
263355,2023-01-20 11:03:08.859886,910498230,0,88,4,1,0,0
264989,2023-01-20 11:03:13.860206,915518587,0,89,4,1,0,0
266610,2023-01-20 11:03:18.879725,920538146,0,89,5,1,0,0
268229,2023-01-20 11:03:23.859764,925538126,0,89,4,1,0,0
269855,2023-01-20 11:03:28.859920,930538237,0,89,4,1,0,0
271492,2023-01-20 11:03:33.859953,935558153,0,89,6,1,0,0
273199,2023-01-20 11:03:38.879750,940578085,0,89,6,1,0,0
274836,2023-01-20 11:03:43.859473,945578229,0,89,15,1,0,0
276472,2023-01-20 11:03:48.879497,950598217,0,95,7,1,0,0
278156,2023-01-20 11:03:53.859800,955598127,0,89,7,1,0,0
279794,2023-01-20 11:03:58.880241,960618579,0,89,5,1,0,0
281431,2023-01-20 11:04:03.879706,965638072,0,88,9,1,0,0
283062,2023-01-20 11:04:08.879754,970638131,0,88,8,1,0,0
284730,2023-01-20 11:04:13.859784,975638127,0,89,3,1,0,0
286350,2023-01-20 11:04:18.860075,980658207,0,89,3,1,0,0
288002,2023-01-20 11:04:23.879787,985678125,0,89,4,1,0,0
289624,2023-01-20 11:04:28.859554,990678141,0,89,4,1,0,0
291246,2023-01-20 11:04:33.859482,995678236,0,89,14,1,0,0
292867,2023-01-20 11:04:38.859972,1000698133,0,89,11,1,0,0
294489,2023-01-20 11:04:43.859803,1005698143,0,89,5,1,0,0
296111,2023-01-20 11:04:48.860300,1010718626,0,89,4,1,0,0
297731,2023-01-20 11:04:53.860199,1015718603,0,89,4,1,0,0
299351,2023-01-20 11:04:58.859970,1020738151,0,89,8,1,0,0
300942,2023-01-20 11:05:03.859853,1025737929,0,89,5,1,0,0
302311,2023-01-20 11:05:08.859910,1030757964,0,96,4,1,0,0
303702,2023-01-20 11:05:13.879812,1035777920,0,96,4,1,0,0
