LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
3219,2023-01-20 10:49:59.765037,119767140,-2.23,0.23,218.33,734.73,39.8043841,32.3788013,-0.3283338,0.004431735,-0.0190828,0.9443586
3258,2023-01-20 10:49:59.864953,119867065,-2.28,0.24,218.32,734.83,39.8043842,32.3788018,-0.328242,0.004538971,-0.01953434,0.9443808
3297,2023-01-20 10:49:59.964942,119967059,-2.38,0.28,218.31,734.83,39.8043842,32.3788019,-0.3281367,0.004507301,-0.02046171,0.9443978
3336,2023-01-20 10:50:00.064999,120067100,-2.36,0.32,218.34,734.87,39.8043845,32.3788019,-0.3284286,0.004151789,-0.02044869,0.9442983
3378,2023-01-20 10:50:00.165033,120167107,-2.29,0.35,218.32,734.85,39.8043846,32.3788019,-0.3282583,0.003674632,-0.01989688,0.9443713
3417,2023-01-20 10:50:00.264996,120267066,-2.28,0.3,218.3,734.92,39.8043843,32.378802,-0.3280545,0.004007209,-0.01975762,0.9444436
3456,2023-01-20 10:50:00.365013,120367091,-2.33,0.23,218.35,734.9,39.8043843,32.378802,-0.3284591,0.004711022,-0.01991243,0.9442965
3496,2023-01-20 10:50:00.465002,120467078,-2.34,0.19,218.35,734.9,39.8043842,32.378802,-0.3285206,0.005117597,-0.01988434,0.9442736
3536,2023-01-20 10:50:00.565001,120567070,-2.33,0.18,218.34,734.96,39.8043842,32.378802,-0.3284174,0.005186915,-0.01972263,0.9443125
3579,2023-01-20 10:50:00.665022,120667097,-2.32,0.18,218.35,734.93,39.8043841,32.3788021,-0.3285087,0.005109854,-0.0196583,0.9442825
3618,2023-01-20 10:50:00.765046,120767133,-2.32,0.19,218.34,734.87,39.8043841,32.3788021,-0.3284274,0.005059819,-0.0197259,0.9443097
3659,2023-01-20 10:50:00.864968,120867071,-2.37,0.21,218.33,734.9,39.804384,32.3788026,-0.3283317,0.005045515,-0.02015464,0.944334
3696,2023-01-20 10:50:00.964949,120967071,-2.43,0.24,218.37,734.9,39.804384,32.3788027,-0.3286249,0.004985584,-0.02075537,0.9442193
3728,2023-01-20 10:50:01.065015,121067139,-2.4,0.23,218.39,734.8,39.8043839,32.3788025,-0.3288379,0.005008894,-0.02050715,0.9441504
3761,2023-01-20 10:50:01.165035,121167152,-2.3,0.2,218.38,734.81,39.8043839,32.3788025,-0.328724,0.00494554,-0.01960988,0.9442095
3793,2023-01-20 10:50:01.264973,121267123,-2.27,0.22,218.38,734.83,39.804384,32.3788027,-0.3287152,0.004646119,-0.01939462,0.9442185
3824,2023-01-20 10:50:01.365037,121367241,-2.25,0.29,218.37,734.83,39.8043842,32.3788027,-0.3286685,0.004078273,-0.0194435,0.9442363
3856,2023-01-20 10:50:01.464906,121467096,-2.18,0.3,218.36,734.77,39.8043844,32.3788028,-0.3285713,0.003719975,-0.01888021,0.9442831
3889,2023-01-20 10:50:01.564986,121567124,-2.13,0.4,218.36,734.35,39.8043845,32.3788028,-0.328564,0.002752481,-0.01877139,0.9442911
