LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
2968,2023-01-20 10:49:59.164810,119166880,10.0293,-0.6951453,0.03114074,-0.9451506,-1.581273,0.01029602,-0.03923957,-4.706448,-0.001376636,0.05989075,0.05989075,0
3009,2023-01-20 10:49:59.264822,119266884,9.964801,0.5638462,0.0242813,-0.9604904,-0.3275181,0.000354027,0.05767969,-3.824386,0.0001543708,5.822277,5.822277,0
3048,2023-01-20 10:49:59.364839,119366902,9.986891,0.04963804,0.02673761,-0.9538955,0.074643,-0.004292632,-0.003131449,-1.376969,0.0004897217,5.7477,5.7477,0
3088,2023-01-20 10:49:59.464847,119466914,9.985849,0.2434253,0.0256925,-0.9439753,0.09647603,-0.003736862,-0.1075366,2.694718,-0.0003529133,-1.163387,-1.163387,0
3129,2023-01-20 10:49:59.564821,119566892,10.0225,-0.9213068,0.0351575,-0.9290947,-0.3025811,-0.0009792247,0.006775505,-1.354059,-0.000130054,-5.04818,-5.04818,0
3168,2023-01-20 10:49:59.664807,119666891,10.01088,-0.09613574,0.02640525,-0.9475327,0.2148595,-0.006294834,0.00526695,0.3678754,0.0004671985,2.874947,2.874947,0
3209,2023-01-20 10:49:59.764829,119766932,9.999794,0.1950608,0.0245271,-0.9640944,0.8585485,-0.008050358,-0.1203884,4.273489,-0.000588308,-2.892399,-2.892399,0
3248,2023-01-20 10:49:59.864769,119866881,9.995682,0.4119207,0.02392524,-0.923687,-0.7373232,0.004912604,-0.0130384,-1.026262,-0.0009119452,-6.260777,-6.260777,0
3287,2023-01-20 10:49:59.964756,119966873,10.0317,-0.1403518,0.02854536,-0.9150771,-0.3071285,-0.001225331,0.03939012,-2.695406,0.0002269965,3.524017,3.524017,0
3326,2023-01-20 10:50:00.064761,120066863,10.04439,0.2739979,0.0258639,-0.918721,0.4747932,-0.00605415,-0.0857373,3.13584,-0.0002547242,3.924942,3.924942,0
3366,2023-01-20 10:50:00.164804,120166878,10.07065,-0.2790602,0.03039438,-0.8940802,-0.5494209,0.002560305,0.03126834,-1.241884,-0.0004666278,-4.010868,-4.010868,0
3407,2023-01-20 10:50:00.264796,120266866,10.07085,0.1654021,0.02497239,-0.8601637,-0.5550949,0.0008707677,0.1371509,-3.283601,0.0009078869,0.2569199,0.2569199,0
3446,2023-01-20 10:50:00.364807,120366885,10.05211,0.2993681,0.02442913,-0.8944089,0.3466833,-0.0052055,-0.04393927,3.625442,0.00020187,-0.4440308,-0.4440308,0
3486,2023-01-20 10:50:00.464797,120466873,10.07712,-0.04916151,0.02877803,-0.8696262,-0.4154492,0.001227423,-0.04636618,2.128869,-0.0006474556,-5.824471,-5.824471,0
3526,2023-01-20 10:50:00.564818,120566888,10.0944,-0.2207593,0.02871665,-0.883303,0.1071582,-0.004928966,0.01178298,-0.5933308,-0.0002850256,3.948307,3.948307,0
3567,2023-01-20 10:50:00.664808,120666883,10.09028,0.1166333,0.02673542,-0.880998,0.7562057,-0.006623174,-0.002510499,1.093013,-8.106815E-05,7.892609,7.892609,0
3608,2023-01-20 10:50:00.764858,120766945,10.12854,-0.410895,0.03214322,-0.8224483,-1.004636,0.006863803,0.05092317,-1.716608,-0.0004138495,0.06904602,0.06904602,0
3649,2023-01-20 10:50:00.864784,120866887,10.15433,-0.2580932,0.02890257,-0.8079207,-0.3749617,-0.0006758232,0.112607,-3.457574,0.0004715446,-4.588795,-4.588795,0
3686,2023-01-20 10:50:00.964763,120966885,10.13637,0.3219793,0.02592293,-0.8461698,0.4276933,-0.006095314,0.007734965,2.10971,0.0005993379,0.3744125,0.3744125,0
