LineNo,UTC_Approx,TimeUS,Id,Value
33237,2023-01-20 10:51:31.374811,211562459,7,4203896
33531,2023-01-20 10:51:32.374818,212562456,7,4203896
33825,2023-01-20 10:51:33.374818,213562468,7,4203896
34144,2023-01-20 10:51:34.374791,214562547,7,4203896
34468,2023-01-20 10:51:35.354987,215562553,7,4203896
34794,2023-01-20 10:51:36.358959,216562556,7,4203896
35108,2023-01-20 10:51:37.354781,217562433,7,4203896
35424,2023-01-20 10:51:38.354785,218562433,7,4203896
35720,2023-01-20 10:51:39.354844,219562484,7,4203896
36044,2023-01-20 10:51:40.354688,220562540,7,4203896
36368,2023-01-20 10:51:41.354703,221562521,7,4203896
36692,2023-01-20 10:51:42.354713,222562548,7,4203896
37016,2023-01-20 10:51:43.354773,223562541,7,4203896
37342,2023-01-20 10:51:44.354724,224562545,7,4203896
37660,2023-01-20 10:51:45.340617,225562541,7,4203896
37984,2023-01-20 10:51:46.334552,226562526,7,4203896
38308,2023-01-20 10:51:47.334459,227562539,7,4203896
38632,2023-01-20 10:51:48.334478,228562558,7,4203896
38958,2023-01-20 10:51:49.334457,229562541,7,4203896
39284,2023-01-20 10:51:50.334495,230562556,7,4203896
39608,2023-01-20 10:51:51.334437,231562543,7,4203896
39935,2023-01-20 10:51:52.334483,232562550,7,4203896
40259,2023-01-20 10:51:53.334448,233562554,7,4203896
40585,2023-01-20 10:51:54.327315,234562559,7,4203896
40911,2023-01-20 10:51:55.314903,235562550,7,4203896
41240,2023-01-20 10:51:56.314747,236562530,7,4203896
41564,2023-01-20 10:51:57.314774,237562592,7,4203896
41889,2023-01-20 10:51:58.314738,238562542,7,4203896
42218,2023-01-20 10:51:59.314783,239562605,7,4203896
42545,2023-01-20 10:52:00.314780,240562550,7,4203896
42914,2023-01-20 10:52:01.314705,241562528,7,4203896
43240,2023-01-20 10:52:02.314746,242562543,7,4203896
43567,2023-01-20 10:52:03.314702,243562538,7,4203896
43895,2023-01-20 10:52:04.304455,244562536,7,4203896
44222,2023-01-20 10:52:05.294849,245562559,7,4203896
44549,2023-01-20 10:52:06.294783,246562544,7,4203896
44877,2023-01-20 10:52:07.294794,247562538,7,4203896
45204,2023-01-20 10:52:08.294801,248562542,7,4203896
45532,2023-01-20 10:52:09.294781,249562531,7,4203896
45860,2023-01-20 10:52:10.294803,250562548,7,4203896
46186,2023-01-20 10:52:11.294739,251562555,7,4203896
46513,2023-01-20 10:52:12.294839,252562580,7,4203896
46839,2023-01-20 10:52:13.294754,253562552,7,4203896
47168,2023-01-20 10:52:14.283263,254562563,7,4203896
47496,2023-01-20 10:52:15.286217,255562535,7,4203896
47823,2023-01-20 10:52:16.274816,256562541,7,4203896
48198,2023-01-20 10:52:17.274729,257562547,7,4203896
48523,2023-01-20 10:52:18.274778,258562539,7,4203896
48852,2023-01-20 10:52:19.274781,259562529,7,4203896
49179,2023-01-20 10:52:20.274768,260562569,7,4203896
49506,2023-01-20 10:52:21.274798,261562542,7,4203896
49832,2023-01-20 10:52:22.274780,262562549,7,4203896
50159,2023-01-20 10:52:23.268065,263562553,7,4203896
50487,2023-01-20 10:52:24.254869,264562558,7,4203896
50816,2023-01-20 10:52:25.254857,265562563,7,4203896
51142,2023-01-20 10:52:26.254764,266562559,7,4203896
51469,2023-01-20 10:52:27.254868,267562616,7,4203896
51795,2023-01-20 10:52:28.254769,268562566,7,4203896
52124,2023-01-20 10:52:29.254858,269562607,7,4203896
52450,2023-01-20 10:52:30.254763,270562582,7,4203896
52777,2023-01-20 10:52:31.254815,271562551,7,4203896
53103,2023-01-20 10:52:32.254722,272562541,7,4203896
53429,2023-01-20 10:52:33.254792,273562562,7,4203896
53807,2023-01-20 10:52:34.234561,274562572,7,4203896
54135,2023-01-20 10:52:35.234480,275562563,7,4203896
54462,2023-01-20 10:52:36.234483,276562573,7,4203896
54788,2023-01-20 10:52:37.234479,277562556,7,4203896
55117,2023-01-20 10:52:38.234459,278562556,7,4203896
55445,2023-01-20 10:52:39.234470,279562557,7,4203896
55773,2023-01-20 10:52:40.234456,280562575,7,4203896
56099,2023-01-20 10:52:41.234467,281562560,7,4203896
56425,2023-01-20 10:52:42.215064,282562610,7,4203896
56751,2023-01-20 10:52:43.214929,283562568,7,4203896
57080,2023-01-20 10:52:44.214846,284562600,7,4203896
57407,2023-01-20 10:52:45.214717,285562541,7,4203896
57734,2023-01-20 10:52:46.214689,286562559,7,4203896
58061,2023-01-20 10:52:47.214773,287562571,7,4203896
58387,2023-01-20 10:52:48.214672,288562540,7,4203896
58716,2023-01-20 10:52:49.214718,289562542,7,4203896
59042,2023-01-20 10:52:50.214718,290562546,7,4203896
59419,2023-01-20 10:52:51.214808,291562555,7,4203896
59743,2023-01-20 10:52:52.194931,292562572,7,4203896
60070,2023-01-20 10:52:53.194911,293562570,7,4203896
60397,2023-01-20 10:52:54.194707,294562567,7,4203896
60725,2023-01-20 10:52:55.194728,295562561,7,4203896
61052,2023-01-20 10:52:56.194754,296562576,7,4203896
61379,2023-01-20 10:52:57.194832,297562614,7,4203896
61705,2023-01-20 10:52:58.194728,298562553,7,4203896
62034,2023-01-20 10:52:59.194790,299562615,7,4203896
62360,2023-01-20 10:53:00.194776,300562615,7,4203896
62687,2023-01-20 10:53:01.194845,301562628,7,4203896
63014,2023-01-20 10:53:02.177211,302562556,7,4203896
63340,2023-01-20 10:53:03.174904,303562558,7,4203896
63669,2023-01-20 10:53:04.174794,304562556,7,4203896
63996,2023-01-20 10:53:05.174728,305562552,7,4203896
64324,2023-01-20 10:53:06.174804,306562569,7,4203896
64649,2023-01-20 10:53:07.174784,307562553,7,4203896
65025,2023-01-20 10:53:08.174739,308562563,7,4203896
65355,2023-01-20 10:53:09.174718,309562572,7,4203896
65682,2023-01-20 10:53:10.174851,310562613,7,4203896
66009,2023-01-20 10:53:11.159014,311562583,7,4203896
66336,2023-01-20 10:53:12.154881,312562605,7,4203896
66662,2023-01-20 10:53:13.154785,313562554,7,4203896
66990,2023-01-20 10:53:14.154797,314562574,7,4203896
67318,2023-01-20 10:53:15.154704,315562568,7,4203896
67645,2023-01-20 10:53:16.154808,316562580,7,4203896
67972,2023-01-20 10:53:17.154697,317562560,7,4203896
68298,2023-01-20 10:53:18.154755,318562551,7,4203896
68627,2023-01-20 10:53:19.154783,319562566,7,4203896
68952,2023-01-20 10:53:20.149689,320562569,7,4203896
69280,2023-01-20 10:53:21.140574,321562547,7,4203896
69606,2023-01-20 10:53:22.134506,322562572,7,4203896
69933,2023-01-20 10:53:23.134437,323562561,7,4203896
70310,2023-01-20 10:53:24.134454,324562560,7,4203896
70638,2023-01-20 10:53:25.134512,325562615,7,4203896
70965,2023-01-20 10:53:26.134455,326562563,7,4203896
71292,2023-01-20 10:53:27.134474,327562584,7,4203896
71618,2023-01-20 10:53:28.134450,328562567,7,4203896
71946,2023-01-20 10:53:29.134401,329562542,7,4203896
72272,2023-01-20 10:53:30.122470,330562545,7,4203896
72599,2023-01-20 10:53:31.114886,331562567,7,4203896
72926,2023-01-20 10:53:32.114751,332562569,7,4203896
73252,2023-01-20 10:53:33.114714,333562551,7,4203896
73580,2023-01-20 10:53:34.114755,334562554,7,4203896
73905,2023-01-20 10:53:35.114739,335562557,7,4203896
74233,2023-01-20 10:53:36.114737,336562549,7,4203896
74557,2023-01-20 10:53:37.114751,337562546,7,4203896
74882,2023-01-20 10:53:38.114739,338562551,7,4203896
75208,2023-01-20 10:53:39.114715,339562544,7,4203896
75537,2023-01-20 10:53:40.094994,340562597,7,4203896
75863,2023-01-20 10:53:41.104350,341562540,7,4203896
76187,2023-01-20 10:53:42.094787,342562595,7,4203896
76514,2023-01-20 10:53:43.094762,343562574,7,4203896
76839,2023-01-20 10:53:44.094684,344562551,7,4203896
77165,2023-01-20 10:53:45.094730,345562548,7,4203896
77490,2023-01-20 10:53:46.094702,346562563,7,4203896
77817,2023-01-20 10:53:47.094752,347562553,7,4203896
78141,2023-01-20 10:53:48.094695,348562556,7,4203896
78467,2023-01-20 10:53:49.094722,349562535,7,4203896
78796,2023-01-20 10:53:50.074907,350562562,7,4203896
79169,2023-01-20 10:53:51.074748,351562542,7,4203896
79493,2023-01-20 10:53:52.074674,352562535,7,4203896
79819,2023-01-20 10:53:53.074714,353562534,7,4203896
80148,2023-01-20 10:53:54.074733,354562560,7,4203896
80474,2023-01-20 10:53:55.074751,355562571,7,4203896
80802,2023-01-20 10:53:56.074723,356562546,7,4203896
81128,2023-01-20 10:53:57.074783,357562601,7,4203896
81455,2023-01-20 10:53:58.074726,358562556,7,4203896
81783,2023-01-20 10:53:59.060974,359562548,7,4203896
82110,2023-01-20 10:54:00.054719,360562559,7,4203896
82437,2023-01-20 10:54:01.054666,361562524,7,4203896
82764,2023-01-20 10:54:02.054684,362562552,7,4203896
83090,2023-01-20 10:54:03.054700,363562536,7,4203896
83419,2023-01-20 10:54:04.054680,364562550,7,4203896
83746,2023-01-20 10:54:05.054667,365562530,7,4203896
84073,2023-01-20 10:54:06.054681,366562551,7,4203896
84399,2023-01-20 10:54:07.054689,367562547,7,4203896
84725,2023-01-20 10:54:08.034591,368562550,7,4203896
85103,2023-01-20 10:54:09.034544,369562543,7,4203896
85429,2023-01-20 10:54:10.034465,370562592,7,4203896
85758,2023-01-20 10:54:11.034427,371562537,7,4203896
86085,2023-01-20 10:54:12.034497,372562598,7,4203896
86412,2023-01-20 10:54:13.034421,373562538,7,4203896
86740,2023-01-20 10:54:14.034451,374562552,7,4203896
87068,2023-01-20 10:54:15.034407,375562532,7,4203896
87394,2023-01-20 10:54:16.034420,376562533,7,4203896
87722,2023-01-20 10:54:17.034423,377562533,7,4203896
88048,2023-01-20 10:54:18.014855,378562528,7,4203896
88377,2023-01-20 10:54:19.014813,379562533,7,4203896
88702,2023-01-20 10:54:20.014838,380562557,7,4203896
89028,2023-01-20 10:54:21.014702,381562559,7,4203896
89356,2023-01-20 10:54:22.014680,382562536,7,4203896
89682,2023-01-20 10:54:23.014702,383562551,7,4203896
90011,2023-01-20 10:54:24.014673,384562527,7,4203896
90387,2023-01-20 10:54:25.014757,385562601,7,4203896
90714,2023-01-20 10:54:26.014694,386562549,7,4203896
91041,2023-01-20 10:54:27.014719,387562594,7,4203896
91366,2023-01-20 10:54:27.995396,388562559,7,4203896
91694,2023-01-20 10:54:28.994688,389562531,7,4203896
92021,2023-01-20 10:54:29.994700,390562555,7,4203896
92347,2023-01-20 10:54:30.994686,391562539,7,4203896
92675,2023-01-20 10:54:31.994701,392562548,7,4203896
93000,2023-01-20 10:54:32.994662,393562552,7,4203896
93329,2023-01-20 10:54:33.994739,394562583,7,4203896
93656,2023-01-20 10:54:34.994689,395562582,7,4203896
93982,2023-01-20 10:54:35.994734,396562591,7,4203896
94310,2023-01-20 10:54:36.974837,397562549,7,4203896
94636,2023-01-20 10:54:37.974737,398562539,7,4203896
94965,2023-01-20 10:54:38.974671,399562549,7,4203896
95291,2023-01-20 10:54:39.974750,400562588,7,4203896
95618,2023-01-20 10:54:40.974638,401562541,7,4203896
95996,2023-01-20 10:54:41.974739,402562593,7,4203896
96323,2023-01-20 10:54:42.974701,403562557,7,4203896
96651,2023-01-20 10:54:43.974706,404562549,7,4203896
96978,2023-01-20 10:54:44.974722,405562559,7,4203896
97304,2023-01-20 10:54:45.971898,406562523,7,4203896
97632,2023-01-20 10:54:46.954871,407562563,7,4203896
97958,2023-01-20 10:54:47.954803,408562533,7,4203896
98286,2023-01-20 10:54:48.954632,409562521,7,4203896
98613,2023-01-20 10:54:49.954706,410562533,7,4203896
