LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
4297,2023-01-20 10:50:02.859022,122861900,0,0,4,4,6,0,0,0,0
4328,2023-01-20 10:50:02.958971,122961874,0,0,4,4,6,0,0,0,0
4361,2023-01-20 10:50:03.059012,123061926,0,0,4,4,6,0,0,0,0
4391,2023-01-20 10:50:03.158950,123161866,0,0,4,4,6,0,0,0,0
4426,2023-01-20 10:50:03.258948,123261862,0,0,4,4,6,0,0,0,0
4456,2023-01-20 10:50:03.359012,123361920,0,0,4,4,6,0,0,0,0
4489,2023-01-20 10:50:03.458972,123461870,0,0,4,4,6,0,0,0,0
4519,2023-01-20 10:50:03.558975,123561859,0,0,4,4,6,0,0,0,0
4555,2023-01-20 10:50:03.659000,123661881,0,0,4,4,6,0,0,0,0
4587,2023-01-20 10:50:03.759002,123761887,0,0,4,4,6,0,0,0,0
4621,2023-01-20 10:50:03.859383,123862085,0,0,4,4,6,0,0,0,0
4653,2023-01-20 10:50:03.959759,123962149,0,0,4,4,6,0,0,0,0
4686,2023-01-20 10:50:04.060017,124062241,0,0,4,4,6,0,0,0,0
4716,2023-01-20 10:50:04.160095,124162252,0,0,4,4,6,0,0,0,0
4751,2023-01-20 10:50:04.260020,124262153,0,0,4,4,6,0,0,0,0
4781,2023-01-20 10:50:04.360088,124362225,0,0,4,4,6,0,0,0,0
4814,2023-01-20 10:50:04.460058,124462221,0,0,4,4,6,0,0,0,0
4844,2023-01-20 10:50:04.560015,124562218,0,0,4,4,6,0,0,0,0
4881,2023-01-20 10:50:04.660015,124662209,0,0,4,4,6,0,0,0,0
4913,2023-01-20 10:50:04.760113,124762264,0,0,4,4,6,0,0,0,0
4947,2023-01-20 10:50:04.859613,124861775,0,0,4,4,6,0,0,0,0
4977,2023-01-20 10:50:04.959663,124961873,0,0,4,4,6,0,0,0,0
5010,2023-01-20 10:50:05.059743,125061943,0,0,4,4,6,0,0,0,0
5040,2023-01-20 10:50:05.159707,125161858,0,0,4,4,6,0,0,0,0
5075,2023-01-20 10:50:05.259744,125261879,0,0,4,4,6,0,0,0,0
5105,2023-01-20 10:50:05.359748,125361888,0,0,4,4,6,0,0,0,0
5138,2023-01-20 10:50:05.459754,125461887,0,0,4,4,6,0,0,0,0
5168,2023-01-20 10:50:05.559757,125561877,0,0,4,4,6,0,0,0,0
5205,2023-01-20 10:50:05.659760,125661872,0,0,4,4,6,0,0,0,0
5237,2023-01-20 10:50:05.759780,125761890,0,0,4,4,6,0,0,0,0
5271,2023-01-20 10:50:05.854336,125861868,0,0,4,4,6,0,0,0,0
5301,2023-01-20 10:50:05.945267,125961874,0,0,4,4,6,0,0,0,0
5334,2023-01-20 10:50:06.039833,126061889,0,0,4,4,6,0,0,0,0
5364,2023-01-20 10:50:06.139862,126161882,0,0,4,4,6,0,0,0,0
5399,2023-01-20 10:50:06.239388,126261879,0,0,4,4,6,0,0,0,0
5431,2023-01-20 10:50:06.338172,126361898,0,0,4,4,6,0,0,0,0
5464,2023-01-20 10:50:06.437339,126461842,0,0,4,4,6,0,0,0,0
5494,2023-01-20 10:50:06.537374,126561889,0,0,4,4,6,0,0,0,0
5530,2023-01-20 10:50:06.637298,126661845,0,0,4,4,6,0,0,0,0
5562,2023-01-20 10:50:06.737233,126761845,0,0,4,4,6,0,0,0,0
