LineNo,UTC_Approx,TimeUS,Type,Lat,Lng,Alt
1850,2023-01-20 10:49:56.698562,116700152,0,39.8043912,32.3788071,733.61
1851,2023-01-20 10:49:56.698629,116700219,1,39.8043837,32.378803,734.25
