LineNo,UTC_Approx,TimeUS,Id,Value
33384,2023-01-20 11:10:22.640072,257094476,7,4203896
33710,2023-01-20 11:10:23.640083,258094490,7,4203896
34037,2023-01-20 11:10:24.640071,259094474,7,4203896
34365,2023-01-20 11:10:25.620148,260094489,7,4203896
34740,2023-01-20 11:10:26.620086,261094492,7,4203896
35067,2023-01-20 11:10:27.620081,262094487,7,4203896
35393,2023-01-20 11:10:28.620065,263094472,7,4203896
35720,2023-01-20 11:10:29.620096,264094522,7,4203896
36049,2023-01-20 11:10:30.620025,265094455,7,4203896
36377,2023-01-20 11:10:31.620100,266094521,7,4203896
36703,2023-01-20 11:10:32.620054,267094482,7,4203896
37030,2023-01-20 11:10:33.618296,268094553,7,4203896
37356,2023-01-20 11:10:34.600170,269094683,7,4203896
37685,2023-01-20 11:10:35.600134,270094742,7,4203896
38012,2023-01-20 11:10:36.600127,271094849,7,4203896
38339,2023-01-20 11:10:37.600149,272094833,7,4203896
38664,2023-01-20 11:10:38.600139,273094829,7,4203896
38991,2023-01-20 11:10:39.600148,274094825,7,4203896
39320,2023-01-20 11:10:40.600130,275094817,7,4203896
39649,2023-01-20 11:10:41.600126,276094822,7,4203896
39976,2023-01-20 11:10:42.600129,277094835,7,4203896
40349,2023-01-20 11:10:43.582374,278094798,7,4203896
40676,2023-01-20 11:10:44.580489,279094730,7,4203896
41004,2023-01-20 11:10:45.580217,280094597,7,4203896
41332,2023-01-20 11:10:46.580172,281094579,7,4203896
41658,2023-01-20 11:10:47.580068,282094474,7,4203896
41985,2023-01-20 11:10:48.580043,283094489,7,4203896
42311,2023-01-20 11:10:49.580078,284094490,7,4203896
42640,2023-01-20 11:10:50.580039,285094480,7,4203896
42967,2023-01-20 11:10:51.580066,286094476,7,4203896
43294,2023-01-20 11:10:52.580084,287094468,7,4203896
43620,2023-01-20 11:10:53.580083,288094485,7,4203896
43946,2023-01-20 11:10:54.560049,289094472,7,4203896
44275,2023-01-20 11:10:55.560153,290094481,7,4203896
44602,2023-01-20 11:10:56.560027,291094477,7,4203896
44929,2023-01-20 11:10:57.560101,292094527,7,4203896
45255,2023-01-20 11:10:58.560059,293094476,7,4203896
45631,2023-01-20 11:10:59.560078,294094504,7,4203896
45960,2023-01-20 11:11:00.560024,295094452,7,4203896
46288,2023-01-20 11:11:01.560100,296094517,7,4203896
46613,2023-01-20 11:11:02.560033,297094460,7,4203896
46940,2023-01-20 11:11:03.545627,298094463,7,4203896
47266,2023-01-20 11:11:04.540107,299094461,7,4203896
47595,2023-01-20 11:11:05.540072,300094465,7,4203896
47922,2023-01-20 11:11:06.540067,301094463,7,4203896
48249,2023-01-20 11:11:07.540084,302094476,7,4203896
48575,2023-01-20 11:11:08.540059,303094467,7,4203896
48901,2023-01-20 11:11:09.540065,304094463,7,4203896
49231,2023-01-20 11:11:10.540058,305094467,7,4203896
49558,2023-01-20 11:11:11.540056,306094444,7,4203896
49886,2023-01-20 11:11:12.520299,307094512,7,4203896
50212,2023-01-20 11:11:13.520149,308094474,7,4203896
50539,2023-01-20 11:11:14.520116,309094503,7,4203896
50867,2023-01-20 11:11:15.520061,310094472,7,4203896
51244,2023-01-20 11:11:16.520074,311094483,7,4203896
51570,2023-01-20 11:11:17.520068,312094471,7,4203896
51897,2023-01-20 11:11:18.520064,313094466,7,4203896
52223,2023-01-20 11:11:19.520049,314094473,7,4203896
52553,2023-01-20 11:11:20.520311,315094699,7,4203896
52879,2023-01-20 11:11:21.520049,316094459,7,4203896
53206,2023-01-20 11:11:22.499932,317094459,7,4203896
53533,2023-01-20 11:11:23.499797,318094465,7,4203896
53859,2023-01-20 11:11:24.499820,319094450,7,4203896
