LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
3804,2023-01-20 11:08:52.422982,166697315,0.02191475,0.004290007,0.004126539,0.004681495,0.001941827
3834,2023-01-20 11:08:52.522897,166797255,0.0218784,0.004296919,0.004168252,0.004628524,0.001745959
3867,2023-01-20 11:08:52.622818,166897189,0.02192704,0.004167974,0.004110085,0.004684033,0.001626018
3897,2023-01-20 11:08:52.722844,166997182,0.02186413,0.003939419,0.004005269,0.004098891,0.001528616
3932,2023-01-20 11:08:52.822876,167097188,0.02180088,0.003968288,0.003988313,0.003872036,0.001477289
3964,2023-01-20 11:08:52.922929,167197239,0.02186791,0.003857944,0.003911027,0.003682232,0.001460087
3997,2023-01-20 11:08:53.022892,167297208,0.02185242,0.003676821,0.003958609,0.003693536,0.0014779
4027,2023-01-20 11:08:53.122849,167397196,0.0218579,0.003482029,0.003929525,0.004080781,0.001500987
4062,2023-01-20 11:08:53.222874,167497243,0.02189086,0.003261963,0.003833873,0.004670477,0.001511306
4092,2023-01-20 11:08:53.322881,167597240,0.0216476,0.003129407,0.003423696,0.005072217,0.001528426
4127,2023-01-20 11:08:53.422956,167697316,0.02172867,0.002944304,0.003350627,0.00616887,0.001521942
4157,2023-01-20 11:08:53.522848,167797249,0.02147361,0.005304134,0.003689411,0.007320035,0.001537037
4190,2023-01-20 11:08:53.622829,167897254,0.0208588,0.007527092,0.005868432,0.01331027,0.001652441
4220,2023-01-20 11:08:53.722844,167997237,0.02056373,0.007669285,0.005952904,0.01420237,0.001840379
4255,2023-01-20 11:08:53.822873,168097245,0.01852606,0.009353916,0.006084914,0.0134838,0.007537795
4288,2023-01-20 11:08:53.922991,168197379,0.01593673,0.01261447,0.007301872,0.01605093,0.009068528
4321,2023-01-20 11:08:54.022960,168297364,0.02517864,0.01756356,0.009248146,0.02381137,0.007670707
4352,2023-01-20 11:08:54.122835,168397252,0.02094132,0.01625252,0.01583541,0.03344004,0.007065441
4387,2023-01-20 11:08:54.222816,168497237,0.0184467,0.01898866,0.01742955,0.03414201,0.009603785
