LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
684,2023-01-20 11:08:47.421095,161675791,0,0.0002470039,7.15036E-06,7.125234E-06,1.093556E-06,0.04213093,0.04213141,0.01440868,0.4704899,0.4704904,0.161227,4.227083E-11,4.229588E-11
1880,2023-01-20 11:08:47.941896,162196081,0,0.0002471361,7.37993E-06,7.354822E-06,1.09402E-06,0.05751753,0.05751721,0.01574195,0.4958067,0.4958072,0.1878946,4.255775E-11,4.25827E-11
2123,2023-01-20 11:08:48.438031,162696062,0,0.0002470359,7.493784E-06,7.468559E-06,1.093919E-06,0.07735909,0.07735614,0.01670448,0.4891085,0.4891088,0.2133232,4.271493E-11,4.273979E-11
2407,2023-01-20 11:08:48.921974,163196065,0,0.0002469365,7.873178E-06,7.847882E-06,1.094173E-06,0.1023239,0.1023162,0.01774528,0.5202909,0.5202904,0.2408886,4.320516E-11,4.322983E-11
2616,2023-01-20 11:08:49.441806,163696078,0,0.0002468424,8.250681E-06,8.225436E-06,1.092859E-06,0.1067294,0.1067157,0.01823511,0.5090206,0.5090193,0.2646844,4.367933E-11,4.370392E-11
2815,2023-01-20 11:08:49.921949,164196069,0,0.0002467498,8.880884E-06,8.855996E-06,1.092646E-06,0.1189875,0.1189671,0.01895067,0.5464926,0.5464875,0.2908005,4.445669E-11,4.448117E-11
3017,2023-01-20 11:08:50.421912,164696066,0,0.0002466593,9.54149E-06,9.516486E-06,1.092092E-06,0.1017722,0.1017501,0.01885721,0.5194069,0.5194018,0.3084787,4.523127E-11,4.525596E-11
3216,2023-01-20 11:08:50.921874,165196076,0,0.0002465646,1.033076E-05,1.030651E-05,1.101474E-06,0.1026462,0.1026207,0.0191666,0.5491581,0.5491486,0.3291964,4.61449E-11,4.616972E-11
3417,2023-01-20 11:08:51.421759,165696074,0,0.0002464814,1.115343E-05,1.112831E-05,1.098176E-06,0.08748065,0.08745708,0.01884671,0.522591,0.5225825,0.3415519,4.704856E-11,4.707392E-11
3616,2023-01-20 11:08:51.921747,166196081,0,0.0002463977,1.20431E-05,1.201787E-05,1.098813E-06,0.08513756,0.08511325,0.01888402,0.5461252,0.5461126,0.3562088,4.799646E-11,4.802224E-11
3792,2023-01-20 11:08:52.421755,166696087,0,0.0002463198,1.296692E-05,1.294083E-05,1.096757E-06,0.07223619,0.07221538,0.0183509,0.5167792,0.5167688,0.3623988,4.894138E-11,4.896809E-11
3952,2023-01-20 11:08:52.921760,167196070,0,0.0002462423,1.394337E-05,1.391654E-05,1.095141E-06,0.07159222,0.07157122,0.01836933,0.5418096,0.5417945,0.3734019,4.989744E-11,4.992479E-11
4115,2023-01-20 11:08:53.421714,167696074,0,0.0002461669,1.49543E-05,1.492587E-05,1.093369E-06,0.06333262,0.06331468,0.01791814,0.5186022,0.5185887,0.3770953,5.083906E-11,5.086767E-11
4275,2023-01-20 11:08:53.921691,168196079,0,0.0002459063,1.600575E-05,1.598666E-05,1.28802E-06,0.06326513,0.06324662,0.01793406,0.5443518,0.5443329,0.3853141,5.179454E-11,5.182414E-11
4440,2023-01-20 11:08:54.421693,168696079,0,0.0002460713,1.707911E-05,1.707166E-05,1.065368E-06,0.05793422,0.05790944,0.01758965,0.5259188,0.5259013,0.3877708,5.269775E-11,5.272957E-11
4600,2023-01-20 11:08:54.921667,169196074,0,0.0002456809,1.831191E-05,1.819171E-05,1.271957E-06,0.05691664,0.05687295,0.01748948,0.5459559,0.5459359,0.3921358,5.359681E-11,5.36314E-11
4763,2023-01-20 11:08:55.421686,169696081,0,0.0002457377,1.961967E-05,1.968767E-05,5.811115E-07,0.05082975,0.05083811,0.01537539,0.5194081,0.5193906,0.3228986,5.441859E-11,5.445747E-11
4925,2023-01-20 11:08:55.921693,170196083,0,0.0002445571,2.051436E-05,2.080155E-05,2.044404E-06,0.05074063,0.05070608,0.01394854,0.5387586,0.5387388,0.2590651,5.526133E-11,5.530141E-11
5088,2023-01-20 11:08:56.421682,170696072,0,0.0002438451,2.16391E-05,2.175391E-05,2.847014E-06,0.04609307,0.04610705,0.01302161,0.5127199,0.5127032,0.220188,5.596645E-11,5.600748E-11
5248,2023-01-20 11:08:56.921704,171196093,0,0.0002451199,2.280349E-05,2.303221E-05,1.387992E-06,0.04644475,0.04648068,0.01270245,0.5296746,0.5296611,0.1969912,5.668662E-11,5.67276E-11
5412,2023-01-20 11:08:57.421693,171696076,0,0.0002446261,2.397562E-05,2.400874E-05,1.682043E-06,0.04273048,0.04280433,0.0123006,0.5038357,0.5038274,0.1800271,5.715669E-11,5.71961E-11
5572,2023-01-20 11:08:57.921687,172196074,0,0.0002452074,2.517524E-05,2.498858E-05,1.042977E-06,0.0440397,0.04413433,0.01225512,0.5214149,0.5214171,0.1697667,5.773274E-11,5.777173E-11
5737,2023-01-20 11:08:58.421675,172696069,0,0.03019267,0.000168211,0.000172196,4.139413E-07,0.04901769,0.0618021,0.01218419,0.5020388,0.5020533,0.1617092,5.830667E-11,5.834257E-11
5897,2023-01-20 11:08:58.921696,173196099,0,0.02460304,0.0001685843,0.0001572936,4.0643E-05,0.07539295,0.1616644,0.0129121,0.5196269,0.5206377,0.1570404,5.925214E-11,5.927797E-11
6062,2023-01-20 11:08:59.401838,173696092,0,0.01654014,0.0002360268,6.254977E-05,6.226695E-06,0.1092319,0.1824377,0.01315395,0.5359533,0.540203,0.1538531,6.022019E-11,6.025455E-11
6222,2023-01-20 11:08:59.901607,174196077,0,0.01048132,0.0002447981,8.635283E-05,2.047218E-05,0.1372358,0.1684833,0.01306825,0.5148038,0.5178038,0.1507761,6.111938E-11,6.116379E-11
6385,2023-01-20 11:09:00.401565,174696110,0,0.007778423,0.0001436043,5.154882E-05,3.009232E-05,0.1810628,0.1576184,0.01315265,0.5487041,0.5530677,0.150347,6.203685E-11,6.208205E-11
6548,2023-01-20 11:09:00.901477,175196089,0,0.005799504,8.648083E-05,7.364301E-05,3.732069E-05,0.160536,0.1045254,0.01244133,0.5340362,0.535378,0.1491293,6.289051E-11,6.297722E-11
6711,2023-01-20 11:09:01.401499,175696120,0,0.005223838,5.929834E-05,9.515005E-05,5.655971E-05,0.1388835,0.09853606,0.01202023,0.5674567,0.5634111,0.149088,6.375931E-11,6.391622E-11
6872,2023-01-20 11:09:01.901423,176196083,0,0.004973283,6.227531E-05,9.648291E-05,0.0001019961,0.1011739,0.09377442,0.01149843,0.5401538,0.5379708,0.1477616,6.457893E-11,6.484076E-11
7035,2023-01-20 11:09:02.401486,176696112,0,0.00481507,3.899454E-05,7.748576E-05,0.0001227005,0.1011382,0.1076435,0.01142715,0.567322,0.5609965,0.1477138,6.546704E-11,6.577809E-11
7195,2023-01-20 11:09:02.901450,177196088,0,0.004312815,3.580422E-05,4.281168E-05,0.0001469081,0.08844323,0.1007636,0.01119738,0.537364,0.5332285,0.1464123,6.635255E-11,6.670977E-11
7358,2023-01-20 11:09:03.401444,177696118,0,0.004018136,3.421024E-05,2.747223E-05,0.0001436048,0.09242368,0.08543464,0.01116173,0.5618179,0.5563199,0.1465679,6.731376E-11,6.767979E-11
