LineNo,UTC_Approx,TimeUS,Id,Pri,Total,Free,Name
4777,2023-01-20 11:08:55.492399,169766813,6,181,848,616,rcout
4810,2023-01-20 11:08:55.593514,169867956,7,177,1360,736,rcin
4842,2023-01-20 11:08:55.695157,169969573,8,58,2384,1432,io
4873,2023-01-20 11:08:55.795194,170069581,9,59,1360,824,storage
4907,2023-01-20 11:08:55.895549,170169938,10,60,656,304,UART3
4940,2023-01-20 11:08:55.996251,170270643,11,60,656,264,UART4
4972,2023-01-20 11:08:56.096288,170370674,12,60,656,264,UART5
5005,2023-01-20 11:08:56.196302,170470681,13,176,1360,856,I2C0
5037,2023-01-20 11:08:56.298635,170573016,14,59,1616,896,OSD
5070,2023-01-20 11:08:56.400312,170674695,15,59,1912,416,log_io
5103,2023-01-20 11:08:56.500953,170775368,16,181,1360,720,SPI1
5135,2023-01-20 11:08:56.601268,170875715,255,255,1536,1264,ISR
5166,2023-01-20 11:08:56.702327,170976739,0,182,7168,5360,ArduCopter
5198,2023-01-20 11:08:56.802421,171076800,1,1,352,144,idle
5231,2023-01-20 11:08:56.903436,171177823,2,60,1104,768,UART_RX
5265,2023-01-20 11:08:57.003488,171277883,3,60,656,400,OTG1
5297,2023-01-20 11:08:57.104811,171379198,4,183,1360,1016,monitor
5331,2023-01-20 11:08:57.204843,171479222,5,181,1872,1488,timer
5362,2023-01-20 11:08:57.305947,171580324,6,181,848,616,rcout
5394,2023-01-20 11:08:57.408603,171682981,7,177,1360,736,rcin
5427,2023-01-20 11:08:57.507717,171782131,8,58,2384,1432,io
5459,2023-01-20 11:08:57.609804,171884248,9,59,1360,824,storage
5490,2023-01-20 11:08:57.709789,171984200,10,60,656,304,UART3
5522,2023-01-20 11:08:57.810954,172085336,11,60,656,264,UART4
5555,2023-01-20 11:08:57.910971,172185358,12,60,656,264,UART5
5591,2023-01-20 11:08:58.012368,172286759,13,176,1360,856,I2C0
5622,2023-01-20 11:08:58.113385,172387773,14,59,1616,896,OSD
5656,2023-01-20 11:08:58.213406,172487791,15,59,1912,416,log_io
5687,2023-01-20 11:08:58.314933,172589318,16,181,1360,720,SPI1
5719,2023-01-20 11:08:58.415860,172690252,255,255,1536,1264,ISR
5752,2023-01-20 11:08:58.515903,172790329,0,182,7168,5360,ArduCopter
5784,2023-01-20 11:08:58.617284,172891734,1,1,352,144,idle
5815,2023-01-20 11:08:58.717347,172991760,2,60,1104,768,UART_RX
5847,2023-01-20 11:08:58.818376,173092762,3,60,656,400,OTG1
5880,2023-01-20 11:08:58.918408,173192810,4,183,1360,1016,monitor
5914,2023-01-20 11:08:59.016742,173292834,5,181,1872,1488,timer
5950,2023-01-20 11:08:59.109279,173394638,6,181,848,616,rcout
5985,2023-01-20 11:08:59.200314,173494758,7,177,1360,736,rcin
6015,2023-01-20 11:08:59.300205,173594646,8,58,2384,1432,io
6048,2023-01-20 11:08:59.401504,173695791,9,59,1360,824,storage
6104,2023-01-20 11:08:59.514445,173797433,10,60,656,304,UART3
6137,2023-01-20 11:08:59.620927,173897449,11,60,656,264,UART4
6167,2023-01-20 11:08:59.720556,174007047,12,60,656,264,UART5
6203,2023-01-20 11:08:59.814785,174109229,13,176,1360,856,I2C0
6235,2023-01-20 11:08:59.914757,174209232,14,59,1616,896,OSD
6268,2023-01-20 11:09:00.029725,174324247,15,59,1912,416,log_io
6299,2023-01-20 11:09:00.130718,174425314,16,181,1360,720,SPI1
6333,2023-01-20 11:09:00.230730,174525361,255,255,1536,1264,ISR
6364,2023-01-20 11:09:00.332178,174626757,0,182,7168,5360,ArduCopter
6398,2023-01-20 11:09:00.432176,174726737,1,1,352,144,idle
6431,2023-01-20 11:09:00.533170,174827786,2,60,1104,768,UART_RX
6463,2023-01-20 11:09:00.634694,174929336,3,60,656,400,OTG1
6495,2023-01-20 11:09:00.734638,175029247,4,183,1360,1016,monitor
6529,2023-01-20 11:09:00.834650,175129246,5,181,1872,1488,timer
6562,2023-01-20 11:09:00.935730,175230351,6,181,848,616,rcout
6594,2023-01-20 11:09:01.037602,175332210,7,177,1360,736,rcin
6625,2023-01-20 11:09:01.138868,175433399,8,58,2384,1432,io
6660,2023-01-20 11:09:01.239839,175534351,9,59,1360,824,storage
6690,2023-01-20 11:09:01.339796,175634376,10,60,656,304,UART3
6725,2023-01-20 11:09:01.440784,175735416,11,60,656,264,UART4
