LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
17280,2023-01-20 11:09:33.740169,208094555,2,39.8049332,32.3798366,100,738.8323,30.66873,0,504,-3.475139
17607,2023-01-20 11:09:34.740201,209094579,2,39.8049739,32.3799038,100,738.8124,31.62012,0,504,-3.475139
17935,2023-01-20 11:09:35.740187,210094560,2,39.8050134,32.3799696,100,738.7977,32.47221,0,504,-3.475139
18261,2023-01-20 11:09:36.720402,211094580,2,39.8050505,32.380033,100,738.7872,33.2998,0,504,-3.475139
18587,2023-01-20 11:09:37.727454,212094568,2,39.8050865,32.3800974,100,738.7794,34.22769,0,504,-3.475139
18913,2023-01-20 11:09:38.720183,213094569,2,39.8051244,32.3801645,100,738.7752,35.21309,0,504,-3.475139
19239,2023-01-20 11:09:39.720171,214094558,2,39.8051634,32.3802307,100,738.7618,36.11634,0,504,-3.475139
19571,2023-01-20 11:09:40.720170,215094558,2,39.8052039,32.3802962,100,738.7506,37.03516,0,504,-3.475139
19897,2023-01-20 11:09:41.720170,216094563,2,39.8052417,32.380361,100,738.7371,37.96525,0,504,-3.475139
20223,2023-01-20 11:09:42.720174,217094568,2,39.805278,32.3804237,100,738.7236,38.93154,0,504,-3.475139
20548,2023-01-20 11:09:43.720163,218094552,2,39.805315,32.3804889,100,738.7088,39.83904,0,504,-3.475139
20874,2023-01-20 11:09:44.720190,219094593,2,39.8053532,32.3805537,100,738.6957,40.76385,0,504,-3.475139
21203,2023-01-20 11:09:45.709244,220094552,2,39.805392,32.3806179,100,738.6837,41.76186,0,504,-3.475139
21529,2023-01-20 11:09:46.700157,221094612,2,39.8054289,32.3806837,100,738.6683,42.61893,0,504,-3.475139
21904,2023-01-20 11:09:47.699945,222094555,2,39.8054672,32.3807502,100,738.6539,43.50477,0,504,-3.475139
22230,2023-01-20 11:09:48.699908,223094557,2,39.8055075,32.3808176,100,738.6408,44.37852,0,504,-3.475139
22556,2023-01-20 11:09:49.699929,224094561,2,39.8055442,32.3808825,100,738.626,45.09215,0,504,-3.475139
