LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
3890,2023-01-20 11:08:52.722730,166997068,1505,1506,1571,1505,1505,1506,1054,1054,0,0,0,0,0,0
3925,2023-01-20 11:08:52.822758,167097070,1505,1505,1577,1505,1505,1505,1055,1054,0,0,0,0,0,0
3957,2023-01-20 11:08:52.922810,167197120,1505,1505,1578,1505,1505,1505,1055,1054,0,0,0,0,0,0
3990,2023-01-20 11:08:53.022777,167297093,1505,1505,1581,1505,1505,1505,1055,1054,0,0,0,0,0,0
4020,2023-01-20 11:08:53.122730,167397077,1505,1505,1591,1506,1505,1505,1055,1054,0,0,0,0,0,0
4055,2023-01-20 11:08:53.222755,167497124,1505,1505,1596,1505,1505,1505,1055,1054,0,0,0,0,0,0
4085,2023-01-20 11:08:53.322766,167597125,1505,1505,1604,1505,1505,1506,1054,1054,0,0,0,0,0,0
4120,2023-01-20 11:08:53.422792,167697152,1505,1506,1613,1505,1505,1506,1054,1054,0,0,0,0,0,0
4150,2023-01-20 11:08:53.522729,167797130,1505,1505,1618,1506,1505,1505,1054,1055,0,0,0,0,0,0
4183,2023-01-20 11:08:53.622706,167897131,1505,1505,1622,1505,1505,1506,1054,1054,0,0,0,0,0,0
4213,2023-01-20 11:08:53.722724,167997117,1505,1506,1625,1505,1506,1505,1054,1054,0,0,0,0,0,0
4248,2023-01-20 11:08:53.822754,168097126,1505,1505,1624,1505,1505,1505,1055,1054,0,0,0,0,0,0
4281,2023-01-20 11:08:53.922807,168197195,1505,1505,1619,1505,1505,1506,1054,1054,0,0,0,0,0,0
4314,2023-01-20 11:08:54.022769,168297173,1506,1505,1617,1505,1506,1505,1054,1054,0,0,0,0,0,0
4345,2023-01-20 11:08:54.122716,168397133,1505,1505,1618,1505,1505,1505,1054,1055,0,0,0,0,0,0
4380,2023-01-20 11:08:54.222693,168497114,1505,1505,1618,1505,1505,1506,1054,1054,0,0,0,0,0,0
4410,2023-01-20 11:08:54.322775,168597172,1505,1506,1630,1505,1506,1505,1054,1055,0,0,0,0,0,0
4445,2023-01-20 11:08:54.422771,168697158,1505,1505,1641,1505,1505,1506,1054,1054,0,0,0,0,0,0
4475,2023-01-20 11:08:54.522723,168797147,1505,1505,1643,1506,1505,1505,1054,1055,0,0,0,0,0,0
4508,2023-01-20 11:08:54.622717,168897166,1505,1506,1653,1505,1506,1505,1054,1054,0,0,0,0,0,0
4538,2023-01-20 11:08:54.722694,168997127,1505,1505,1661,1505,1505,1506,1054,1054,0,0,0,0,0,0
4573,2023-01-20 11:08:54.822711,169097129,1505,1505,1659,1505,1505,1505,1055,1054,0,0,0,0,0,0
4605,2023-01-20 11:08:54.922812,169197218,1505,1505,1661,1505,1505,1505,1055,1054,0,0,0,0,0,0
4638,2023-01-20 11:08:55.022744,169297140,1505,1505,1670,1506,1505,1505,1055,1054,0,0,0,0,0,0
