LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
2274,2023-01-20 11:08:48.699996,162974108,0,0.001768887,-0.001279982,0.0005279154,0.03171338,0.2048224,-9.828568,0,0,29.99349,1,1,7974,996
2309,2023-01-20 11:08:48.740017,163014121,0,-0.0009219683,-0.001110122,0.0005926578,0.02585713,0.2063067,-9.823132,0,0,29.99434,1,1,7974,996
2319,2023-01-20 11:08:48.780354,163054450,0,-0.001632564,-0.001588972,0.0005434283,0.02070272,0.1920557,-9.824525,0,0,29.99602,1,1,7974,996
2336,2023-01-20 11:08:48.820566,163094658,0,-0.0006638105,-0.0008081887,-0.0006679969,0.02641224,0.2094369,-9.833954,0,0,29.99779,1,1,7974,996
2375,2023-01-20 11:08:48.859984,163134075,0,-0.0003282879,-0.000450215,0.0002071272,0.03344978,0.2005054,-9.830058,0,0,29.99889,1,1,7974,996
2385,2023-01-20 11:08:48.900381,163174472,0,-0.0007761238,-0.00102566,0.0001046737,0.02737016,0.2107697,-9.836097,0,0,29.99954,1,1,7974,996
2420,2023-01-20 11:08:48.940020,163214111,0,-0.000382575,-0.0007353736,-0.0002386086,0.01864068,0.2060908,-9.846583,0,0,30.00033,1,1,7974,996
2425,2023-01-20 11:08:48.980325,163254415,0,-0.0008833267,-0.0005817991,0.0008733278,0.0147798,0.2028192,-9.83571,0,0,30.00103,1,1,7974,996
2435,2023-01-20 11:08:49.020441,163294534,0,-0.0001625753,-0.001366799,0.00045725,0.01633602,0.1950488,-9.851815,0,0,30.00161,1,1,7974,996
2468,2023-01-20 11:08:49.060038,163334138,0,-0.0001831679,-0.0009601103,0.0002388193,0.01643647,0.1993245,-9.830589,0,0,30.00211,1,1,7974,996
2474,2023-01-20 11:08:49.099993,163374100,0,-0.0004766326,-0.001241695,0.0007898192,0.02642032,0.2013207,-9.829451,0,0,30.00333,1,1,7974,996
2504,2023-01-20 11:08:49.139995,163414108,0,-0.0009719098,-0.0007495981,0.0004569086,0.02322096,0.2032739,-9.841802,0,0,30.00504,1,1,7974,996
2512,2023-01-20 11:08:49.180308,163454428,0,-0.0001090159,-0.001082406,0.001479602,0.02948637,0.2056006,-9.839004,0,0,30.00709,1,1,7974,996
2521,2023-01-20 11:08:49.222656,163494527,0,0.0001173903,-0.0004422063,0.0004753009,0.04186384,0.1856631,-9.82411,0,0,30.00911,1,1,7974,996
2550,2023-01-20 11:08:49.266586,163534091,0,-4.836362E-05,-0.001123304,0.0005255135,0.02869037,0.1940335,-9.842333,0,0,30.01069,1,1,7974,996
2555,2023-01-20 11:08:49.311085,163574167,0,-0.0006045182,-0.001060856,0.0007200601,0.02192833,0.1982885,-9.812589,0,0,30.01203,1,1,7974,996
2587,2023-01-20 11:08:49.355428,163614103,0,-3.592834E-05,-9.883499E-05,0.0002039039,0.02508604,0.192696,-9.824431,0,0,30.01324,1,1,7974,996
2594,2023-01-20 11:08:49.400179,163654424,0,-0.0004603998,-0.001857297,0.00041333,0.02562885,0.2007558,-9.83495,0,0,30.01412,1,1,7974,996
2601,2023-01-20 11:08:49.440316,163694587,0,0.0004141246,-0.0002434708,0.0002031345,0.02554417,0.2034721,-9.836676,0,0,30.01511,1,1,7974,996
2633,2023-01-20 11:08:49.479801,163734098,0,0.0006570825,-0.002508624,0.001561514,0.0291793,0.2015035,-9.84191,0,0,30.01601,1,1,7974,996
2637,2023-01-20 11:08:49.519794,163774117,0,-0.0006939563,0.0006572057,0.01404322,0.04309063,0.2037723,-9.834347,0,0,30.01622,1,1,7974,996
2668,2023-01-20 11:08:49.559774,163814123,0,-0.001761261,-0.001651669,0.000809351,0.04917238,0.2035113,-9.811683,0,0,30.01613,1,1,7974,996
2675,2023-01-20 11:08:49.600129,163854517,0,-0.002263684,-0.005483569,-0.01693793,0.05096144,0.1819351,-9.819968,0,0,30.01592,1,1,7974,996
2682,2023-01-20 11:08:49.636543,163894520,0,0.0006135237,-0.0009424618,-0.01996414,0.02914554,0.1965199,-9.834279,0,0,30.0164,1,1,7974,996
2711,2023-01-20 11:08:49.672572,163934101,0,-0.001972621,-0.00129594,-0.0052505,0.03214864,0.1792755,-9.827824,0,0,30.0176,1,1,7974,996
2715,2023-01-20 11:08:49.708985,163974104,0,0.001304758,0.003680807,0.01702104,-0.04428031,0.2479412,-9.831695,0,0,30.01932,1,1,7974,996
2746,2023-01-20 11:08:49.745388,164014095,0,0.002149225,-0.0004554513,0.01036168,0.0502571,0.1778404,-9.828186,0,0,30.0204,1,1,7974,996
2751,2023-01-20 11:08:49.782082,164054407,0,-0.001906198,-0.003433199,-0.01283428,0.08269278,0.1521127,-9.832251,0,0,30.02105,1,1,7974,996
2762,2023-01-20 11:08:49.820555,164094651,0,0.001161269,-0.001493239,-0.0078337,-0.0333528,0.249411,-9.814861,0,0,30.02148,1,1,7974,996
2792,2023-01-20 11:08:49.859986,164134091,0,-8.100561E-05,0.003485348,0.01489453,-0.03843677,0.2709419,-9.841372,0,0,30.02136,1,1,7974,996
2796,2023-01-20 11:08:49.900267,164174382,0,-0.002537415,0.001873435,0.02049858,0.0582945,0.1552258,-9.827378,0,0,30.02183,1,1,7974,996
2829,2023-01-20 11:08:49.939983,164214107,0,0.0009737817,0.002884606,0.001083372,0.07406654,0.1268207,-9.839067,0,0,30.02219,1,1,7974,996
2834,2023-01-20 11:08:49.980280,164254413,0,0.0001732233,0.0004265902,-0.03024835,0.02347365,0.1732181,-9.830686,0,0,30.02266,1,1,7974,996
2843,2023-01-20 11:08:50.020416,164294546,0,0.0008755557,-0.004363337,-0.03237243,0.009463165,0.2241719,-9.835116,0,0,30.02335,1,1,7974,996
2872,2023-01-20 11:08:50.059983,164334098,0,-0.00260266,-0.001492643,-0.01360185,0.02797085,0.2641036,-9.826089,0,0,30.02376,1,1,7974,996
2876,2023-01-20 11:08:50.099993,164374094,0,-0.000641034,0.003520378,0.01665542,0.02833071,0.2825258,-9.814587,0,0,30.02444,1,1,7974,996
2909,2023-01-20 11:08:50.139996,164414081,0,-0.001470994,0.001972176,0.03527914,0.007601036,0.2272552,-9.822611,0,0,30.02529,1,1,7974,996
2915,2023-01-20 11:08:50.180315,164454385,0,0.002512787,-0.001650576,0.03349638,0.007802728,0.1361134,-9.833948,0,0,30.02573,1,1,7974,996
2924,2023-01-20 11:08:50.220454,164494525,0,0.001050951,-0.00238897,0.01503772,0.006924093,0.1028239,-9.833168,0,0,30.02627,1,1,7974,996
2954,2023-01-20 11:08:50.260021,164534108,0,-1.600145E-06,-0.0008269749,-0.01719865,0.04172244,0.1644074,-9.836863,0,0,30.02712,1,1,7974,996
2958,2023-01-20 11:08:50.299986,164574089,0,-0.002056129,-0.001198703,-0.03626611,0.05107147,0.243614,-9.837363,0,0,30.02838,1,1,7974,996
2989,2023-01-20 11:08:50.339989,164614109,0,-0.002037805,-0.001440968,-0.03419719,0.04605028,0.2722958,-9.82566,0,0,30.02907,1,1,7973,996
2994,2023-01-20 11:08:50.380246,164654382,0,-0.001516687,-0.003752956,-0.01246372,0.02610028,0.26346,-9.816904,0,0,30.02965,1,1,7973,996
3003,2023-01-20 11:08:50.420369,164694523,0,-0.001767223,-0.00135077,0.01451487,0.01808543,0.234007,-9.827711,0,0,30.02954,1,1,7973,996
3034,2023-01-20 11:08:50.459895,164734067,0,0.003808134,-0.004717053,0.033958,0.01940038,0.1704826,-9.836811,0,0,30.02947,1,1,7973,996
3040,2023-01-20 11:08:50.500215,164774407,0,0.002408935,0.002174754,0.03374147,0.006760415,0.1253091,-9.822895,0,0,30.02962,1,1,7973,996
3071,2023-01-20 11:08:50.539896,164814107,0,0.001171284,0.001680118,0.01897964,0.008781081,0.1366666,-9.828325,0,0,30.02947,1,1,7973,996
3076,2023-01-20 11:08:50.580087,164854317,0,-0.001601105,0.002168814,-0.01455102,-0.005532852,0.1658959,-9.841374,0,0,30.02988,1,1,7973,996
3085,2023-01-20 11:08:50.620295,164894522,0,-0.003868484,0.001440908,-0.05198297,-0.01901085,0.1682662,-9.828403,0,0,30.02958,1,1,7973,996
3113,2023-01-20 11:08:50.659924,164934128,0,-0.009735993,-0.000666678,-0.1098307,-0.05112513,0.1059358,-9.814055,0,0,30.02881,1,1,7973,996
3118,2023-01-20 11:08:50.699909,164974090,0,0.002455519,-0.008397759,-0.07406051,-0.0008159486,0.1998524,-9.807416,0,0,30.02797,1,1,7973,996
3149,2023-01-20 11:08:50.739939,165014097,0,0.01892252,0.01030611,0.02006613,-0.1453702,0.0992095,-9.807571,0,0,30.02739,1,1,7973,996
3155,2023-01-20 11:08:50.780277,165054411,0,0.01267211,0.01293346,0.04170087,0.112244,0.3847974,-9.880686,0,0,30.02703,1,1,7973,996
3164,2023-01-20 11:08:50.820548,165094684,0,0.01392819,-0.01402165,-0.07677586,0.1120791,0.3626517,-9.813491,0,0,30.02755,1,1,7973,996
3192,2023-01-20 11:08:50.859918,165134080,0,0.006537697,0.005386167,0.02442797,-0.01122113,0.1785397,-9.757599,0,0,30.02912,1,1,7973,996
3198,2023-01-20 11:08:50.900188,165174376,0,-0.003365076,0.01548959,0.005718879,0.01963891,0.06121011,-9.846175,0,0,30.03084,1,1,7973,996
3231,2023-01-20 11:08:50.939957,165214170,0,0.003101386,-0.005286787,-0.02911237,-0.01779836,0.2089995,-9.862349,0,0,30.0326,1,1,7973,996
3236,2023-01-20 11:08:50.979975,165254214,0,-0.001035717,-0.006600044,0.04359318,-0.01503545,0.2578165,-9.853515,0,0,30.03386,1,1,7973,996
3244,2023-01-20 11:08:51.020293,165294542,0,0.0005607103,0.002370122,-0.03605445,0.1531452,0.1451835,-9.833493,0,0,30.03483,1,1,7973,996
3272,2023-01-20 11:08:51.059834,165334077,0,0.01031073,0.007245766,-0.008568366,-0.06864512,0.1477714,-9.784534,0,0,30.03596,1,1,7973,996
3277,2023-01-20 11:08:51.099905,165374143,0,-0.0157351,-0.004845225,0.0388043,0.01166668,0.2574285,-9.880337,0,0,30.03709,1,1,7973,996
3309,2023-01-20 11:08:51.139875,165414107,0,0.007474036,-0.01863172,-0.05924893,0.17465,0.2987826,-9.859634,0,0,30.03762,1,1,7973,996
3316,2023-01-20 11:08:51.180005,165454231,0,0.01146961,0.01353798,-0.01817156,-0.07662003,0.06471863,-9.783391,0,0,30.03819,1,1,7973,996
3325,2023-01-20 11:08:51.220303,165494535,0,-0.0006280064,0.005581588,0.05667188,-0.03618313,0.1796797,-9.844836,0,0,30.03918,1,1,7973,996
3353,2023-01-20 11:08:51.259837,165534086,0,-0.0005158081,0.0020699,-0.03505525,0.1531635,0.3712799,-9.868764,0,0,30.03983,1,1,7973,996
3358,2023-01-20 11:08:51.299845,165574112,0,0.005212928,-0.008059748,-0.05033785,-0.05117928,0.1088493,-9.795537,0,0,30.03996,1,1,7973,996
3389,2023-01-20 11:08:51.339815,165614099,0,-0.001403858,-4.347787E-05,0.01300655,-0.02919918,0.159087,-9.840495,0,0,30.04021,1,1,7973,996
3394,2023-01-20 11:08:51.379918,165654220,0,0.005115894,0.01470517,0.02998383,0.08294156,0.3006258,-9.84835,0,0,30.04069,1,1,7973,996
3403,2023-01-20 11:08:51.420209,165694523,0,-0.006331805,-0.01241089,-0.01714327,0.03454541,0.1339431,-9.832205,0,0,30.04084,1,1,7973,996
3433,2023-01-20 11:08:51.459761,165734082,0,0.00338456,-0.009795916,-0.06299561,0.04563902,0.1759234,-9.83761,0,0,30.04079,1,1,7973,996
3438,2023-01-20 11:08:51.499784,165774112,0,-0.004864422,0.02698598,0.05837737,-0.0396839,0.2535191,-9.83881,0,0,30.04,1,1,7973,996
3469,2023-01-20 11:08:51.539783,165814117,0,0.01078749,-0.002165407,0.0247525,0.06815349,0.1375249,-9.851595,0,0,30.0405,1,1,7973,996
3475,2023-01-20 11:08:51.579870,165854211,0,-0.008626744,0.0041722,-0.07868741,0.09230556,0.2038499,-9.823179,0,0,30.04121,1,1,7973,996
3484,2023-01-20 11:08:51.620178,165894521,0,-0.0001976275,-0.00564956,0.03815572,-0.1165182,0.2084098,-9.807404,0,0,30.04179,1,1,7973,996
3511,2023-01-20 11:08:51.659803,165934143,0,-0.001689769,-0.0003734585,0.01604007,0.07976669,0.2211179,-9.837415,0,0,30.04226,1,1,7973,996
3517,2023-01-20 11:08:51.699779,165974116,0,0.01408607,0.002982198,-0.05334065,0.1089138,0.2017452,-9.842278,0,0,30.0427,1,1,7973,996
3548,2023-01-20 11:08:51.739775,166014109,0,-0.005801002,0.007351119,0.04841631,-0.02429235,0.1352398,-9.801334,0,0,30.04323,1,1,7973,996
3553,2023-01-20 11:08:51.779849,166054180,0,-0.002973943,-0.01336767,-0.0001086721,0.06915202,0.2575522,-9.875951,0,0,30.04419,1,1,7973,996
3564,2023-01-20 11:08:51.820373,166094704,0,0.0133056,-0.01961194,-0.04061873,-0.01169853,0.1936991,-9.798539,0,0,30.04487,1,1,7973,996
3591,2023-01-20 11:08:51.859771,166134103,0,-0.009313296,0.01850414,0.02811828,0.01256243,0.09297828,-9.813939,0,0,30.04482,1,1,7973,996
3597,2023-01-20 11:08:51.899851,166174184,0,0.006049945,0.007417166,0.009863934,0.08485218,0.2573225,-9.829251,0,0,30.04473,1,1,7973,996
3630,2023-01-20 11:08:51.939789,166214123,0,-0.007474336,-0.006308259,-0.01042656,-0.0357835,0.1716018,-9.828914,0,0,30.04477,1,1,7973,996
3635,2023-01-20 11:08:51.979813,166254148,0,-0.00101478,-0.01094554,-0.03616023,0.05599007,0.2262788,-9.84804,0,0,30.04445,1,1,7973,996
3644,2023-01-20 11:08:52.020200,166294535,0,0.01116017,0.006196004,0.0156194,0.0502574,0.2049063,-9.797363,0,0,30.04395,1,1,7973,996
3672,2023-01-20 11:08:52.059762,166334094,0,-0.008377958,0.001234608,0.04536321,-0.02314567,0.1017428,-9.839213,0,0,30.04374,1,1,7973,996
3677,2023-01-20 11:08:52.099826,166374155,0,-0.003419138,-0.006675864,-0.02685865,0.1080489,0.3011564,-9.861191,0,0,30.04431,1,1,7973,996
3705,2023-01-20 11:08:52.139787,166414113,0,-0.009104385,-5.026226E-07,0.001081303,0.0287199,0.1994738,-9.831529,0,0,30.04398,1,1,7973,996
3708,2023-01-20 11:08:52.179809,166454132,0,0.009260628,-0.009147746,0.02843915,-0.05422399,0.08754692,-9.79925,0,0,30.04357,1,1,7973,996
3715,2023-01-20 11:08:52.220210,166494532,0,0.007383705,0.01566869,-0.006467625,0.08868545,0.2793015,-9.856749,0,0,30.04336,1,1,7973,996
3740,2023-01-20 11:08:52.259773,166534097,0,0.005661619,-0.0061562,0.03028968,0.05190538,0.2413726,-9.803711,0,0,30.04348,1,1,7973,996
3742,2023-01-20 11:08:52.299797,166574121,0,-0.0166678,-0.01192376,-0.03991033,0.0469532,0.09276946,-9.83969,0,0,30.04332,1,1,7973,996
3770,2023-01-20 11:08:52.339782,166614107,0,0.009035338,-0.00248728,0.001016369,-0.04951542,0.220209,-9.834842,0,0,30.0438,1,1,7974,996
3772,2023-01-20 11:08:52.379815,166654141,0,-0.0008192353,0.006126136,0.06483584,0.0505367,0.2171951,-9.874757,0,0,30.04403,1,1,7974,996
3778,2023-01-20 11:08:52.420193,166694525,0,-0.01204971,-0.006688109,-0.05812245,0.1793294,0.1837027,-9.834643,0,0,30.04391,1,1,7974,996
3805,2023-01-20 11:08:52.459755,166734097,0,-0.002633187,-0.009196815,-0.01125049,-0.1061826,0.1538755,-9.81627,0,0,30.04345,1,1,7974,996
3807,2023-01-20 11:08:52.499776,166774128,0,0.00937098,0.006211327,0.04980127,0.01153751,0.2246658,-9.851618,0,0,30.04313,1,1,7974,996
3835,2023-01-20 11:08:52.539779,166814142,0,0.004335677,0.006919718,-0.001723293,0.1624893,0.2480786,-9.872268,0,0,30.04357,1,1,7974,996
3837,2023-01-20 11:08:52.579721,166854094,0,-0.003356697,0.003089372,0.01399845,-0.06763855,0.0777521,-9.790033,0,0,30.0434,1,1,7974,996
3843,2023-01-20 11:08:52.620151,166894522,0,-0.006330786,-0.01576739,0.01945953,-0.002146272,0.2590981,-9.853494,0,0,30.04379,1,1,7974,996
3868,2023-01-20 11:08:52.659748,166934106,0,0.007506343,0.001655501,0.01654377,0.09364095,0.3357226,-9.855648,0,0,30.04409,1,1,7974,996
3870,2023-01-20 11:08:52.699762,166974107,0,0.002999166,0.006238787,0.008749658,0.002939183,0.02895508,-9.815721,0,0,30.04354,1,1,7974,996
3898,2023-01-20 11:08:52.739759,167014091,0,0.006205482,-0.005744935,-0.0141067,0.01080892,0.2003774,-9.821055,0,0,30.04286,1,1,7974,996
3900,2023-01-20 11:08:52.779790,167054109,0,-0.01856776,0.003474088,0.04516167,-0.0236607,0.3121043,-9.860498,0,0,30.04206,1,1,7974,996
3908,2023-01-20 11:08:52.820398,167094710,0,0.01205016,-0.01343176,-0.0005803964,0.06362584,0.1524847,-9.821192,0,0,30.04089,1,1,7974,996
3933,2023-01-20 11:08:52.859783,167134094,0,0.004616146,0.005439381,-0.03862292,0.02884975,0.1649583,-9.814716,0,0,30.04013,1,1,7974,996
3935,2023-01-20 11:08:52.899848,167174159,0,-0.01218016,0.01575005,0.0853636,-0.05545636,0.2157257,-9.808956,0,0,30.03904,1,1,7974,996
3965,2023-01-20 11:08:52.939799,167214109,0,0.01209855,-0.01756016,-0.004935112,0.09197996,0.2953729,-9.888831,0,0,30.03794,1,1,7974,996
3967,2023-01-20 11:08:52.979861,167254170,0,0.001558785,-0.007627115,-0.06677523,0.06704162,0.1590846,-9.801915,0,0,30.0368,1,1,7974,996
3973,2023-01-20 11:08:53.020228,167294543,0,-0.0007627456,0.01647916,0.0660537,-0.04227403,0.1229239,-9.826407,0,0,30.03562,1,1,7974,996
3998,2023-01-20 11:08:53.059768,167334096,0,-0.008518402,0.009114075,0.01387064,0.1145685,0.2776445,-9.865614,0,0,30.03463,1,1,7974,996
4000,2023-01-20 11:08:53.099771,167374111,0,0.01315172,-0.02664077,-0.04424933,0.01079823,0.2371463,-9.853504,0,0,30.03432,1,1,7974,996
4028,2023-01-20 11:08:53.139745,167414097,0,-0.01155984,-0.0124174,-0.004235181,-0.007123275,0.1113453,-9.785623,0,0,30.03422,1,1,7974,996
4031,2023-01-20 11:08:53.179741,167454106,0,0.004581838,0.01578287,0.03463708,0.07304829,0.2318558,-9.852408,0,0,30.03464,1,1,7974,996
4038,2023-01-20 11:08:53.220214,167494583,0,-0.005243143,0.01876417,0.03868163,-0.02359192,0.1881453,-9.838977,0,0,30.03466,1,1,7974,996
4063,2023-01-20 11:08:53.259833,167534198,0,0.002017315,-0.02271978,-0.07423017,0.06847782,0.1826628,-9.85642,0,0,30.03453,1,1,7974,996
4065,2023-01-20 11:08:53.299788,167574149,0,0.004921973,-0.007787523,3.878069E-05,0.02746872,0.2284448,-9.78382,0,0,30.03469,1,1,7974,996
4093,2023-01-20 11:08:53.339806,167614163,0,0.0001910887,0.02514037,0.09448078,-0.0182804,0.1679094,-9.845243,0,0,30.03547,1,1,7973,996
4095,2023-01-20 11:08:53.379895,167654248,0,-0.01026003,-0.001254737,-0.03013458,0.1582384,0.2086449,-9.854622,0,0,30.03687,1,1,7973,996
4101,2023-01-20 11:08:53.420276,167694635,0,0.01223744,-0.01967157,0.04632314,0.06358577,0.2042121,-9.870918,0,0,30.03878,1,1,7973,996
4128,2023-01-20 11:08:53.459765,167734140,0,0.014384,0.01295439,0.04258425,0.003669606,0.2369125,-9.830736,0,0,30.04058,1,1,7973,996
4130,2023-01-20 11:08:53.499775,167774166,0,-0.0127943,-0.03359485,-0.01954529,0.06766637,0.1448735,-9.806075,0,0,30.04256,1,1,7973,996
4158,2023-01-20 11:08:53.539754,167814162,0,-0.03416591,0.03841995,-0.003646484,0.1010923,0.2625524,-9.884767,0,0,30.0441,1,1,7973,996
4159,2023-01-20 11:08:53.579792,167854216,0,0.00980266,-0.01446018,0.03210186,-0.0235521,0.0971558,-9.815606,0,0,30.045,1,1,7973,996
4166,2023-01-20 11:08:53.620164,167894590,0,0.02625108,0.002776574,-0.01272863,0.05591079,0.1784214,-9.798595,0,0,30.04538,1,1,7973,996
4191,2023-01-20 11:08:53.659728,167934141,0,0.01229274,-0.01437433,-0.007814365,0.04916925,0.1218876,-9.856189,0,0,30.04543,1,1,7973,996
4193,2023-01-20 11:08:53.699772,167974172,0,-0.01742975,-0.02458656,-0.07154056,0.1430499,0.1927107,-9.648624,0,0,30.04531,1,1,7973,996
4221,2023-01-20 11:08:53.739774,168014161,0,-0.0385625,0.0331781,-0.1769322,0.02539366,0.4527861,-9.71129,0,0,30.0454,1,1,7973,996
4222,2023-01-20 11:08:53.779769,168054144,0,0.02317979,0.0511667,-0.07187977,0.0809264,0.2235549,-9.970129,0,0,30.04498,1,1,7973,996
4231,2023-01-20 11:08:53.820343,168094715,0,0.0360987,0.0005707151,-0.06988051,0.007465183,0.2054074,-9.899951,0,0,30.04404,1,1,7973,996
4256,2023-01-20 11:08:53.859788,168134166,0,0.06376363,0.03760998,0.0358597,-0.02272965,0.161901,-9.882804,0,0,30.04288,1,1,7973,996
4258,2023-01-20 11:08:53.899973,168174358,0,0.1153041,0.01888965,0.009426028,0.117791,0.4780657,-9.998712,0,0,30.04267,1,1,7973,996
4289,2023-01-20 11:08:53.939777,168214168,0,0.1246647,0.08349986,0.04074999,-0.04277653,0.452228,-10.27074,0,0,30.04331,1,1,7973,996
4290,2023-01-20 11:08:53.979768,168254166,0,0.2038771,-0.07272422,0.06068427,0.05080735,0.3177003,-10.41033,0,0,30.04357,1,1,7973,996
4297,2023-01-20 11:08:54.020197,168294601,0,0.05135811,-0.1064533,0.05817718,-0.02043811,0.005059381,-10.93821,0,0,30.04363,1,1,7973,996
4323,2023-01-20 11:08:54.059744,168334153,0,-0.1194533,-0.05310968,0.08186632,-0.02098733,0.08118994,-11.58231,0,0,30.0429,1,1,7973,996
4325,2023-01-20 11:08:54.099747,168374161,0,-0.1499107,0.1153347,0.07262492,-0.123357,0.1450931,-11.80135,0,0,30.04202,1,1,7973,996
4353,2023-01-20 11:08:54.139734,168414153,0,-0.02734815,0.1974793,0.06934971,-0.0311402,0.3257929,-11.90206,0,0,30.04202,1,1,7973,996
