LineNo,UTC_Approx,TimeUS,Mode,ModeNum,Rsn
1811,2023-01-20 11:08:47.832827,162086748,Loiter,5,1
11229,2023-01-20 11:09:15.305064,189619438,Auto,3,1
279620,2023-01-20 11:22:49.234669,1005249692,Loiter,5,1
