LineNo,UTC_Approx,TimeUS,CTot,CNum,CId,Prm1,Prm2,Prm3,Prm4,Lat,Lng,Alt,Frame
1797,2023-01-20 11:08:47.828292,162082202,69,58,16,0,0,0,0,39.8014341,32.3761756,54.92,3
1798,2023-01-20 11:08:47.830151,162084065,69,59,206,15.12,0,1,0,0,0,0,0
1799,2023-01-20 11:08:47.830185,162084099,69,60,16,0,0,0,0,39.8065194,32.3799972,54.92,3
1800,2023-01-20 11:08:47.830214,162084128,69,61,16,0,0,0,0,39.8065973,32.3800557,54.92,3
1801,2023-01-20 11:08:47.830244,162084158,69,62,16,0,0,0,0,39.8067187,32.3797382,54.92,3
1802,2023-01-20 11:08:47.830272,162084187,69,63,16,0,0,0,0,39.8066408,32.3796797,54.92,3
1803,2023-01-20 11:08:47.830302,162084216,69,64,206,15.12,0,1,0,0,0,0,0
1804,2023-01-20 11:08:47.830330,162084245,69,65,16,0,0,0,0,39.8055978,32.3788958,54.92,3
1805,2023-01-20 11:08:47.832676,162086596,69,66,16,0,0,0,0,39.8055199,32.3788372,54.92,3
1806,2023-01-20 11:08:47.832709,162086629,69,67,206,0,0,1,0,0,0,0,0
1807,2023-01-20 11:08:47.832736,162086657,69,68,20,0,0,0,0,0,0,0,0
11231,2023-01-20 11:09:15.306987,189621360,69,32,16,0,0,0,0,39.8059903,32.3816434,54.92,3
26733,2023-01-20 11:10:02.417500,236831922,69,33,16,0,0,0,0,39.8059124,32.3815849,54.92,3
27966,2023-01-20 11:10:06.191799,240606987,69,35,16,0,0,0,0,39.8007114,32.3776762,54.92,3
60184,2023-01-20 11:11:43.582064,338216488,69,36,16,0,0,0,0,39.8006335,32.3776177,54.92,3
61356,2023-01-20 11:11:47.224973,341859359,69,37,16,0,0,0,0,39.800778,32.3773176,54.92,3
63634,2023-01-20 11:11:54.162065,348816445,69,38,16,0,0,0,0,39.8008559,32.3773761,54.92,3
64848,2023-01-20 11:11:57.942188,352596574,69,40,16,0,0,0,0,39.8060338,32.3812674,54.92,3
96925,2023-01-20 11:13:34.927315,449781699,69,41,16,0,0,0,0,39.8061117,32.3813259,54.92,3
98124,2023-01-20 11:13:38.539537,453413934,69,42,16,0,0,0,0,39.8062331,32.3810084,54.92,3
100309,2023-01-20 11:13:45.242798,460121442,69,43,16,0,0,0,0,39.8061552,32.3809498,54.92,3
101485,2023-01-20 11:13:48.876976,463771636,69,45,16,0,0,0,0,39.8010005,32.377076,54.92,3
133432,2023-01-20 11:15:25.459288,560553940,69,46,16,0,0,0,0,39.8009226,32.3770174,54.92,3
134606,2023-01-20 11:15:29.094300,564188938,69,47,16,0,0,0,0,39.8010671,32.3767173,54.92,3
136851,2023-01-20 11:15:35.979792,571094175,69,48,16,0,0,0,0,39.801145,32.3767759,54.92,3
138059,2023-01-20 11:15:39.669719,574784112,69,50,16,0,0,0,0,39.8062766,32.3806323,54.92,3
169840,2023-01-20 11:17:15.747511,671076470,69,51,16,0,0,0,0,39.8063545,32.3806908,54.92,3
171042,2023-01-20 11:17:19.374499,674708883,69,52,16,0,0,0,0,39.8064759,32.3803733,54.92,3
173231,2023-01-20 11:17:26.099549,681433921,69,53,16,0,0,0,0,39.806398,32.3803147,54.92,3
174405,2023-01-20 11:17:29.719658,685074073,69,55,16,0,0,0,0,39.8012896,32.3764757,54.92,3
206059,2023-01-20 11:19:05.434512,780988942,69,56,16,0,0,0,0,39.8012117,32.3764172,54.92,3
207261,2023-01-20 11:19:09.069560,784623947,69,57,16,0,0,0,0,39.8013562,32.3761171,54.92,3
209544,2023-01-20 11:19:16.094775,791669177,69,58,16,0,0,0,0,39.8014341,32.3761756,54.92,3
210781,2023-01-20 11:19:19.847207,795421576,69,60,16,0,0,0,0,39.8065194,32.3799972,54.92,3
242271,2023-01-20 11:20:55.089599,890863972,69,61,16,0,0,0,0,39.8065973,32.3800557,54.92,3
243452,2023-01-20 11:20:58.701746,894496359,69,62,16,0,0,0,0,39.8067187,32.3797382,54.92,3
245661,2023-01-20 11:21:05.409787,901223944,69,63,16,0,0,0,0,39.8066408,32.3796797,54.92,3
246838,2023-01-20 11:21:09.055053,904869430,69,65,16,0,0,0,0,39.8055978,32.3788958,54.92,3
253840,2023-01-20 11:21:30.244584,926098956,69,66,16,0,0,0,0,39.8055199,32.3788372,54.92,3
255569,2023-01-20 11:21:35.582600,931457625,69,68,20,0,0,0,0,0,0,0,0
