LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
5482,2023-01-20 11:08:57.622732,171897172,0,0,0,0
5512,2023-01-20 11:08:57.722752,171997159,0,0,0,0
5547,2023-01-20 11:08:57.822829,172097211,0,0,0,0
5579,2023-01-20 11:08:57.922825,172197212,0,0,0,0
5614,2023-01-20 11:08:58.022803,172297193,0,0,0,0
5644,2023-01-20 11:08:58.122811,172397198,0,0,0,0
5679,2023-01-20 11:08:58.223075,172497460,0,0,0,0
5709,2023-01-20 11:08:58.322793,172597178,0,0,0,0
5744,2023-01-20 11:08:58.422814,172697208,0,0,0,0
5774,2023-01-20 11:08:58.522757,172797186,0,0,0,0
5807,2023-01-20 11:08:58.622750,172897198,0,0,0,0
5837,2023-01-20 11:08:58.722765,172997176,0,0,0,0
5872,2023-01-20 11:08:58.822796,173097183,0,0,0,0
5904,2023-01-20 11:08:58.922830,173197233,0,0,0,0
5938,2023-01-20 11:08:59.020722,173297212,0,0,0,0
5969,2023-01-20 11:08:59.111630,173397224,0,0,0,0
6004,2023-01-20 11:08:59.203012,173497456,0,0,0,0
6034,2023-01-20 11:08:59.302737,173597178,0,0,0,0
6069,2023-01-20 11:08:59.403127,173697252,0,0,0,0
6098,2023-01-20 11:08:59.514156,173797173,0,0,0,0
6131,2023-01-20 11:08:59.620688,173897186,0,0,0,0
6161,2023-01-20 11:08:59.711571,173997163,0,0,0,0
6197,2023-01-20 11:08:59.802744,174097185,0,0,0,0
6229,2023-01-20 11:08:59.902735,174197206,0,0,0,0
6262,2023-01-20 11:09:00.002681,174297183,0,0,0,0
6292,2023-01-20 11:09:00.102648,174397223,0,0,0,0
6327,2023-01-20 11:09:00.202813,174497459,0,0,0,0
6357,2023-01-20 11:09:00.302564,174597158,0,0,0,0
6392,2023-01-20 11:09:00.402667,174697212,0,0,0,0
6424,2023-01-20 11:09:00.502558,174797158,0,0,0,0
6457,2023-01-20 11:09:00.602527,174897179,0,0,0,0
6487,2023-01-20 11:09:00.702548,174997168,0,0,0,0
6523,2023-01-20 11:09:00.802601,175097190,0,0,0,0
6555,2023-01-20 11:09:00.902708,175197321,0,0,0,0
6588,2023-01-20 11:09:01.002555,175297189,0,0,0,0
6618,2023-01-20 11:09:01.102633,175397192,0,0,0,0
6653,2023-01-20 11:09:01.203012,175497499,0,0,0,0
6683,2023-01-20 11:09:01.302616,175597171,0,0,0,0
6718,2023-01-20 11:09:01.402592,175697214,0,0,0,0
6748,2023-01-20 11:09:01.502513,175797162,0,0,0,0
6781,2023-01-20 11:09:01.602545,175897220,0,0,0,0
6812,2023-01-20 11:09:01.702526,175997195,0,0,0,0
6847,2023-01-20 11:09:01.802509,176097173,0,0,0,0
6879,2023-01-20 11:09:01.902562,176197222,0,0,0,0
6912,2023-01-20 11:09:02.002529,176297185,0,0,0,0
6942,2023-01-20 11:09:02.102558,176397202,0,0,0,0
6977,2023-01-20 11:09:02.202896,176497528,0,0,0,0
7007,2023-01-20 11:09:02.302546,176597174,0,0,0,0
7042,2023-01-20 11:09:02.402578,176697204,0,0,0,0
7072,2023-01-20 11:09:02.502497,176797172,0,0,0,0
7105,2023-01-20 11:09:02.602447,176897169,0,0,0,0
7135,2023-01-20 11:09:02.702482,176997159,0,0,0,0
7170,2023-01-20 11:09:02.802551,177097184,0,0,0,0
7202,2023-01-20 11:09:02.902698,177197336,0,0,0,0
7235,2023-01-20 11:09:03.002553,177297195,0,0,0,0
7265,2023-01-20 11:09:03.102533,177397187,0,0,0,0
7300,2023-01-20 11:09:03.202716,177497381,0,0,0,0
7330,2023-01-20 11:09:03.302503,177597173,0,0,0,0
7365,2023-01-20 11:09:03.402536,177697210,0,0,0,0
7395,2023-01-20 11:09:03.502523,177797196,0,0,0,0
7428,2023-01-20 11:09:03.602494,177897166,0,0,0,0
7459,2023-01-20 11:09:03.702524,177997183,0,0,0,0
7494,2023-01-20 11:09:03.802526,178097173,0,0,0,0
7526,2023-01-20 11:09:03.902548,178197208,0,0,0,0
7559,2023-01-20 11:09:04.002515,178297187,0,0,0,0
7590,2023-01-20 11:09:04.102495,178397176,0,0,0,0
7625,2023-01-20 11:09:04.202697,178497385,0,0,0,0
7655,2023-01-20 11:09:04.302508,178597173,0,0,0,0
7690,2023-01-20 11:09:04.402568,178697210,0,0,0,0
7720,2023-01-20 11:09:04.502550,178797208,0,0,0,0
7753,2023-01-20 11:09:04.602504,178897178,0,0,0,0
7783,2023-01-20 11:09:04.702525,178997174,0,0,0,0
7818,2023-01-20 11:09:04.802550,179097176,0,0,0,0
7850,2023-01-20 11:09:04.902548,179197210,0,0,0,0
7883,2023-01-20 11:09:05.002495,179297192,0,0,0,0
7913,2023-01-20 11:09:05.102492,179397166,0,0,0,0
7948,2023-01-20 11:09:05.202561,179497213,0,0,0,0
7978,2023-01-20 11:09:05.302529,179597167,0,0,0,0
8014,2023-01-20 11:09:05.402594,179697219,0,0,0,0
8046,2023-01-20 11:09:05.502498,179797179,0,0,0,0
8079,2023-01-20 11:09:05.602466,179897201,0,0,0,0
8109,2023-01-20 11:09:05.702556,179997230,0,0,0,0
8144,2023-01-20 11:09:05.802559,180097175,0,0,0,0
8176,2023-01-20 11:09:05.902552,180197208,0,0,0,0
8209,2023-01-20 11:09:06.002488,180297183,0,0,0,0
8239,2023-01-20 11:09:06.102530,180397216,0,0,0,0
8274,2023-01-20 11:09:06.202523,180497200,0,0,0,0
8304,2023-01-20 11:09:06.302485,180597165,0,0,0,0
8339,2023-01-20 11:09:06.402524,180697206,0,0,0,0
8369,2023-01-20 11:09:06.502500,180797174,0,0,0,0
8402,2023-01-20 11:09:06.602503,180897169,0,0,0,0
8432,2023-01-20 11:09:06.702496,180997166,0,0,0,0
8467,2023-01-20 11:09:06.802509,181097183,0,0,0,0
8499,2023-01-20 11:09:06.902577,181197238,0,0,0,0
8532,2023-01-20 11:09:07.002517,181297166,0,0,0,0
8562,2023-01-20 11:09:07.102520,181397166,0,0,0,0
8597,2023-01-20 11:09:07.202694,181497338,0,0,0,0
8627,2023-01-20 11:09:07.302545,181597187,0,0,0,0
8663,2023-01-20 11:09:07.402583,181697224,0,0,0,0
8693,2023-01-20 11:09:07.502578,181797231,0,0,0,0
8726,2023-01-20 11:09:07.602517,181897182,0,0,0,0
8756,2023-01-20 11:09:07.702535,181997179,0,0,0,0
8791,2023-01-20 11:09:07.802602,182097226,0,0,0,0
8823,2023-01-20 11:09:07.902584,182197220,0,0,0,0
8856,2023-01-20 11:09:08.002533,182297182,0,0,0,0
8886,2023-01-20 11:09:08.102540,182397207,0,0,0,0
8921,2023-01-20 11:09:08.202510,182497193,0,0,0,0
8951,2023-01-20 11:09:08.302519,182597179,0,0,0,0
8986,2023-01-20 11:09:08.402613,182697252,0,0,0,0
9016,2023-01-20 11:09:08.502502,182797172,0,0,0,0
9049,2023-01-20 11:09:08.602475,182897175,0,0,0,0
9079,2023-01-20 11:09:08.702503,182997171,0,0,0,0
9114,2023-01-20 11:09:08.802539,183097175,0,0,0,0
9148,2023-01-20 11:09:08.902578,183197227,0,0,0,0
9181,2023-01-20 11:09:09.002305,183297192,0,0,0,0
9211,2023-01-20 11:09:09.093352,183397141,0,0,0,0
9244,2023-01-20 11:09:09.184506,183497206,0,0,0,0
9277,2023-01-20 11:09:09.282959,183597185,0,0,0,0
9310,2023-01-20 11:09:09.382987,183697226,0,0,0,0
9342,2023-01-20 11:09:09.482951,183797188,0,0,0,0
9373,2023-01-20 11:09:09.582948,183897181,0,0,0,0
9406,2023-01-20 11:09:09.682945,183997161,0,0,0,0
9440,2023-01-20 11:09:09.782977,184097173,0,0,0,0
9474,2023-01-20 11:09:09.883004,184197217,0,0,0,0
9505,2023-01-20 11:09:09.982973,184297209,0,0,0,0
9537,2023-01-20 11:09:10.082970,184397214,0,0,0,0
9569,2023-01-20 11:09:10.182952,184497200,0,0,0,0
9602,2023-01-20 11:09:10.282934,184597183,0,0,0,0
9635,2023-01-20 11:09:10.382987,184697237,0,0,0,0
9667,2023-01-20 11:09:10.482865,184797207,0,0,0,0
9700,2023-01-20 11:09:10.582930,184897383,0,0,0,0
9732,2023-01-20 11:09:10.682742,184997159,0,0,0,0
