LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
3218,2023-01-20 11:08:50.922894,165197096,-2.03,0.24,173.58,739.84,39.8044314,32.3787938,0.05591916,-0.00309818,-0.01763779,0.9982747
3258,2023-01-20 11:08:51.022756,165297005,-2.02,0.21,173.57,739.87,39.804431,32.3787943,0.0560135,-0.002839626,-0.01756134,0.9982715
3296,2023-01-20 11:08:51.122769,165397003,-2.06,0.16,173.6,739.93,39.8044307,32.3787944,0.05570035,-0.00240325,-0.01794459,0.9982833
3339,2023-01-20 11:08:51.222808,165497041,-2.08,0.13,173.6,739.76,39.8044305,32.3787946,0.05572759,-0.002188802,-0.01812684,0.998279
3377,2023-01-20 11:08:51.322736,165597013,-2.07,0.14,173.58,739.74,39.8044303,32.3787947,0.05590455,-0.002286346,-0.01803366,0.9982706
3419,2023-01-20 11:08:51.422738,165697053,-2.05,0.18,173.6,739.78,39.8044302,32.3787944,0.05568251,-0.00258004,-0.01782086,0.9982861
3457,2023-01-20 11:08:51.522670,165797001,-1.94,0.2,173.61,739.84,39.80443,32.3787943,0.05564864,-0.002735299,-0.01687822,0.9983039
3498,2023-01-20 11:08:51.622658,165897001,-1.87,0.25,173.63,739.85,39.8044305,32.3787943,0.05545218,-0.003098937,-0.01625413,0.9983242
3535,2023-01-20 11:08:51.722662,165996998,-1.92,0.43,173.62,739.85,39.8044306,32.3787943,0.05550131,-0.004734271,-0.01659325,0.9983095
3578,2023-01-20 11:08:51.822675,166097006,-1.98,0.54,173.61,739.75,39.8044303,32.3787943,0.0555888,-0.005699797,-0.017052,0.9982919
3618,2023-01-20 11:08:51.922725,166197059,-2.01,0.4,173.62,739.8,39.8044302,32.3787944,0.05548114,-0.004543995,-0.01739068,0.9982979
3658,2023-01-20 11:08:52.022673,166297007,-2.03,0.3,173.64,739.86,39.8044303,32.3787945,0.0553619,-0.00360303,-0.01755705,0.9983055
3694,2023-01-20 11:08:52.122675,166397002,-2.06,0.31,173.65,739.86,39.8044302,32.3787946,0.0552531,-0.003775998,-0.01785921,0.9983056
3729,2023-01-20 11:08:52.222727,166497049,-2.06,0.34,173.63,739.87,39.8044304,32.3787943,0.05540699,-0.003978704,-0.01782411,0.9982968
3759,2023-01-20 11:08:52.322681,166597006,-1.99,0.41,173.64,739.87,39.8044305,32.3787943,0.05534324,-0.00457821,-0.01714374,0.9983097
3794,2023-01-20 11:08:52.422725,166697058,-1.93,0.48,173.65,739.9,39.8044307,32.3787942,0.05528224,-0.005153985,-0.01659896,0.9983195
3824,2023-01-20 11:08:52.522697,166797055,-1.96,0.49,173.67,739.91,39.8044308,32.3787942,0.05504877,-0.005279653,-0.01691469,0.9983264
3857,2023-01-20 11:08:52.622623,166896994,-2,0.49,173.66,739.9,39.8044306,32.3787943,0.05517549,-0.005294838,-0.01719374,0.9983146
3887,2023-01-20 11:08:52.722660,166996998,-1.98,0.47,173.66,739.94,39.8044306,32.3787943,0.05512395,-0.005103808,-0.01704915,0.9983209
3922,2023-01-20 11:08:52.822691,167097003,-1.98,0.44,173.67,739.89,39.8044304,32.3787942,0.05507913,-0.004823804,-0.01704335,0.9983249
3954,2023-01-20 11:08:52.922741,167197051,-2,0.36,173.67,739.9,39.8044303,32.3787942,0.05507705,-0.004126889,-0.01727659,0.9983242
3987,2023-01-20 11:08:53.022707,167297023,-2.01,0.29,173.7,739.98,39.80443,32.3787944,0.05484534,-0.003541597,-0.01745872,0.9983359
4017,2023-01-20 11:08:53.122664,167397011,-2.05,0.22,173.68,739.94,39.8044299,32.3787945,0.05501264,-0.002972462,-0.01782228,0.9983222
4052,2023-01-20 11:08:53.222689,167497058,-2.06,0.24,173.73,739.91,39.8044304,32.3787941,0.05459863,-0.003090781,-0.01784754,0.9983441
4082,2023-01-20 11:08:53.322700,167597059,-1.99,0.46,173.71,739.87,39.8044306,32.378794,0.05476187,-0.005012649,-0.01711704,0.9983401
4117,2023-01-20 11:08:53.422721,167697081,-1.94,0.64,173.73,739.87,39.8044306,32.3787939,0.05451828,-0.006539017,-0.01664029,0.9983526
4147,2023-01-20 11:08:53.522663,167797064,-1.96,0.62,173.74,739.89,39.8044307,32.3787939,0.05442017,-0.006394347,-0.01686108,0.9983552
4180,2023-01-20 11:08:53.622640,167897065,-1.95,0.6,173.8,739.97,39.8044306,32.378794,0.05395071,-0.006233356,-0.0167519,0.9983836
4210,2023-01-20 11:08:53.722654,167997047,-1.94,0.52,173.68,739.8,39.8044306,32.378794,0.05493698,-0.005520249,-0.0166882,0.9983351
4245,2023-01-20 11:08:53.822688,168097060,-1.82,0.5,173.2,739.8,39.8044297,32.378794,0.05917024,-0.00534502,-0.01561725,0.9981114
4278,2023-01-20 11:08:53.922733,168197121,-1.31,0.36,173.4,739.77,39.8044294,32.378794,0.05749954,-0.003853705,-0.01126915,0.9982745
4311,2023-01-20 11:08:54.022703,168297107,-0.24,0.62,173.69,739.39,39.8044299,32.3787941,0.05495861,-0.005571743,-0.001805202,0.9984714
4342,2023-01-20 11:08:54.122650,168397067,-0.76,1.2,174.13,739.13,39.8044302,32.3787941,0.05108953,-0.01085725,-0.00614413,0.9986162
4377,2023-01-20 11:08:54.222627,168497048,-1.37,1.53,174.56,739.88,39.8044306,32.3787935,0.04726121,-0.01393856,-0.01133758,0.9987209
