LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
3888,2023-01-20 11:08:52.722689,166997027,39.8044319,32.3787932,739.05,-0.3469959,0.1330041
3923,2023-01-20 11:08:52.822721,167097033,39.8044319,32.3787932,739.04,-0.3536222,0.1263778
3955,2023-01-20 11:08:52.922770,167197080,39.8044318,32.3787932,739.03,-0.3602949,0.119705
3988,2023-01-20 11:08:53.022740,167297056,39.8044317,32.3787933,739.03,-0.3665431,0.1134569
4018,2023-01-20 11:08:53.122693,167397040,39.8044316,32.3787934,739.02,-0.3741856,0.1058144
4053,2023-01-20 11:08:53.222718,167497087,39.8044315,32.3787934,739.01,-0.3804681,0.09953185
4083,2023-01-20 11:08:53.322729,167597088,39.8044316,32.3787934,739.01,-0.3875938,0.09240618
4118,2023-01-20 11:08:53.422755,167697115,39.8044316,32.3787934,739,-0.3945583,0.08544167
4148,2023-01-20 11:08:53.522692,167797093,39.8044316,32.3787934,738.99,-0.4036844,0.07631559
4181,2023-01-20 11:08:53.622669,167897094,39.8044317,32.3787933,738.98,-0.4118227,0.06817728
4211,2023-01-20 11:08:53.722683,167997076,39.8044317,32.3787934,738.97,-0.4218468,0.05815315
4246,2023-01-20 11:08:53.822717,168097089,39.8044316,32.3787934,738.96,-0.431364,0.04863601
4279,2023-01-20 11:08:53.922762,168197150,39.8044314,32.3787934,738.95,-0.4420644,0.03793558
4312,2023-01-20 11:08:54.022732,168297136,39.8044314,32.3787934,738.95,-0.4465569,0.0334431
4343,2023-01-20 11:08:54.122679,168397096,39.8044314,32.3787934,738.96,-0.4380538,0.0419462
4378,2023-01-20 11:08:54.222656,168497077,39.8044314,32.3787933,738.98,-0.4139208,0.06607916
4408,2023-01-20 11:08:54.322738,168597135,39.8044315,32.3787931,739.02,-0.3765517,0.1034482
4443,2023-01-20 11:08:54.422730,168697117,39.8044316,32.3787929,739.07,-0.3276026,0.1523974
4473,2023-01-20 11:08:54.522686,168797110,39.8044317,32.3787928,739.12,-0.273479,0.206521
4506,2023-01-20 11:08:54.622680,168897129,39.8044317,32.3787926,739.17,-0.2206475,0.2593525
4536,2023-01-20 11:08:54.722653,168997086,39.8044316,32.3787924,739.23,-0.1653991,0.3146009
4571,2023-01-20 11:08:54.822675,169097092,39.8044314,32.3787922,739.29,-0.1058893,0.3741107
4603,2023-01-20 11:08:54.922775,169197181,39.8044312,32.378792,739.35,-0.04488721,0.4351128
4636,2023-01-20 11:08:55.022707,169297103,39.8044309,32.3787918,739.41,0.0127987,0.4927987
4666,2023-01-20 11:08:55.122713,169397099,39.8044306,32.3787916,739.46,0.06711152,0.5471115
4701,2023-01-20 11:08:55.222714,169497093,39.8044303,32.3787915,739.54,0.1416663,0.6216663
4731,2023-01-20 11:08:55.322703,169597088,39.8044302,32.3787915,739.63,0.2370166,0.7170166
4766,2023-01-20 11:08:55.422731,169697126,39.8044301,32.3787915,739.73,0.3367188,0.8167188
4798,2023-01-20 11:08:55.522680,169797103,39.8044299,32.3787915,739.84,0.4445891,0.9245891
4831,2023-01-20 11:08:55.622664,169897102,39.8044298,32.3787915,739.95,0.5543925,1.034392
4861,2023-01-20 11:08:55.722749,169997158,39.8044297,32.3787917,740.06,0.6610639,1.141064
4896,2023-01-20 11:08:55.822697,170097084,39.8044295,32.3787917,740.16,0.7619594,1.241959
4928,2023-01-20 11:08:55.922755,170197145,39.8044294,32.378792,740.26,0.86156,1.34156
4961,2023-01-20 11:08:56.022728,170297119,39.8044294,32.3787922,740.35,0.9543227,1.434323
4991,2023-01-20 11:08:56.122700,170397084,39.8044293,32.3787923,740.43,1.03829,1.51829
5026,2023-01-20 11:08:56.222715,170497094,39.8044293,32.3787925,740.51,1.11703,1.59703
5056,2023-01-20 11:08:56.322734,170597115,39.8044293,32.3787927,740.59,1.193065,1.673065
5091,2023-01-20 11:08:56.422731,170697121,39.8044294,32.3787929,740.66,1.265525,1.745525
5121,2023-01-20 11:08:56.522721,170797143,39.8044292,32.3787932,740.73,1.337606,1.817606
5154,2023-01-20 11:08:56.622662,170897101,39.8044292,32.3787935,740.81,1.412804,1.892804
5184,2023-01-20 11:08:56.722687,170997092,39.8044292,32.3787939,740.89,1.490904,1.970904
5219,2023-01-20 11:08:56.822717,171097098,39.8044291,32.3787942,740.97,1.571185,2.051185
5251,2023-01-20 11:08:56.922768,171197157,39.8044292,32.3787946,741.05,1.655525,2.135525
5284,2023-01-20 11:08:57.022703,171297096,39.8044293,32.3787949,741.14,1.740673,2.220673
5315,2023-01-20 11:08:57.122695,171397080,39.8044292,32.3787952,741.22,1.82823,2.30823
5350,2023-01-20 11:08:57.222711,171497089,39.8044291,32.3787955,741.31,1.911499,2.391499
5380,2023-01-20 11:08:57.322757,171597134,39.804429,32.3787959,741.38,1.988808,2.468808
5415,2023-01-20 11:08:57.422725,171697108,39.8044289,32.3787963,741.46,2.066895,2.546895
5445,2023-01-20 11:08:57.522672,171797091,39.8044287,32.3787967,741.54,2.148629,2.628629
5478,2023-01-20 11:08:57.622657,171897097,39.8044285,32.3787971,741.63,2.237378,2.717378
5508,2023-01-20 11:08:57.722682,171997088,39.8044284,32.3787973,741.73,2.333892,2.813892
5543,2023-01-20 11:08:57.822758,172097140,39.8044282,32.3787976,741.83,2.437511,2.917511
5575,2023-01-20 11:08:57.922751,172197138,39.804428,32.3787977,741.94,2.548345,3.028345
5610,2023-01-20 11:08:58.022720,172297110,39.8044279,32.3787978,742.06,2.66478,3.14478
5640,2023-01-20 11:08:58.122740,172397127,39.8044279,32.3787981,742.18,2.782291,3.262291
5675,2023-01-20 11:08:58.222991,172497376,39.8044278,32.3787982,742.3,2.901008,3.381008
