LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
4326,2023-01-20 11:08:54.119992,168394408,0,0,4,4,6,0,0,0,0
4360,2023-01-20 11:08:54.219973,168494395,0,0,4,4,6,0,0,0,0
4391,2023-01-20 11:08:54.319999,168594396,0,0,4,4,6,0,0,0,0
4423,2023-01-20 11:08:54.420016,168694401,0,0,4,4,6,0,0,0,0
4456,2023-01-20 11:08:54.520003,168794426,0,0,4,4,6,0,0,0,0
4488,2023-01-20 11:08:54.619967,168894417,0,0,4,4,6,0,0,0,0
4519,2023-01-20 11:08:54.719970,168994403,0,0,4,4,6,0,0,0,0
4551,2023-01-20 11:08:54.819993,169094411,0,0,4,4,6,0,0,0,0
4584,2023-01-20 11:08:54.920022,169194429,0,0,4,4,6,0,0,0,0
4618,2023-01-20 11:08:55.020030,169294426,0,0,4,4,6,0,0,0,0
4649,2023-01-20 11:08:55.120017,169394403,0,0,4,4,6,0,0,0,0
4683,2023-01-20 11:08:55.220020,169494399,0,0,4,4,6,0,0,0,0
4714,2023-01-20 11:08:55.320023,169594407,0,0,4,4,6,0,0,0,0
4746,2023-01-20 11:08:55.420061,169694455,0,0,4,4,6,0,0,0,0
4781,2023-01-20 11:08:55.519992,169794414,0,0,4,4,6,0,0,0,0
4813,2023-01-20 11:08:55.619965,169894403,0,0,4,4,6,0,0,0,0
4844,2023-01-20 11:08:55.719989,169994398,0,0,4,4,6,0,0,0,0
4876,2023-01-20 11:08:55.820002,170094389,0,0,4,4,6,0,0,0,0
4909,2023-01-20 11:08:55.920030,170194420,0,0,4,4,6,0,0,0,0
4943,2023-01-20 11:08:56.020041,170294432,0,0,4,4,6,0,0,0,0
4974,2023-01-20 11:08:56.120023,170394407,0,0,4,4,6,0,0,0,0
5008,2023-01-20 11:08:56.220064,170494443,0,0,4,4,6,0,0,0,0
5039,2023-01-20 11:08:56.320019,170594400,0,0,4,4,6,0,0,0,0
5071,2023-01-20 11:08:56.420026,170694415,0,0,4,4,6,0,0,0,0
5104,2023-01-20 11:08:56.520000,170794421,0,0,4,4,6,0,0,0,0
5136,2023-01-20 11:08:56.619961,170894401,0,0,4,4,6,0,0,0,0
5167,2023-01-20 11:08:56.720042,170994448,0,0,4,4,6,0,0,0,0
5199,2023-01-20 11:08:56.820026,171094407,0,0,4,4,6,0,0,0,0
5232,2023-01-20 11:08:56.920032,171194421,0,0,4,4,6,0,0,0,0
5266,2023-01-20 11:08:57.020077,171294470,0,0,4,4,6,0,0,0,0
5298,2023-01-20 11:08:57.120013,171394398,0,0,4,4,6,0,0,0,0
5332,2023-01-20 11:08:57.220034,171494413,0,0,4,4,6,0,0,0,0
5363,2023-01-20 11:08:57.320029,171594406,0,0,4,4,6,0,0,0,0
5395,2023-01-20 11:08:57.420041,171694423,0,0,4,4,6,0,0,0,0
5428,2023-01-20 11:08:57.520044,171794462,0,0,4,4,6,0,0,0,0
5460,2023-01-20 11:08:57.619965,171894405,0,0,4,4,6,0,0,0,0
5491,2023-01-20 11:08:57.720006,171994414,0,0,4,4,6,0,0,0,0
5523,2023-01-20 11:08:57.820023,172094405,0,0,4,4,6,0,0,0,0
5556,2023-01-20 11:08:57.920037,172194424,0,0,4,4,6,0,0,0,0
5592,2023-01-20 11:08:58.020003,172294393,0,0,4,4,6,0,0,0,0
5623,2023-01-20 11:08:58.119988,172394375,0,0,4,4,6,0,0,0,0
5657,2023-01-20 11:08:58.219982,172494367,0,0,4,4,6,0,0,0,0
5688,2023-01-20 11:08:58.320004,172594389,0,0,4,4,6,0,0,0,0
5720,2023-01-20 11:08:58.420018,172694411,0,0,4,4,6,0,0,0,0
5753,2023-01-20 11:08:58.519953,172794381,0,0,4,4,6,0,0,0,0
5785,2023-01-20 11:08:58.619930,172894379,0,0,4,4,6,0,0,0,0
5816,2023-01-20 11:08:58.720008,172994420,0,0,4,4,6,0,0,0,0
5848,2023-01-20 11:08:58.819976,173094362,0,0,4,4,6,0,0,0,0
5881,2023-01-20 11:08:58.919998,173194400,0,0,4,4,6,0,0,0,0
5915,2023-01-20 11:08:59.018186,173294422,0,0,4,4,6,0,0,0,0
5947,2023-01-20 11:08:59.109032,173394366,0,0,4,4,6,0,0,0,0
5981,2023-01-20 11:08:59.200036,173494480,0,0,4,4,6,0,0,0,0
6012,2023-01-20 11:08:59.299933,173594374,0,0,4,4,6,0,0,0,0
6044,2023-01-20 11:08:59.400044,173694478,0,0,4,4,6,0,0,0,0
6077,2023-01-20 11:08:59.511070,173794395,0,0,4,4,6,0,0,0,0
6109,2023-01-20 11:08:59.618227,173894479,0,0,4,4,6,0,0,0,0
6140,2023-01-20 11:08:59.709074,173994416,0,0,4,4,6,0,0,0,0
6172,2023-01-20 11:08:59.800036,174094476,0,0,4,4,6,0,0,0,0
6206,2023-01-20 11:08:59.899926,174194396,0,0,4,4,6,0,0,0,0
6240,2023-01-20 11:09:00.000036,174294536,0,0,4,4,6,0,0,0,0
6271,2023-01-20 11:09:00.099812,174394385,0,0,4,4,6,0,0,0,0
6305,2023-01-20 11:09:00.200036,174494683,0,0,4,4,6,0,0,0,0
6336,2023-01-20 11:09:00.299773,174594368,0,0,4,4,6,0,0,0,0
6368,2023-01-20 11:09:00.400036,174694580,0,0,4,4,6,0,0,0,0
6403,2023-01-20 11:09:00.500041,174794640,0,0,4,4,6,0,0,0,0
6435,2023-01-20 11:09:00.600036,174894689,0,0,4,4,6,0,0,0,0
6466,2023-01-20 11:09:00.699752,174994373,0,0,4,4,6,0,0,0,0
6499,2023-01-20 11:09:00.800036,175094624,0,0,4,4,6,0,0,0,0
6532,2023-01-20 11:09:00.899790,175194402,0,0,4,4,6,0,0,0,0
6566,2023-01-20 11:09:01.000039,175294675,0,0,4,4,6,0,0,0,0
6597,2023-01-20 11:09:01.099859,175394420,0,0,4,4,6,0,0,0,0
6631,2023-01-20 11:09:01.200036,175494521,0,0,4,4,6,0,0,0,0
6662,2023-01-20 11:09:01.299826,175594379,0,0,4,4,6,0,0,0,0
6694,2023-01-20 11:09:01.400045,175694666,0,0,4,4,6,0,0,0,0
6727,2023-01-20 11:09:01.499756,175794404,0,0,4,4,6,0,0,0,0
6759,2023-01-20 11:09:01.600037,175894712,0,0,4,4,6,0,0,0,0
6790,2023-01-20 11:09:01.699701,175994371,0,0,4,4,6,0,0,0,0
6823,2023-01-20 11:09:01.800036,176094700,0,0,4,4,6,0,0,0,0
6856,2023-01-20 11:09:01.899750,176194410,0,0,4,4,6,0,0,0,0
6890,2023-01-20 11:09:02.000045,176294701,0,0,4,4,6,0,0,0,0
6921,2023-01-20 11:09:02.099738,176394382,0,0,4,4,6,0,0,0,0
6955,2023-01-20 11:09:02.200036,176494668,0,0,4,4,6,0,0,0,0
6986,2023-01-20 11:09:02.299745,176594373,0,0,4,4,6,0,0,0,0
7018,2023-01-20 11:09:02.400036,176694661,0,0,4,4,6,0,0,0,0
7051,2023-01-20 11:09:02.499722,176794396,0,0,4,4,6,0,0,0,0
7083,2023-01-20 11:09:02.600036,176894759,0,0,4,4,6,0,0,0,0
7114,2023-01-20 11:09:02.699704,176994382,0,0,4,4,6,0,0,0,0
7146,2023-01-20 11:09:02.800036,177094669,0,0,4,4,6,0,0,0,0
7179,2023-01-20 11:09:02.899750,177194387,0,0,4,4,6,0,0,0,0
7213,2023-01-20 11:09:03.000039,177294681,0,0,4,4,6,0,0,0,0
7244,2023-01-20 11:09:03.099731,177394385,0,0,4,4,6,0,0,0,0
7278,2023-01-20 11:09:03.200037,177494702,0,0,4,4,6,0,0,0,0
7309,2023-01-20 11:09:03.299713,177594382,0,0,4,4,6,0,0,0,0
7341,2023-01-20 11:09:03.400037,177694711,0,0,4,4,6,0,0,0,0
7374,2023-01-20 11:09:03.499728,177794401,0,0,4,4,6,0,0,0,0
7406,2023-01-20 11:09:03.600036,177894708,0,0,4,4,6,0,0,0,0
7438,2023-01-20 11:09:03.699773,177994433,0,0,4,4,6,0,0,0,0
7470,2023-01-20 11:09:03.800036,178094683,0,0,4,4,6,0,0,0,0
7503,2023-01-20 11:09:03.899724,178194383,0,0,4,4,6,0,0,0,0
7537,2023-01-20 11:09:04.000037,178294709,0,0,4,4,6,0,0,0,0
