LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
25360,2023-01-20 11:09:58.206192,232620558,33,325,13214,11344,16347,14070
25686,2023-01-20 11:09:59.207197,233621611,33,325,13214,11345,15661,13564
26014,2023-01-20 11:10:00.209826,234624186,33,327,13315,11737,16003,13802
26341,2023-01-20 11:10:01.212271,235626636,33,326,13223,11888,16195,13959
26665,2023-01-20 11:10:02.214772,236629149,33,323,13156,11243,16293,13513
26991,2023-01-20 11:10:03.217737,237632110,33,325,13323,11357,15731,13623
27315,2023-01-20 11:10:04.219782,238634159,33,323,13156,11836,16184,13958
27640,2023-01-20 11:10:05.202542,239636686,33,324,13204,11238,16338,13826
27971,2023-01-20 11:10:06.222515,240639120,33,330,13508,11197,15806,13364
28295,2023-01-20 11:10:07.207234,241641611,33,323,13156,11511,15877,13741
28620,2023-01-20 11:10:08.212253,242646636,33,324,13185,11961,16327,14072
28945,2023-01-20 11:10:09.214735,243649112,33,324,13185,11160,16305,13530
29323,2023-01-20 11:10:10.217259,244651645,33,377,14772,11312,15604,13367
29653,2023-01-20 11:10:11.219809,245654174,33,329,13354,11632,15910,13709
29979,2023-01-20 11:10:12.223461,246657841,33,325,13224,11846,16250,13928
30305,2023-01-20 11:10:13.225156,247659531,33,325,13214,11412,16338,14102
30632,2023-01-20 11:10:14.227262,248661616,33,326,13257,11419,15692,13623
30958,2023-01-20 11:10:15.229780,249664136,33,325,13214,11768,16084,13867
31288,2023-01-20 11:10:16.212510,250666699,33,329,13343,12020,16270,14032
31614,2023-01-20 11:10:17.215138,251669460,33,325,13214,11239,16265,13504
31941,2023-01-20 11:10:18.217261,252671628,33,326,13257,11540,15834,13743
32267,2023-01-20 11:10:19.219786,253674148,33,325,13214,11889,16205,13987
32595,2023-01-20 11:10:20.222294,254676664,33,327,13310,12141,16317,14106
32924,2023-01-20 11:10:21.224785,255679151,33,328,13300,11086,15610,13177
33250,2023-01-20 11:10:22.227541,256681944,33,325,13214,11575,15891,13788
33577,2023-01-20 11:10:23.229735,257684096,33,326,13257,11924,16240,14022
33903,2023-01-20 11:10:24.232243,258686641,33,325,13214,11239,16339,13830
34229,2023-01-20 11:10:25.231626,259689104,33,325,13224,11217,15784,13336
34607,2023-01-20 11:10:26.217269,260691622,33,377,14721,11749,16033,13967
34938,2023-01-20 11:10:27.220206,261694550,33,330,13425,11878,16335,14007
35290,2023-01-20 11:10:28.222969,262697360,33,351,14290,11444,16330,14127
35617,2023-01-20 11:10:29.224757,263699109,33,326,13257,11451,15745,13563
35944,2023-01-20 11:10:30.227228,264701630,33,326,13267,11800,16063,13773
36274,2023-01-20 11:10:31.229729,265704100,33,329,13343,12187,16297,14300
36600,2023-01-20 11:10:32.232582,266706945,33,325,13214,11185,16331,13703
36927,2023-01-20 11:10:33.234719,267709084,33,326,13257,11486,15802,13611
37253,2023-01-20 11:10:34.233899,268711641,33,325,13214,11835,16151,13846
37580,2023-01-20 11:10:35.219631,269714149,33,326,13257,11118,16336,14012
37909,2023-01-20 11:10:36.222070,270716677,33,328,13300,11273,15609,13472
38235,2023-01-20 11:10:37.225011,271719643,33,325,13214,11574,15890,13701
38561,2023-01-20 11:10:38.226990,272721624,33,325,13224,11966,16239,13948
38888,2023-01-20 11:10:39.229497,273724135,33,326,13247,11097,16271,13392
39216,2023-01-20 11:10:40.232011,274726647,33,327,13310,11427,15763,13640
39547,2023-01-20 11:10:41.232425,275727041,33,330,13370,11728,15909,13766
39873,2023-01-20 11:10:42.234769,276729376,33,325,13224,11964,16302,13970
40248,2023-01-20 11:10:43.237495,277732115,33,374,14635,11062,16281,13742
40576,2023-01-20 11:10:44.220016,278734204,33,327,13311,11327,15689,13463
40902,2023-01-20 11:10:45.238286,279736684,33,325,13214,11676,16057,13736
41232,2023-01-20 11:10:46.224769,280739130,33,329,13343,12222,16322,14337
41558,2023-01-20 11:10:47.227586,281741953,33,325,13214,11200,16260,13655
41885,2023-01-20 11:10:48.232593,282746954,33,326,13257,11501,15820,13588
42211,2023-01-20 11:10:49.235051,283749410,33,325,13214,11764,16203,13849
42538,2023-01-20 11:10:50.237300,284751656,33,326,13267,11179,16298,14017
42868,2023-01-20 11:10:51.239766,285754164,33,329,13343,11288,15539,13443
43194,2023-01-20 11:10:52.242697,286757054,33,325,13214,11569,15888,13656
43521,2023-01-20 11:10:53.245155,287759548,33,326,13257,11875,16271,13937
43847,2023-01-20 11:10:54.227384,288761630,33,325,13214,11267,16313,14052
44174,2023-01-20 11:10:55.229806,289764164,33,326,13257,11419,15692,13572
44503,2023-01-20 11:10:56.232289,290766673,33,328,13300,11739,16024,13803
44830,2023-01-20 11:10:57.235092,291769515,33,326,13257,11963,16247,14000
45155,2023-01-20 11:10:58.237279,292771657,33,324,13181,11147,16127,13403
45483,2023-01-20 11:10:59.239788,293774200,33,327,13311,11507,15780,13678
45859,2023-01-20 11:11:00.242307,294776686,33,375,14688,11808,16061,13807
46189,2023-01-20 11:11:01.244725,295779102,33,329,13343,12168,16316,14294
46515,2023-01-20 11:11:02.247535,296781960,33,325,13214,11179,16279,13646
46842,2023-01-20 11:11:03.233241,297784127,33,326,13257,11480,15817,13562
47168,2023-01-20 11:11:04.232358,298786655,33,325,13214,11743,16179,13848
47494,2023-01-20 11:11:05.234798,299789177,33,325,13214,11178,16313,14010
47823,2023-01-20 11:11:06.237255,300791637,33,328,13295,11287,15565,13451
48153,2023-01-20 11:11:07.240178,301794556,33,329,13376,11568,15884,13646
48504,2023-01-20 11:11:08.242963,302797344,33,350,14213,11874,16267,14073
48830,2023-01-20 11:11:09.244729,303799107,33,325,13214,11266,16332,13970
49158,2023-01-20 11:11:10.247286,304801675,33,327,13310,11388,15638,13451
49486,2023-01-20 11:11:11.249764,305804140,33,327,13252,11685,15967,13669
49816,2023-01-20 11:11:12.232807,306806967,33,329,13375,12025,16232,14195
50142,2023-01-20 11:11:13.234852,307809111,33,325,13214,11264,16290,13954
50468,2023-01-20 11:11:14.237279,308811619,33,325,13224,11416,15689,13498
50795,2023-01-20 11:11:15.239810,309814198,33,326,13268,11740,16121,13755
51173,2023-01-20 11:11:16.242274,310816659,33,377,14716,12194,16324,14323
51500,2023-01-20 11:11:17.245254,311819644,33,326,13262,11316,16328,13856
51826,2023-01-20 11:11:18.247268,312821655,33,325,13214,11409,15790,13425
52153,2023-01-20 11:11:19.249718,313824108,33,326,13257,11858,16108,14041
52480,2023-01-20 11:11:20.252248,314826651,33,326,13267,11054,16273,13861
52809,2023-01-20 11:11:21.254779,315829143,33,328,13295,11191,16332,13589
53136,2023-01-20 11:11:22.237546,316832096,33,326,13262,11478,15825,13471
53463,2023-01-20 11:11:23.239553,317834183,33,326,13257,11936,16143,14088
53789,2023-01-20 11:11:24.242122,318836660,33,325,13214,11142,16307,13917
54116,2023-01-20 11:11:25.244461,319839101,33,326,13257,11294,15567,13372
54444,2023-01-20 11:11:26.246940,320841607,33,327,13252,11614,16038,13640
