LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
2967,2023-01-20 11:08:50.322659,164596772,9.381322,0.1058129,0.02202584,-1.673869,-0.1333628,-0.002762472,-0.03085602,1.985292,-0.0002927576,-0.1132965,-0.1132965,0
3007,2023-01-20 11:08:50.422614,164696769,9.38897,-0.2206538,0.02448285,-1.673621,-0.009181628,-0.003914497,-0.03085859,0.2272282,-0.0006731029,-0.9052277,-0.9052277,0
3049,2023-01-20 11:08:50.522549,164796751,9.377493,-0.09721965,0.02251516,-1.664511,-0.1126644,-0.003853762,-0.03073378,-2.186856,-0.0001386409,-1.756763,-1.756763,0
3089,2023-01-20 11:08:50.622533,164896759,9.381289,-0.06684358,0.02181411,-1.657384,0.1783891,-0.005859535,-0.05138817,-1.721577,0.00136245,-1.3381,-1.3381,0
3127,2023-01-20 11:08:50.722592,164996760,9.334319,-0.9186519,0.03248803,-1.683283,-1.37185,0.005526356,-0.1856445,-2.803524,-0.001304622,3.697491,3.697491,0
3168,2023-01-20 11:08:50.822597,165096735,9.272312,0.9629084,0.01922332,-1.651308,-0.9792485,0.003443525,-0.1099111,-3.7741,-3.332733E-05,-4.452038,-4.452038,0
3206,2023-01-20 11:08:50.922625,165196827,9.273703,0.3417522,0.02286763,-1.674557,-0.604051,-2.465816E-05,-0.2418297,0.3555002,-0.0005153434,-8.046913,-8.046913,0
3248,2023-01-20 11:08:51.022513,165296762,9.298306,-0.1070491,0.02655919,-1.668282,-0.0666794,-0.004909759,-0.1900699,-1.710519,-0.0004170107,-1.664543,-1.664543,0
3286,2023-01-20 11:08:51.122529,165396763,9.32343,-0.5124877,0.02855167,-1.677679,0.6745561,-0.0106868,-0.3262918,3.038875,-0.0007015898,-2.169704,-2.169704,0
3329,2023-01-20 11:08:51.222569,165496802,9.294262,0.2011632,0.02291709,-1.725452,0.8222725,-0.009636295,-0.3057602,1.677836,-0.001413318,2.664375,2.664375,0
3367,2023-01-20 11:08:51.322488,165596765,9.296838,0.3403446,0.02353471,-1.62846,-0.7154244,0.00284942,-0.2120773,-2.528371,-0.0008368816,2.858162,2.858162,0
3407,2023-01-20 11:08:51.422471,165696786,9.323054,-0.8228276,0.03323811,-1.653608,-0.2428273,-0.004584825,-0.280065,-0.3537693,-0.0007230798,0.4218102,0.4218102,0
3447,2023-01-20 11:08:51.522430,165796761,9.29087,-0.1042296,0.02598489,-1.678791,1.05342,-0.01394051,-0.2739177,-0.2215217,-0.0007494977,-0.2392769,-0.2392769,0
3488,2023-01-20 11:08:51.622412,165896755,9.289096,0.3768745,0.02125687,-1.655373,-0.3485579,-0.000624645,-0.3700596,2.236779,-0.001213011,-4.686069,-4.686069,0
3525,2023-01-20 11:08:51.722428,165996763,9.242415,1.269326,0.014087,-1.658108,0.6492104,-0.008994922,-0.3090797,-1.110996,-0.001381747,3.461838,3.461838,0
3568,2023-01-20 11:08:51.822419,166096750,9.274577,0.4084693,0.02329047,-1.611707,-1.116476,0.004358643,-0.2776061,-2.315753,-0.0007902914,-3.452873,-3.452873,0
3606,2023-01-20 11:08:51.922443,166196777,9.314899,-1.405827,0.03678661,-1.627475,0.03313664,-0.007271611,-0.3287506,-1.096384,-0.0008592238,0.5894661,0.5894661,0
3648,2023-01-20 11:08:52.022434,166296769,9.26662,0.4843431,0.0226718,-1.618131,0.1009935,-0.003774376,-0.3837063,1.750451,-0.0008672512,-5.293083,-5.293083,0
3684,2023-01-20 11:08:52.122436,166396763,9.296263,-1.066356,0.03302275,-1.614643,0.1630889,-0.00627582,-0.4282118,1.891616,-0.001676914,2.094841,2.094841,0
3719,2023-01-20 11:08:52.222476,166496799,9.249385,0.6550382,0.01945933,-1.581626,0.01338738,-0.0023584,-0.3452251,-1.50998,-0.001393748,-0.9171486,-0.9171486,0
3749,2023-01-20 11:08:52.322438,166596763,9.267473,0.7918102,0.02066735,-1.563327,-1.424524,0.008610379,-0.3571504,-1.459823,-0.001240816,-2.289295,-2.289295,0
3782,2023-01-20 11:08:52.422453,166696786,9.251286,0.0133479,0.02434361,-1.593007,-0.08383919,-0.005913781,-0.3523556,-1.934772,-0.0005354905,-0.9811401,-0.9811401,0
3814,2023-01-20 11:08:52.522449,166796807,9.266901,0.6118054,0.02106401,-1.606691,0.6821562,-0.007917313,-0.4745614,3.774158,-0.001221059,-4.345894,-4.345894,0
3847,2023-01-20 11:08:52.622376,166896747,9.293508,-0.4692943,0.02854937,-1.58606,-0.356703,-0.002362029,-0.404115,-0.493165,-0.001668206,2.229595,2.229595,0
3877,2023-01-20 11:08:52.722407,166996745,9.224118,1.514906,0.01264016,-1.571305,-0.1480875,-0.003365689,-0.4181305,-1.106283,-0.001190415,0.6234169,0.6234169,0
3912,2023-01-20 11:08:52.822409,167096721,9.209106,0.768221,0.0204812,-1.56347,-0.9694439,0.004912384,-0.4380472,-0.8436745,-0.001609204,0.7507324,0.7507324,0
3942,2023-01-20 11:08:52.922453,167196763,9.248714,-0.7422256,0.03009007,-1.555284,0.2427197,-0.008242575,-0.4103851,-1.039641,-0.0006639067,-6.447601,-6.447601,0
3977,2023-01-20 11:08:53.022456,167296772,9.247726,0.2197942,0.02231514,-1.581291,0.5830258,-0.007106337,-0.5443934,3.630858,-0.001646844,-1.68705,-1.68705,0
4007,2023-01-20 11:08:53.122401,167396748,9.271,-0.1924982,0.02719581,-1.511137,-1.047471,0.004822677,-0.4373097,-2.329789,-0.001447215,3.362179,3.362179,0
