LineNo,UTC_Approx,TimeUS,Type,Lat,Lng,Alt
1812,2023-01-20 11:08:47.832842,162086763,0,39.80438,32.3787979,738.92
1813,2023-01-20 11:08:47.832856,162086777,1,39.8044398,32.3787884,739.4
