FrameIndex,VideoTimeSec,Status,SearchMode,Latitude,Longitude,MapCenterXPx,MapCenterYPx,Score,TileId,MatchCount,InlierCount,InlierRatio,MeanMatchConfidence,ReprojectionErrorPx
25555,425.917,localized,track_local,39.80272915,32.38128045,986.77,1034.83,96.1076,tile_512px_0021,46,42,0.9130,0.6558,1.1217
25563,426.05,localized,track_local,39.80273024,32.38128134,986.92,1034.60,96.7392,tile_512px_0021,43,41,0.9535,0.7534,1.1997
25570,426.167,localized,track_local,39.80273457,32.38129395,989.02,1033.68,109.5440,tile_512px_0021,49,49,1.0000,0.7283,1.6515
25578,426.3,localized,track_local,39.80274349,32.38129093,988.53,1031.76,91.9110,tile_512px_0021,44,39,0.8864,0.7567,0.9953
25584,426.4,localized,telemetry_prior,39.80275000,32.38129236,988.78,1030.36,93.2233,tile_512px_0021,44,40,0.9091,0.7092,1.5213
25591,426.517,localized,track_local,39.80275880,32.38129520,989.26,1028.47,97.9354,tile_512px_0021,47,43,0.9149,0.7019,1.3742
25597,426.617,localized,track_local,39.80276333,32.38130041,990.13,1027.50,92.3239,tile_512px_0021,43,39,0.9070,0.7535,1.2279
25604,426.733,localized,track_local,39.80276140,32.38130434,990.78,1027.92,90.4571,tile_512px_0021,41,38,0.9268,0.6841,1.5851
25611,426.85,localized,track_local,39.80278313,32.38130211,990.44,1023.24,87.9575,tile_512px_0021,39,36,0.9231,0.7157,1.1888
25618,426.967,localized,track_local,39.80279253,32.38130558,991.03,1021.22,93.7710,tile_512px_0021,41,39,0.9512,0.7543,1.0777
25626,427.1,localized,track_local,39.80279063,32.38130086,990.25,1021.62,91.8906,tile_512px_0021,43,39,0.9070,0.7227,1.3941
25632,427.2,localized,telemetry_prior,39.80280005,32.38131129,991.99,1019.61,95.6700,tile_512px_0021,44,41,0.9318,0.7145,1.2397
25640,427.333,localized,track_local,39.80281013,32.38131272,992.24,1017.44,103.8934,tile_512px_0021,48,46,0.9583,0.7192,1.3979
25647,427.45,localized,track_local,39.80281574,32.38132427,994.17,1016.25,103.5316,tile_512px_0021,49,46,0.9388,0.7577,1.6120
25655,427.583,localized,track_local,39.80281247,32.38132117,993.65,1016.95,102.9086,tile_512px_0021,53,47,0.8868,0.7049,1.6594
25663,427.717,localized,track_local,39.80282619,32.38132957,995.06,1014.00,106.7820,tile_512px_0021,48,47,0.9792,0.7820,1.2168
25670,427.833,localized,track_local,39.80284023,32.38134189,997.13,1011.00,109.1358,tile_512px_0021,51,49,0.9608,0.7881,1.4254
25679,427.983,localized,track_local,39.80284687,32.38133781,996.46,1009.56,100.9818,tile_512px_0021,47,44,0.9362,0.7854,1.2766
25687,428.117,localized,track_local,39.80285557,32.38134080,996.97,1007.69,102.1085,tile_512px_0021,48,45,0.9375,0.7480,1.3290
25695,428.25,localized,track_local,39.80286600,32.38135109,998.70,1005.46,101.4025,tile_512px_0021,49,45,0.9184,0.7170,1.0918
25702,428.367,localized,track_local,39.80286667,32.38135121,998.72,1005.32,106.9267,tile_512px_0021,54,49,0.9074,0.7274,1.4260
25709,428.483,localized,track_local,39.80287169,32.38136388,1000.83,1004.25,111.1021,tile_512px_0021,55,51,0.9273,0.7601,1.0895
25716,428.6,localized,telemetry_prior,39.80287943,32.38137117,1002.05,1002.59,115.4490,tile_512px_0021,53,53,1.0000,0.6906,1.2757
25724,428.733,localized,track_local,39.80288649,32.38137027,1001.91,1001.07,113.9887,tile_512px_0021,53,52,0.9811,0.7617,1.4167
25733,428.883,localized,track_local,39.80289679,32.38138136,1003.77,998.87,117.7027,tile_512px_0021,57,55,0.9649,0.7382,1.5024
25740,429.0,localized,telemetry_prior,39.80289512,32.38136135,1000.44,999.20,111.0710,tile_512px_0021,54,51,0.9444,0.7449,1.6155
25747,429.117,localized,track_local,39.80291115,32.38138523,1004.43,995.78,113.0323,tile_512px_0021,54,52,0.9630,0.7143,1.3328
25755,429.25,localized,track_local,39.80291710,32.38139883,1006.70,994.52,107.7711,tile_512px_0021,52,49,0.9423,0.6981,1.3054
25766,429.433,localized,track_local,39.80292344,32.38139992,1006.89,993.15,112.4310,tile_512px_0021,55,52,0.9455,0.7152,1.4466
25775,429.583,localized,track_local,39.80293461,32.38141916,1010.10,990.77,123.1636,tile_512px_0021,58,58,1.0000,0.7100,1.2486
25782,429.7,localized,track_local,39.80293576,32.38140833,1008.30,990.51,114.8336,tile_512px_0021,54,53,0.9815,0.6879,1.3191
25789,429.817,localized,track_local,39.80294208,32.38139729,1006.48,989.14,103.4422,tile_512px_0021,49,46,0.9388,0.7335,1.4086
25796,429.933,localized,track_local,39.80294035,32.38142362,1010.85,989.54,111.7149,tile_512px_0021,56,52,0.9286,0.7158,1.7330
25805,430.083,localized,track_local,39.80295592,32.38143324,1012.47,986.20,113.2537,tile_512px_0021,56,53,0.9464,0.6438,1.4364
25812,430.2,localized,telemetry_prior,39.80295612,32.38145220,1015.62,986.18,114.4131,tile_512px_0021,58,54,0.9310,0.6691,1.6121
25821,430.35,localized,track_local,39.80296911,32.38145134,1015.49,983.38,115.0948,tile_512px_0021,57,54,0.9474,0.6596,1.2294
25829,430.483,localized,track_local,39.80297579,32.38146807,1018.28,981.96,107.5188,tile_512px_0021,56,50,0.8929,0.7087,1.8050
25837,430.617,localized,track_local,39.80297279,32.38146825,1018.30,982.61,106.2292,tile_512px_0021,61,51,0.8361,0.5875,1.6370
25845,430.75,localized,track_local,39.80296900,32.38148211,1020.60,983.44,99.7775,tile_512px_0021,53,45,0.8491,0.7776,1.2934
25852,430.867,localized,track_local,39.80298707,32.38146962,1018.55,979.54,115.9988,tile_512px_0021,60,55,0.9167,0.7332,1.7780
25861,431.017,localized,track_local,39.80300522,32.38148025,1020.34,975.65,111.2929,tile_512px_0021,57,52,0.9123,0.6970,1.3936
25868,431.133,localized,track_local,39.80301733,32.38148483,1021.12,973.04,116.8295,tile_512px_0021,59,55,0.9322,0.7295,1.2416
