LogFile,Folder,MessageTypes,GpsAnchors,FirstGpsUtc,LastGpsUtc
00000003_birinci uçuş.log,C:\Users\erend\Desktop\test4\LightGlue\log_csv\00000003_birinci_ucus,57,4610,2023-01-20 10:49:56.200000,2023-01-20 11:05:18.000000
00000004_ikinci uçuş.log,C:\Users\erend\Desktop\test4\LightGlue\log_csv\00000004_ikinci_ucus,58,4331,2023-01-20 11:08:47.400000,2023-01-20 11:23:13.600000
